,STX1B (112755)
ACH-000004,-0.199439489
ACH-000007,0.0177954870823
ACH-000009,-0.07582692706500001
ACH-000011,-0.171894545284
ACH-000012,-0.27538407952599997
ACH-000013,-0.19492600713599997
ACH-000014,-0.09085278932610001
ACH-000015,-0.345422738085
ACH-000017,-0.13039436935499998
ACH-000018,-0.175573953186
ACH-000019,-0.0412697569926
ACH-000021,-0.370082850185
ACH-000022,-0.151247170699
ACH-000025,-0.305792758737
ACH-000028,-0.170908580276
ACH-000030,-0.0325596477502
ACH-000035,-0.347056784905
ACH-000036,-0.160996448396
ACH-000037,-0.292899925541
ACH-000039,-0.09953890822280001
ACH-000040,-0.07261261468880001
ACH-000041,-0.150344365977
ACH-000042,0.055764664455900004
ACH-000045,0.137960771684
ACH-000047,-0.21508585375
ACH-000052,-0.323094627662
ACH-000053,-0.125708358137
ACH-000054,-0.17350092477899998
ACH-000055,-0.0463717997401
ACH-000060,-0.0635848841237
ACH-000067,-0.018237267841
ACH-000070,-0.184375735747
ACH-000075,-0.225296149788
ACH-000078,-0.304927740896
ACH-000082,-0.170985324465
ACH-000085,-0.207623475796
ACH-000086,0.11341628308700001
ACH-000087,-0.29523555924199996
ACH-000092,-0.32826148791299997
ACH-000095,-0.16987685740400002
ACH-000097,-0.209143200402
ACH-000098,-0.31740647951400003
ACH-000099,-0.149605198374
ACH-000108,0.156550263716
ACH-000113,-0.0388101633055
ACH-000115,-0.13006805592
ACH-000116,-0.0544550202209
ACH-000118,-0.07937858340960001
ACH-000120,-0.045909273580099996
ACH-000123,-0.249651176001
ACH-000127,-0.22418579633299998
ACH-000128,-0.0437317342931
ACH-000132,-0.260910893238
ACH-000133,-0.0881777258945
ACH-000137,-0.298924654829
ACH-000138,0.115036355654
ACH-000142,-0.279875774862
ACH-000143,-0.28580830235599997
ACH-000146,-0.198167047865
ACH-000148,-0.050268266133699994
ACH-000150,-0.313084573881
ACH-000152,-0.109598200823
ACH-000153,0.102042982339
ACH-000159,-0.142101611786
ACH-000160,0.0588406594498
ACH-000163,-0.027743479427
ACH-000167,0.0688402471843
ACH-000168,-0.158191380363
ACH-000169,-0.08347399831249999
ACH-000178,-0.19932159631700003
ACH-000182,-0.276161830418
ACH-000183,-0.140953536591
ACH-000188,-0.0228465831046
ACH-000189,0.019334164242
ACH-000190,0.0767549015432
ACH-000198,-0.0513086269419
ACH-000204,-0.244774594881
ACH-000206,-0.185153574616
ACH-000207,-0.215149145511
ACH-000211,-0.256396839737
ACH-000215,-0.106151801538
ACH-000221,-0.321568056659
ACH-000222,-0.26254307685
