,FAIM3 (9214)
ACH-000004,-0.21336767139499999
ACH-000007,-0.30876040062800003
ACH-000009,-0.259986224984
ACH-000011,-0.094263986582
ACH-000012,-0.192976182993
ACH-000013,-0.0141586759063
ACH-000014,0.29447849924
ACH-000015,-0.044749421046699996
ACH-000017,-0.159587443549
ACH-000018,-0.227091108631
ACH-000019,-0.197906397073
ACH-000021,-0.185180081288
ACH-000022,0.021841504282
ACH-000025,-0.15131291789999998
ACH-000028,-0.18508939879900002
ACH-000030,-0.0185720745512
ACH-000035,-0.04266091022469999
ACH-000036,0.0147729637975
ACH-000037,-0.0931221699691
ACH-000039,-0.0826885081655
ACH-000040,0.130040591325
ACH-000041,-0.22643772722
ACH-000042,-0.295843159296
ACH-000045,-0.281607960132
ACH-000047,-0.23294900988000003
ACH-000052,-0.13061164527799998
ACH-000053,-0.0994662583012
ACH-000054,-0.152676612317
ACH-000055,-0.0674456118674
ACH-000060,0.11120704161499999
ACH-000067,0.0869970936254
ACH-000070,-0.04012704488319999
ACH-000075,-0.132420777462
ACH-000078,-0.134971294034
ACH-000082,-0.09454695246410001
ACH-000085,-0.31573450138500003
ACH-000086,-0.298187011269
ACH-000087,-0.012183013535
ACH-000092,-0.12524179773900002
ACH-000095,-0.0532081102389
ACH-000097,-0.10121392536900001
ACH-000098,-0.11489933059
ACH-000099,-0.128024950473
ACH-000108,-0.122052089344
ACH-000113,-0.388161255978
ACH-000115,-0.151700750691
ACH-000116,-0.0333858616055
ACH-000118,-0.154131140223
ACH-000120,-0.147553838797
ACH-000123,-0.21466814381299998
ACH-000127,-0.201277938622
ACH-000128,-0.125294636308
ACH-000132,-0.281591298398
ACH-000133,-0.07884578355560001
ACH-000137,-0.171673669165
ACH-000138,-0.10235697303300001
ACH-000142,-0.167142872685
ACH-000143,-0.10996880019000001
ACH-000146,-0.234567735194
ACH-000148,-0.0948246642382
ACH-000150,-0.013419710241
ACH-000152,-0.0777054781072
ACH-000153,-0.311247457469
ACH-000159,-0.149952219054
ACH-000160,-0.300432324368
ACH-000163,-0.052154337315
ACH-000167,-0.084840110342
ACH-000168,-0.08593172553470001
ACH-000169,-0.042750425426500004
ACH-000178,-0.0421438514595
ACH-000182,0.017659598375099998
ACH-000183,-0.10744046875299999
ACH-000188,-0.13047879332999998
ACH-000189,-0.0226576596882
ACH-000190,0.0143350498749
ACH-000198,-0.11008042034000001
ACH-000204,0.16825976908
ACH-000206,0.0669963885207
ACH-000207,-0.134307712818
ACH-000211,-0.058258535042
ACH-000215,-0.0846772190791
ACH-000221,-0.05456019713830001
ACH-000222,-0.23247557626200002
ACH-000223,-0.0411472030897
ACH-000226,-0.49624890871000005
ACH-000227,-0.303640906727
ACH-000228,-0.0519408400909
ACH-000231,-0.011664158087200002
ACH-000232,0.0107539828378
ACH-000233,-0.22284092151299997
ACH-000234,-0.24945222966699998
ACH-000235,-0.231733932275
ACH-000237,-0.012365574792
ACH-000238,-0.225535349653
ACH-000243,-0.220080537771
ACH-000244,0.225862011972
ACH-000246,-0.241347384554
ACH-000248,-0.267890008296
ACH-000250,-0.0762045349637
ACH-000251,0.0920994651963
ACH-000253,-0.140012561481
ACH-000255,-0.21269317715
ACH-000256,-0.35319223876500005
ACH-000257,-0.046941240242
ACH-000258,-0.574857204749
ACH-000259,-0.10668993090500001
ACH-000260,-0.07101817949860001
ACH-000261,-0.0515256468077
ACH-000262,-0.10827321366800001
ACH-000263,0.131893501774
ACH-000264,-0.10508047217800001
ACH-000265,-0.166582832254
ACH-000266,-0.156304384911
ACH-000272,-0.203898716295
ACH-000273,-0.143162596254
ACH-000274,-0.0723765636994
ACH-000277,-0.129016708472
ACH-000278,-0.0844187374218
ACH-000279,0.019673770279400003
ACH-000280,-0.238998665477
ACH-000281,-0.259383353547
ACH-000288,0.010000957908799998
ACH-000291,-0.033628373341
ACH-000293,-0.142132490926
ACH-000294,-0.041296299023
ACH-000295,0.0440116956668
ACH-000296,0.00448631256392
ACH-000302,-0.000698036892522
ACH-000304,-0.451388429415
ACH-000307,-0.0284227656383
ACH-000308,-0.0683090180684
ACH-000310,-0.281737797615
ACH-000311,-0.32904607578
ACH-000312,-0.284575821931
ACH-000315,-0.12007706839299999
ACH-000316,-0.228524047821
ACH-000317,-0.40403173542599996
ACH-000318,-0.221140742025
ACH-000319,-0.015068363911099999
ACH-000320,-0.321949606312
ACH-000322,-0.195794276502
ACH-000323,-0.09076464101569999
ACH-000324,-0.22805590633900003
ACH-000329,-0.0398014506145
ACH-000330,-0.187885759949
ACH-000331,-0.0973754382349
ACH-000332,-0.09308575941860002
ACH-000334,0.242919838047
ACH-000335,0.021054152400599997
ACH-000336,-0.581431801579
ACH-000337,-0.12340798336200001
ACH-000339,-0.162424800276
ACH-000341,0.0387824223455
ACH-000348,0.0678198860314
ACH-000350,-0.281060585026
ACH-000352,-0.172355340006
ACH-000356,-0.36707252171599997
ACH-000361,-0.40229861242
ACH-000362,-0.11695549234300001
ACH-000363,-0.200719314364
ACH-000364,-0.164800873909
ACH-000365,-0.0519219704715
ACH-000366,-0.18064714453800002
ACH-000368,-0.049386478121699995
ACH-000374,-0.11968565205800001
ACH-000375,-0.015513088371700002
ACH-000376,-0.130571356089
ACH-000381,-0.305173418664
ACH-000383,-0.147377585361
ACH-000387,0.0763865254742
