,HAVCR1 (26762)
ACH-000004,-0.09068424454099999
ACH-000007,-0.044249487959900004
ACH-000009,-0.0202760950521
ACH-000011,0.09401323827639999
ACH-000012,0.0250106455608
ACH-000013,-0.00855932671373
ACH-000014,-0.25225585848000004
ACH-000015,-0.18887148215
ACH-000017,-0.0490087842613
ACH-000018,0.058175864696300005
ACH-000019,0.07473466977469999
ACH-000021,-0.28341334578
ACH-000022,-0.028513146771800002
ACH-000025,0.116040516767
ACH-000028,-0.109936755043
ACH-000030,0.0270389626491
ACH-000035,0.0407340599736
ACH-000036,0.236343247632
ACH-000037,0.181084083887
ACH-000039,-0.0306754144015
ACH-000040,-0.026481475704900004
ACH-000041,-0.0409231635896
ACH-000042,0.0497976989996
ACH-000045,-0.153363858937
ACH-000047,0.0628291530002
ACH-000052,0.0641542394868
ACH-000053,-0.037282994787800006
ACH-000054,0.0487804521206
ACH-000055,0.160226012093
ACH-000060,0.131020911008
ACH-000067,0.0540037454198
ACH-000070,0.171256973455
ACH-000075,0.0706605194774
ACH-000078,0.0977878474778
ACH-000082,0.0183885657614
ACH-000085,-0.14602280943499998
ACH-000086,0.0659727911535
ACH-000087,0.0584738027322
ACH-000092,0.18480187982700003
ACH-000095,-0.053032368319199996
ACH-000097,0.07487397249189999
ACH-000098,0.07432568841239999
ACH-000099,-0.059868092713900006
ACH-000108,-0.0437775719757
ACH-000113,0.259906719477
ACH-000115,-0.0278213261517
ACH-000116,-0.10609341970000001
ACH-000118,-0.0274814728941
ACH-000120,0.113575312808
ACH-000123,0.0363908343691
ACH-000127,-0.09017800263869999
ACH-000128,-0.021800090634
ACH-000132,0.0707074390638
ACH-000133,0.0625229428474
ACH-000137,0.0634781210505
ACH-000138,-0.09631625711889999
ACH-000142,0.0986711357038
ACH-000143,-0.11624918545999999
ACH-000146,-0.0574009445596
ACH-000148,-0.012524171297899999
ACH-000150,-0.164485971367
ACH-000152,-0.0829561370345
ACH-000153,0.41822655808200004
ACH-000159,0.0929970298417
ACH-000160,0.027955551575199997
ACH-000163,-0.0188370489164
