,RAD51C (5889)
ACH-000004,-0.733677702561
ACH-000007,-0.873181768503
ACH-000009,-0.8648487937620001
ACH-000011,-0.798067516358
ACH-000012,-0.635810190475
ACH-000013,-0.272876486365
ACH-000014,-0.985969636372
ACH-000015,-0.85928519593
ACH-000017,-0.41476027147100003
ACH-000018,-0.8666473474140001
ACH-000019,-1.11944435141
ACH-000021,-0.448442035749
ACH-000022,-1.2727514604
ACH-000025,-0.814595460605
ACH-000028,-0.929156344984
ACH-000030,-0.8049891256559999
ACH-000035,-1.07015902373
ACH-000036,-0.636828199998
ACH-000037,-0.22740495045899997
ACH-000039,-0.766314062254
ACH-000040,-0.9624059306589999
ACH-000041,-1.06886448466
ACH-000042,-0.621488573549
ACH-000045,-0.757002000264
ACH-000047,-0.8999058556890001
ACH-000052,-0.7590310739210001
ACH-000053,-0.7145014773299999
ACH-000054,-0.7799217862819999
ACH-000055,-0.5313468780539999
ACH-000060,-0.729801975653
ACH-000067,-0.8030180130079999
ACH-000070,-0.906214431778
ACH-000075,-0.860034447686
ACH-000078,-0.737214721834
ACH-000082,-0.742129677094
ACH-000085,-0.643212737082
ACH-000086,-0.39816952370399994
ACH-000087,-0.844139208834
ACH-000092,-0.373535424075
ACH-000095,-0.70025782764
ACH-000097,-0.649645102505
ACH-000098,-0.525012236992
ACH-000099,-0.706361819104
ACH-000108,-0.552663600116
ACH-000113,-0.75459547572
ACH-000115,-0.485709979165
ACH-000116,-0.8223777379389999
ACH-000118,-0.7905739765880001
ACH-000120,-0.335129236731
ACH-000123,-0.674422287564
ACH-000127,-0.938236590293
ACH-000128,-0.7456428868359999
ACH-000132,-0.544937269618
ACH-000133,-0.716444943062
ACH-000137,-0.7872634827439999
ACH-000138,-0.551582178713
ACH-000142,-0.552503805962
ACH-000143,-0.9076436776019999
ACH-000146,-0.486535703256
ACH-000148,-1.25401232701
ACH-000150,-0.7007328913009999
ACH-000152,-0.632941839093
ACH-000153,-0.936915655535
ACH-000159,-0.8163576093070001
ACH-000160,-1.0797372183299998
ACH-000163,-1.0283278386799999
ACH-000167,-1.00528405672
ACH-000168,-0.7485468696780001
ACH-000169,-0.586426961279
ACH-000178,-0.695014107652
ACH-000182,-0.51081211982
ACH-000183,-0.993574244762
ACH-000188,-0.939167006917
