,CCNJ (54619)
ACH-000004,-0.110643408335
ACH-000007,-0.41274265057
ACH-000009,-0.192763366628
ACH-000011,-0.18220745988200002
ACH-000012,-0.326154823276
ACH-000013,-0.0782132237622
ACH-000014,-0.21534052320900002
ACH-000015,-0.198517856052
ACH-000017,-0.177707402488
ACH-000018,-0.258203931276
ACH-000019,-0.09468341688740001
ACH-000021,-0.163026967373
ACH-000022,0.0008971125021919999
ACH-000025,-0.285601298943
ACH-000028,-0.0759319038254
ACH-000030,-0.250916337156
ACH-000035,-0.23057586769000002
ACH-000036,-0.224195697035
ACH-000037,-0.164236841292
ACH-000039,-0.301639786663
ACH-000040,-0.113310504599
ACH-000041,-0.182973440663
ACH-000042,-0.24957261112799997
ACH-000045,-0.035285973747
ACH-000047,-0.014706536603999999
ACH-000052,-0.255242839896
ACH-000053,-0.20874668531800003
ACH-000054,-0.312817605011
ACH-000055,-0.12098259335599999
ACH-000060,-0.37587976128300005
ACH-000067,-0.32173069584
ACH-000070,-0.17180418182799997
ACH-000075,-0.103894782799
ACH-000078,-0.259937093831
ACH-000082,-0.097972768014
ACH-000085,-0.1745449202
ACH-000086,-0.299201454632
ACH-000087,-0.33635688841600003
ACH-000092,-0.15913917007300002
ACH-000095,-0.283013717097
ACH-000097,-0.210885337121
ACH-000098,-0.21765637679699998
ACH-000099,-0.29574598706300004
ACH-000108,-0.269936099789
ACH-000113,-0.15846772632300002
ACH-000115,-0.314834702859
ACH-000116,-0.19860694804499998
ACH-000118,-0.138903020384
ACH-000120,-0.292620861025
ACH-000123,-0.409927324212
ACH-000127,-0.282893954894
ACH-000128,-0.133417042807
ACH-000132,-0.337521237874
ACH-000133,-0.235596380839
ACH-000137,-0.16710358654000002
ACH-000138,-0.147855110679
ACH-000142,-0.06862272532430001
ACH-000143,-0.07478318455569999
ACH-000146,-0.176326742254
ACH-000148,-0.352619829838
ACH-000150,0.0367335024891
ACH-000152,-0.194397834292
ACH-000153,-0.217154270432
ACH-000159,-0.231338411543
ACH-000160,-0.263737960189
ACH-000163,-0.343444033211
ACH-000167,-0.18038550493299998
ACH-000168,-0.427908856593
ACH-000169,-0.288349204335
ACH-000178,-0.212792035062
ACH-000182,-0.228846318889
ACH-000183,-0.151485212076
ACH-000188,-0.13489827714400002
ACH-000189,-0.275546123904
ACH-000190,-0.191485521873
ACH-000198,-0.298644888546
ACH-000204,-0.191600391946
ACH-000206,-0.0821818840563
ACH-000207,-0.253949822304
ACH-000211,-0.19058938159400002
ACH-000215,-0.2173207973
ACH-000221,-0.0771371051277
ACH-000222,-0.0866770908351
ACH-000223,-0.267654203809
ACH-000226,-0.221821067066
ACH-000227,-0.401698144137
ACH-000228,-0.330086229294
ACH-000231,-0.104451542515
ACH-000232,-0.229764431104
ACH-000233,-0.0910491329672
ACH-000234,-0.395704653711
ACH-000235,-0.216026030971
ACH-000237,-0.412753161132
