,TOP1 (7150)
ACH-000004,-0.847519856884
ACH-000007,-0.686704725935
ACH-000009,-0.403815363144
ACH-000011,-0.681958209504
ACH-000012,-0.9476754055750001
ACH-000013,-0.852044740591
ACH-000014,-0.96097242204
ACH-000015,-0.61020232228
ACH-000017,-0.947716531331
ACH-000018,-0.6954425801549999
ACH-000019,-0.588229866561
ACH-000021,-0.829670750623
ACH-000022,-0.836458084338
ACH-000025,-0.656484866603
ACH-000028,-0.5365961038170001
ACH-000030,-0.821040909959
ACH-000035,-0.639688410086
ACH-000036,-0.792185824761
ACH-000037,0.1399244736
ACH-000039,-0.849024408653
ACH-000040,-0.986164451248
ACH-000041,-0.752635205344
ACH-000042,-0.907877865892
ACH-000045,-0.974035389836
ACH-000047,-0.628284873305
ACH-000052,-1.0570434226799998
ACH-000053,-0.837714304878
ACH-000054,-0.970346369424
ACH-000055,-0.572144983841
ACH-000060,-0.584488542839
ACH-000067,-0.740507945052
ACH-000070,-0.915615138538
ACH-000075,-0.857085601601
ACH-000078,-0.8178269077760001
ACH-000082,-1.18970955303
ACH-000085,-0.790144144015
ACH-000086,-0.8985294390459999
ACH-000087,-0.6652286448260001
ACH-000092,-0.864328600802
ACH-000095,-1.02306914958
ACH-000097,-0.881569983909
ACH-000098,-0.512034064349
ACH-000099,-1.22910571691
ACH-000108,-0.777429360899
ACH-000113,-1.13227898289
ACH-000115,-1.1250303449299999
ACH-000116,-0.7591629330930001
ACH-000118,-0.763159659138
ACH-000120,-0.863107905808
ACH-000123,-1.05993071636
ACH-000127,-0.63899571501
ACH-000128,-0.874174421585
ACH-000132,-0.630100257733
ACH-000133,-1.0605553860799999
ACH-000137,-0.47139613342200004
ACH-000138,-0.7100842734370001
ACH-000142,-0.653270586609
ACH-000143,-0.8698018609729999
ACH-000146,-0.803090575351
ACH-000148,-0.570053682297
ACH-000150,-0.840539821215
ACH-000152,-0.7230766544380001
ACH-000153,-1.4845980441799997
ACH-000159,-0.7889536517110001
ACH-000160,-0.394085953579
ACH-000163,-0.9214206284280001
ACH-000167,-0.573807215067
ACH-000168,-0.801208934589
ACH-000169,-0.924537000685
ACH-000178,-0.785700848322
ACH-000182,-0.9119694948
ACH-000183,-0.821727574118
ACH-000188,-0.8454566027079999
ACH-000189,-1.06191786651
ACH-000190,-0.163088913651
ACH-000198,-1.0082078364899998
ACH-000204,-0.830811068309
ACH-000206,-0.798814789551
ACH-000207,-0.7887981861040001
ACH-000211,-0.8005959152779999
ACH-000215,-1.0644806157200002
ACH-000221,-0.9421829104070001
ACH-000222,-0.7433051899600001
ACH-000223,-0.794130412205
ACH-000226,-0.90166692581
ACH-000227,-1.01577980429
ACH-000228,-0.819221028175
ACH-000231,-0.95806151119
