,MASTL (84930)
ACH-000004,-2.1478978932099997
ACH-000007,-1.8012377049500001
ACH-000009,-1.81027617723
ACH-000011,-1.132960929
ACH-000012,-1.66149666255
ACH-000013,-0.6549767123879999
ACH-000014,-2.15240956852
ACH-000015,-1.15563521454
ACH-000017,-1.88832423465
ACH-000018,-1.4237445900499999
ACH-000019,-1.62718738864
ACH-000021,-1.82158256709
ACH-000022,-1.96760309006
ACH-000025,-1.6785371448
ACH-000028,-1.64820535019
ACH-000030,-1.86490442909
ACH-000035,-1.38960389692
ACH-000036,-1.75913787407
ACH-000037,-1.58542293625
ACH-000039,-2.12039836887
ACH-000040,-1.8172558697999999
ACH-000041,-2.1109595698
ACH-000042,-1.6507535340900001
ACH-000045,-1.8422838710900002
ACH-000047,-1.7227886386700002
ACH-000052,-1.71420237257
ACH-000053,-1.59852910359
ACH-000054,-1.5958377924399998
ACH-000055,-1.52422909033
ACH-000060,-1.7904307353400002
ACH-000067,-1.53159253306
ACH-000070,-1.9211573223099998
ACH-000075,-1.70137030241
ACH-000078,-1.8306837680599999
ACH-000082,-1.87768104431
ACH-000085,-1.69290156146
ACH-000086,-1.6023914987999999
ACH-000087,-1.7827442460499998
ACH-000092,-1.60471691259
ACH-000095,-2.04249549952
ACH-000097,-1.70725422674
ACH-000098,-2.0546552732
ACH-000099,-1.8259092379400004
ACH-000108,-1.65525501885
ACH-000113,-1.6934275555899998
ACH-000115,-0.354241556908
ACH-000116,-1.42081170791
ACH-000118,-1.72145090534
ACH-000120,-1.61019644907
ACH-000123,-1.61724932695
ACH-000127,-1.68244260563
ACH-000128,-1.7413099532299998
ACH-000132,-2.16991246045
ACH-000133,-1.68632615571
ACH-000137,-1.8513637504
ACH-000138,-1.75641439365
ACH-000142,-1.78521350305
ACH-000143,-1.75049045629
ACH-000146,-2.53373972337
ACH-000148,-2.1673073001099996
ACH-000150,-1.95168120035
ACH-000152,-1.65366739831
ACH-000153,-1.80648559176
ACH-000159,-1.7620186558700002
ACH-000160,-1.67922586248
ACH-000163,-2.12338332705
ACH-000167,-2.3253561780500003
ACH-000168,-1.97395016931
ACH-000169,-1.8612564507499998
ACH-000178,-1.7572127824900001
ACH-000182,-1.9021683071200002
ACH-000183,-1.8739993004099997
ACH-000188,-1.84996310022
ACH-000189,-1.6793685291299998
ACH-000190,-1.924227097
ACH-000198,-1.8808155920400003
ACH-000204,-1.63374176697
ACH-000206,-1.76235792752
ACH-000207,-2.04888325449
ACH-000211,-1.44450530408
ACH-000215,-2.03357136789
ACH-000221,-1.2412353848
ACH-000222,-1.64749817776
ACH-000223,-1.7662180670099998
ACH-000226,-1.5508050138999998
ACH-000227,-2.69393467967
ACH-000228,-1.33228236642
ACH-000231,-2.0430566409599997
