,ATP5H (10476)
ACH-000004,-0.0834020098947
ACH-000007,-0.445340527688
ACH-000009,-0.465600292747
ACH-000011,0.296166735518
ACH-000012,-0.05152708439709999
ACH-000013,-0.37692203126900004
ACH-000014,-0.0390286798968
ACH-000015,-0.265965958249
ACH-000017,-0.200502676471
ACH-000018,-0.23178574612
ACH-000019,-0.28423087781100004
ACH-000021,-0.163212319113
ACH-000022,-0.311293026906
ACH-000025,-0.22758159617899998
ACH-000028,-0.22285510245
ACH-000030,-0.159753538496
ACH-000035,-0.39473167300399997
ACH-000036,0.239680037902
ACH-000037,-0.05323043341540001
ACH-000039,-0.137996933385
ACH-000040,-0.125015362295
ACH-000041,-0.168294140343
ACH-000042,-0.0359723486037
ACH-000045,-0.276920232905
ACH-000047,-0.23261696260200002
ACH-000052,-0.297377012105
ACH-000053,-0.0400862780367
ACH-000054,-0.23823588365899998
ACH-000055,0.00547704030717
ACH-000060,-0.24123106372900002
ACH-000067,-0.010001407496799999
ACH-000070,-0.49078728833
ACH-000075,-0.0458372178422
ACH-000078,-0.11990353234300001
ACH-000082,-0.07400770045039999
ACH-000085,-0.398340601994
ACH-000086,-0.32000198992
ACH-000087,-0.0662666241022
ACH-000092,-0.0696379045911
ACH-000095,0.09625365454330001
ACH-000097,-0.107171472733
ACH-000098,-0.266738468557
ACH-000099,-0.153897096304
ACH-000108,-0.0968673248408
ACH-000113,-0.23035776733199997
ACH-000115,-0.26179660626699996
ACH-000116,-0.350131398531
ACH-000118,-0.519302975807
ACH-000120,-0.027660408486799997
ACH-000123,-0.32028924719
ACH-000127,-0.300745500997
ACH-000128,-0.26728089263300003
ACH-000132,-0.222232196387
ACH-000133,0.009012241690290001
ACH-000137,-0.0508226753285
ACH-000138,-0.2474294811
ACH-000142,-0.30802675029800003
ACH-000143,-0.274171085178
ACH-000146,0.07012901483799999
ACH-000148,-0.307039472077
ACH-000150,-0.488254226267
ACH-000152,-0.13526144603
ACH-000153,-0.18982537482200001
ACH-000159,-0.238478246281
ACH-000160,-0.5793974636320001
ACH-000163,-0.045750822039199994
ACH-000167,-0.306183644978
ACH-000168,-0.0138380609103
ACH-000169,-0.46288145009
ACH-000178,-0.0672754980229
ACH-000182,-0.254110593275
ACH-000183,-0.261533434301
ACH-000188,-0.12435458243200001
ACH-000189,-0.144336039552
ACH-000190,-0.37977991638999997
ACH-000198,-0.309988478079
ACH-000204,-0.193516637539
ACH-000206,-0.07276219366930001
ACH-000207,-0.39353379932599997
ACH-000211,-0.25020416172800003
ACH-000215,-0.121097663295
ACH-000221,-0.596543588016
ACH-000222,0.0115784713845
ACH-000223,-0.384717309592
ACH-000226,0.0618366482905
ACH-000227,-0.32138222470899996
ACH-000228,-0.187042106246
ACH-000231,-0.106284642639
ACH-000232,-0.33232608218000004
ACH-000233,-0.251828464568
ACH-000234,-0.215477660889
ACH-000235,-0.0365578093613
ACH-000237,0.0626108240468
ACH-000238,-0.215181684238
ACH-000243,-0.160648303835
ACH-000244,-0.166920273118
ACH-000246,-0.224875830522
ACH-000248,-0.459300039657
ACH-000250,-0.0443540787669
ACH-000251,-0.358422328067
ACH-000253,-0.108921473682
ACH-000255,-0.272183162591
ACH-000256,-0.30001922571999995
ACH-000257,-0.538086390559
ACH-000258,-0.326114848596
ACH-000259,-0.346571291728
ACH-000260,-0.106811446809
ACH-000261,-0.21459309533399998
ACH-000262,-0.399619666937
ACH-000263,-0.39403542510399997
ACH-000264,-0.218091339425
ACH-000265,-0.378947047623
ACH-000266,0.011351441236399999
ACH-000272,-0.112591192575
ACH-000273,0.0858162880999
ACH-000274,-0.43266441573799996
ACH-000277,-0.307169104749
ACH-000278,-0.13495312120300001
ACH-000279,-0.189271632677
ACH-000280,-0.119492821873
ACH-000281,-0.0842725425372
ACH-000288,-0.5745584538899999
ACH-000291,-0.173028380097
ACH-000293,-0.296434831626
ACH-000294,0.0705804917329
ACH-000295,-0.110463727458
ACH-000296,-0.349524662481
ACH-000302,-0.278159792185
ACH-000304,-0.09707772156330001
ACH-000307,-0.044609258894499994
ACH-000308,-0.29396510873000004
ACH-000310,-0.041925073772
ACH-000311,-0.07616483266889999
ACH-000312,-0.23706934995
ACH-000315,-0.09189159337279999
ACH-000316,-0.291713056291
ACH-000317,-0.373198396044
ACH-000318,-0.30565770923
ACH-000319,-0.2928018203
ACH-000320,-0.245024198655
ACH-000322,-0.055638238249199994
ACH-000323,0.000139341962637
ACH-000324,-0.054880537447699995
ACH-000329,-0.295927089455
ACH-000330,-0.35648014747100004
ACH-000331,-0.21938350671700002
ACH-000332,-0.0167366957098
ACH-000334,-0.39237962734
ACH-000335,-0.285316804059
ACH-000336,-0.226453214062
