,GTF2A2 (2958)
ACH-000004,-1.0879712718999999
ACH-000007,-1.3507057438999999
ACH-000009,-1.3719263992700002
ACH-000011,-1.1831372025
ACH-000012,-1.6313024045500002
ACH-000013,-1.4222966011000002
ACH-000014,-1.51458529935
ACH-000015,-1.32078672098
ACH-000017,-1.23526917413
ACH-000018,-1.4095655883200002
ACH-000019,-0.969088449429
ACH-000021,-0.918064144306
ACH-000022,-1.21086247674
ACH-000025,-1.39285147696
ACH-000028,-1.1988931901100002
ACH-000030,-1.4251681307600002
ACH-000035,-1.4884193807799997
ACH-000036,-1.26874112057
ACH-000037,-0.820549777342
ACH-000039,-1.45227858757
ACH-000040,-1.19509126819
ACH-000041,-1.43743239471
ACH-000042,-1.41690389738
ACH-000045,-1.26821356338
ACH-000047,-1.2361042922399998
ACH-000052,-1.6392398698800001
ACH-000053,-1.26467222055
ACH-000054,-1.2925386615899999
ACH-000055,-1.343750396
ACH-000060,-1.17088803283
ACH-000067,-1.12620063547
ACH-000070,-1.51416635092
ACH-000075,-0.940334479369
ACH-000078,-1.45154007167
ACH-000082,-1.2936823448700001
ACH-000085,-1.3649064680899998
ACH-000086,-1.2371866191399998
ACH-000087,-1.5472773604199999
ACH-000092,-1.11141569972
ACH-000095,-1.49256481546
ACH-000097,-1.3540993316999999
ACH-000098,-1.14303826097
ACH-000099,-1.16558038713
ACH-000108,-1.33942159259
ACH-000113,-1.0258405215200002
ACH-000115,-1.4663399499599998
ACH-000116,-1.52095419123
ACH-000118,-1.28178093765
ACH-000120,-1.1981268710700002
ACH-000123,-1.3928561471799998
ACH-000127,-1.34853808963
ACH-000128,-1.3670359184399998
ACH-000132,-1.48180833154
ACH-000133,-1.23220201577
ACH-000137,-1.4075008368000002
ACH-000138,-1.2433116286399999
ACH-000142,-1.28266867216
ACH-000143,-1.32441740799
ACH-000146,-1.2038538919600001
ACH-000148,-1.16581640538
ACH-000150,-1.3703425691799997
ACH-000152,-1.15436884109
ACH-000153,-1.25597926713
ACH-000159,-1.14939754836
ACH-000160,-0.747939824392
ACH-000163,-1.23914230456
ACH-000167,-0.589672848859
ACH-000168,-1.09035724687
ACH-000169,-1.31287634426
ACH-000178,-1.43680460823
ACH-000182,-1.20933206162
ACH-000183,-1.0759229776700001
ACH-000188,-1.3248269720899999
ACH-000189,-1.34999812615
ACH-000190,-0.666170821273
ACH-000198,-1.18845126976
ACH-000204,-1.27688054669
ACH-000206,-1.08559846567
ACH-000207,-1.15251049572
ACH-000211,-1.1867772336799998
ACH-000215,-1.23574145465
ACH-000221,-1.28773019366
ACH-000222,-1.56339844243
ACH-000223,-1.3484688440700001
ACH-000226,-1.2760751372799999
ACH-000227,-1.23222915392
ACH-000228,-1.19060114
ACH-000231,-1.5465107844200001
ACH-000232,-1.27917270029
ACH-000233,-1.22875141668
ACH-000234,-1.3814137698
ACH-000235,-1.23227694922
ACH-000237,-1.22833368907
ACH-000238,-1.25429774467
ACH-000243,-1.44390062833
ACH-000244,-1.0
ACH-000246,-1.27011082134
ACH-000248,-1.2121103522499999
ACH-000250,-1.31224033037
ACH-000251,-1.4418589225100003
ACH-000253,-1.25910556825
ACH-000255,-1.35891531049
ACH-000256,-1.49057222095
ACH-000257,-1.4839174587600001
ACH-000258,-1.5627903588999998
ACH-000259,-1.1466698127600001
ACH-000260,-1.32753883096
ACH-000261,-1.40566698745
