,RASL12 (51285)
ACH-000004,-0.20378007922400002
ACH-000007,0.051566754583300005
ACH-000009,-0.153493058321
ACH-000011,-0.07051856851180001
ACH-000012,-0.154335579003
ACH-000013,-0.23962913533000005
ACH-000014,-0.00647439896595
ACH-000015,-0.08755612250679999
ACH-000017,-0.117568989704
ACH-000018,-0.182572597112
ACH-000019,-0.271538724646
ACH-000021,0.0347777720836
ACH-000022,-0.25362685230099996
ACH-000025,-0.0680329485825
ACH-000028,-0.072642023344
ACH-000030,-0.08488659676860001
ACH-000035,-0.150019900321
ACH-000036,-0.0976747919977
ACH-000037,0.135567541582
ACH-000039,0.156392175835
ACH-000040,0.107210333238
ACH-000041,-0.0974170200052
ACH-000042,-0.0292319172412
ACH-000045,-0.250971647535
ACH-000047,-0.131704580636
ACH-000052,-0.000840633922766
ACH-000053,-0.076914661035
ACH-000054,-0.00266479902441
ACH-000055,-0.120254621263
ACH-000060,0.048017422678100004
ACH-000067,-0.104003801128
ACH-000070,-0.169220049718
ACH-000075,0.0120751985745
ACH-000078,0.0464255986879
ACH-000082,-0.013526122414299999
ACH-000085,-0.14301947784900002
ACH-000086,-0.109839206338
ACH-000087,0.0842783529002
ACH-000092,-0.19604408336800003
ACH-000095,0.014314723257299999
ACH-000097,-0.00973330993926
ACH-000098,-0.192299573209
ACH-000099,0.00806851394761
ACH-000108,-0.17146823405699999
ACH-000113,-0.13376868395400002
ACH-000115,-0.208445794354
ACH-000116,-0.289235025594
ACH-000118,-0.0287225185783
ACH-000120,-0.354235177853
ACH-000123,-0.0626657315705
ACH-000127,-0.0588746125425
ACH-000128,-0.12208714342700001
ACH-000132,-0.23736396228700002
ACH-000133,-0.109308460066
ACH-000137,-0.011738536758
ACH-000138,0.0821045191168
ACH-000142,-0.088458142445
ACH-000143,-0.166990382972
ACH-000146,-0.10395443725600001
ACH-000148,-0.225349155103
ACH-000150,-0.402288556876
ACH-000152,-0.120116553806
ACH-000153,-0.0987102376163
ACH-000159,-0.0580261957281
ACH-000160,-0.10688868400399999
ACH-000163,-0.0123777642655
ACH-000167,0.022542299715100002
ACH-000168,0.156169827252
ACH-000169,-0.31312737085700004
ACH-000178,-0.00184281159646
ACH-000182,-0.0791009473191
ACH-000183,-0.244869462346
ACH-000188,-0.0526586899865
ACH-000189,-0.266874627642
ACH-000190,-0.0892384193812
ACH-000198,-0.178359561447
ACH-000204,-0.00739187276442
ACH-000206,-0.144406091269
ACH-000207,-0.13126251822499999
ACH-000211,-0.0793938546073
ACH-000215,0.0023103871626599997
ACH-000221,-0.387216449997
ACH-000222,-0.130926399148
ACH-000223,-0.145622027673
ACH-000226,-0.022355437960000002
ACH-000227,-0.211409543835
ACH-000228,0.051691361499
ACH-000231,-0.17024351147999997
ACH-000232,-0.0931417492
ACH-000233,0.0027639780976700004
ACH-000234,-0.408091081563
ACH-000235,-0.043997264895099995
