,OPRL1 (4987)
ACH-000004,-0.0366107566231
ACH-000007,-0.257463438432
ACH-000009,-0.228232576366
ACH-000011,-0.11045780623099999
ACH-000012,-0.0959925095359
ACH-000013,-0.0796745535644
ACH-000014,-0.177881646565
ACH-000015,-0.21827464237
ACH-000017,-0.33634736845799995
ACH-000018,-0.12136737328500001
ACH-000019,-0.27152052311299996
ACH-000021,-0.10876429443399999
ACH-000022,-0.239344285249
ACH-000025,-0.163871772045
ACH-000028,-0.27491506645
ACH-000030,-0.14677130777699998
ACH-000035,0.0808315362101
ACH-000036,-0.20866444376899998
ACH-000037,0.0569548448223
ACH-000039,-0.15519651124199998
ACH-000040,0.039173597360699995
ACH-000041,0.0332637504612
ACH-000042,-0.262908343795
ACH-000045,-0.00795005589208
ACH-000047,-0.058853653341600004
ACH-000052,0.0650117829235
ACH-000053,-0.26960868699
ACH-000054,-0.15819407331
ACH-000055,0.0582481348488
ACH-000060,-0.00795605176307
ACH-000067,-0.0257379679942
ACH-000070,-0.222404990482
ACH-000075,0.0268117278456
ACH-000078,-0.450383674217
ACH-000082,-0.18292600597300002
ACH-000085,-0.309241474442
ACH-000086,-0.0626097864839
ACH-000087,-0.125436282212
ACH-000092,0.0513044173644
ACH-000095,-0.010152953911999999
ACH-000097,-0.174587500041
ACH-000098,-0.00237371393362
ACH-000099,-0.31592708979899997
ACH-000108,-0.276950427903
ACH-000113,-0.08625037816469999
ACH-000115,-0.32318808703699997
ACH-000116,-0.0075898490079799995
ACH-000118,-0.127778313778
ACH-000120,-0.29172824457400004
ACH-000123,0.0870810583481
ACH-000127,-0.28694105912900003
ACH-000128,-0.20779842541700003
ACH-000132,-0.030267277673299998
ACH-000133,-0.22954093157699998
ACH-000137,-0.0505750024934
ACH-000138,-0.0456462361336
ACH-000142,-0.115914487183
ACH-000143,-0.223985459113
ACH-000146,0.017194495077900003
ACH-000148,-0.17457715470600002
ACH-000150,-0.0651055160822
ACH-000152,-0.128980539353
ACH-000153,-0.424279837822
ACH-000159,-0.0270966357969
ACH-000160,0.063519649855
ACH-000163,-0.20146109675999999
ACH-000167,-0.243240509498
ACH-000168,0.0804438652284
ACH-000169,-0.17290972494399998
ACH-000178,-0.26503804201299996
ACH-000182,-0.187359735057
ACH-000183,-0.10656604637599999
ACH-000188,-0.0370273203266
ACH-000189,-0.155588772449
ACH-000190,-0.0999361445485
ACH-000198,0.0354698023743
ACH-000204,-0.34511051018
ACH-000206,-0.0150528650948
ACH-000207,-0.502016176429
ACH-000211,0.051831181430400004
ACH-000215,0.0100584546169
ACH-000221,0.044166223494800004
ACH-000222,0.0545739505294
ACH-000223,-0.29928102358
ACH-000226,-0.16855158697
ACH-000227,-0.249768094491
ACH-000228,0.044418348637600004
ACH-000231,-0.131280193582
ACH-000232,-0.0445560197649
ACH-000233,-0.190964322164
ACH-000234,-0.131473016875
ACH-000235,-0.220435553721
ACH-000237,-0.147227256519
ACH-000238,-0.44694947604199997
ACH-000243,-0.0275284582254
ACH-000244,-0.0408825666533
ACH-000246,-0.244239959007
ACH-000248,-0.133587373111
ACH-000250,-0.286597303318
ACH-000251,0.0383346043784
ACH-000253,-0.49274079197099996
ACH-000255,-0.007321503537979999
ACH-000256,-0.38100221479099994
ACH-000257,-0.304682801785
ACH-000258,-0.115367044112
ACH-000259,-0.287107481498
ACH-000260,-0.171541142394
ACH-000261,-0.0567762846229
ACH-000262,-0.25012377593699997
ACH-000263,0.226357393869
ACH-000264,-0.046645263460999994
ACH-000265,-0.0820802776575
ACH-000266,-0.254409112406
ACH-000272,-0.209802133648
ACH-000273,-0.026552228317400003
ACH-000274,-0.039957270342699996
ACH-000277,-0.5524021677440001
ACH-000278,-0.258806896352
ACH-000279,-0.0232481212257
ACH-000280,-0.013678027765899999
ACH-000281,-0.17584364854600001
ACH-000288,-0.190264180551
ACH-000291,-0.108766233125
ACH-000293,-0.133691492125
ACH-000294,-0.160235578598
ACH-000295,-0.346550296152
ACH-000296,0.0075924176989799995
ACH-000302,-0.130159464373
ACH-000304,-0.530320162938
ACH-000307,-0.19354116784699998
ACH-000308,-0.10370969876599999
ACH-000310,-0.33840344375
ACH-000311,-0.0512204325051
ACH-000312,-0.129999156916
ACH-000315,0.013558082596
ACH-000316,-0.17147098646499997
ACH-000317,-0.0315713354216
ACH-000318,-0.107294631601
ACH-000319,0.0486804601895
ACH-000320,-0.389436111411
ACH-000322,-0.426600794542
ACH-000323,-0.28302428817499997
ACH-000324,-0.0100116453151
ACH-000329,-0.268535063374
ACH-000330,-0.07870549124750001
ACH-000331,0.0343518256201
ACH-000332,-0.21538922066500002
ACH-000334,-0.126431714966
ACH-000335,0.0210416269441
ACH-000336,0.125510294331
ACH-000337,-0.040077466957699995
ACH-000339,-0.208433414727
ACH-000341,-0.0042053852822
ACH-000348,-0.041461570337300004
ACH-000350,-0.149794445326
ACH-000352,-0.346191045862
ACH-000356,0.0426571586627
ACH-000361,-0.260546153612
ACH-000362,-0.13936247625499998
ACH-000363,-0.0887101635969
ACH-000364,0.0313554163409
ACH-000365,0.0526936983273
ACH-000366,-0.275669772748
ACH-000368,-0.12050778000399999
ACH-000374,0.0139441750775
ACH-000375,-0.149450898056
ACH-000376,-0.26961956332
ACH-000381,-0.12125770194800001
ACH-000383,-0.0273326242243
ACH-000387,0.074170677162
ACH-000389,0.07044000565650001
ACH-000390,-0.0800027495033
ACH-000393,-0.0423501632533
ACH-000395,-0.27409647639699997
ACH-000397,-0.44117055074699996
ACH-000401,-0.47039435869699997
ACH-000402,-0.0450365388375
