,TPRKB (51002)
ACH-000004,-0.488545645568
ACH-000007,-0.34132878732
ACH-000009,-0.834220577603
ACH-000011,-0.584570918145
ACH-000012,-0.672527394003
ACH-000013,-0.392140104425
ACH-000014,-0.576983876829
ACH-000015,-0.484843258535
ACH-000017,-0.47065877993699995
ACH-000018,-0.523860352394
ACH-000019,-0.329513604333
ACH-000021,-0.544281726608
ACH-000022,-0.602438559001
ACH-000025,-0.7671173303899999
ACH-000028,-0.494752968227
ACH-000030,-0.897931747409
ACH-000035,-0.515103997637
ACH-000036,-0.723608788116
ACH-000037,-0.38546131664000005
ACH-000039,-0.8536033350900001
ACH-000040,-0.886171060685
ACH-000041,-0.617550404229
ACH-000042,-0.981164682685
ACH-000045,-0.645725622031
ACH-000047,-0.421602626622
ACH-000052,-0.8281288695640001
ACH-000053,-0.675889462106
ACH-000054,-0.5523216218020001
ACH-000055,-0.7950803443340001
ACH-000060,-0.69917494191
ACH-000067,-0.5236864769430001
ACH-000070,-0.5724207568
ACH-000075,-0.5218166982519999
ACH-000078,-0.615028195684
ACH-000082,-0.42839414067500003
ACH-000085,-0.7241840924390001
ACH-000086,-1.07561807741
ACH-000087,-0.676422537561
ACH-000092,-0.946623171511
ACH-000095,-0.521887608499
ACH-000097,-0.485652070458
ACH-000098,-0.849685811108
ACH-000099,-0.5965448421980001
ACH-000108,-0.803783925401
ACH-000113,-0.627871689922
ACH-000115,-0.5316624672029999
ACH-000116,-0.551424102809
ACH-000118,-0.510392950075
ACH-000120,-0.514495947157
ACH-000123,-0.704447395948
ACH-000127,-0.605656178114
ACH-000128,-0.668280957646
ACH-000132,-0.505139529137
ACH-000133,-0.6052918873049999
ACH-000137,-0.451398180725
ACH-000138,-0.641062746157
ACH-000142,-0.846676391603
ACH-000143,-0.666762245132
ACH-000146,-0.570364939564
ACH-000148,-0.626076684865
ACH-000150,-0.8246585022920001
ACH-000152,-0.519065892902
ACH-000153,-0.32367966059500003
ACH-000159,-0.793614307198
ACH-000160,-0.52555802427
ACH-000163,-0.491947948561
ACH-000167,-0.547323428947
ACH-000168,-0.298252488297
ACH-000169,-0.769297850115
ACH-000178,-0.606661556317
ACH-000182,-0.492403085625
ACH-000183,-0.551897854864
ACH-000188,-0.6062457953279999
ACH-000189,-0.254239325825
ACH-000190,-0.846788682282
ACH-000198,-0.602567656681
ACH-000204,-0.28278118886
ACH-000206,-0.372294533455
ACH-000207,-0.816296773418
ACH-000211,-0.557501599561
ACH-000215,-0.6838882633069999
ACH-000221,-0.364309283604
ACH-000222,-0.945643553055
ACH-000223,-0.493126499523
ACH-000226,-0.684784972498
ACH-000227,-0.790341001686
ACH-000228,-0.6522013188629999
ACH-000231,-0.8744773353540001
ACH-000232,-0.744069779495
ACH-000233,-0.44891148409500004
ACH-000234,-0.695860353065
ACH-000235,-0.6873547604350001
ACH-000237,-0.576609592518
ACH-000238,-0.449429343478
ACH-000243,-0.7716449256110001
ACH-000244,-0.506710476645
ACH-000246,-0.591608518059
ACH-000248,-0.35929515902500003
ACH-000250,-0.8674532301860001
ACH-000251,-0.917537557494
ACH-000253,-0.412074389539
ACH-000255,-0.63780274132
ACH-000256,-0.558421741956
ACH-000257,-0.67536078568
ACH-000258,-0.8719640151189999
ACH-000259,-0.618981014221
ACH-000260,-0.7773551233079999
ACH-000261,-0.7408117569
ACH-000262,-0.575411416896
ACH-000263,-0.0931679750237
ACH-000264,-0.580683668613
ACH-000265,-0.9220181211849999
ACH-000266,-0.5287498113870001
ACH-000272,-0.723515287898
ACH-000273,-0.858630303246
ACH-000274,-0.7726484228380001
ACH-000277,-0.716172650612
ACH-000278,-0.587669999733
ACH-000279,-0.462721553383
ACH-000280,-0.611899252369
ACH-000281,-0.889700240125
ACH-000288,-0.728659609396
ACH-000291,-0.597850970916
ACH-000293,-0.5513368656009999
ACH-000294,-0.497914633341
ACH-000295,-0.523731640175
ACH-000296,-0.941087805985
ACH-000302,-0.41121021570200006
ACH-000304,-0.537481567013
ACH-000307,-0.778106281888
ACH-000308,-0.590284992298
ACH-000310,-0.922779745245
ACH-000311,-0.6971841580329999
ACH-000312,-0.97777245095
ACH-000315,-0.513320813994
ACH-000316,-0.58074306073
ACH-000317,-0.558058828796
ACH-000318,-0.592608636465
ACH-000319,-0.635962885279
ACH-000320,-0.9641704131899999
ACH-000322,-0.621823772329
ACH-000323,-0.6505657285540001
ACH-000324,-0.755167428331
ACH-000329,-0.48297806283699996
ACH-000330,-0.354311236912
ACH-000331,-0.728854324388
ACH-000332,-0.887389939435
ACH-000334,-0.266160470361
ACH-000335,-0.696928244393
ACH-000336,-0.262373931709
ACH-000337,-0.557810081034
ACH-000339,-0.537828862482
ACH-000341,-0.952458395457
ACH-000348,-0.460849084597
ACH-000350,-0.801003579368
ACH-000352,-0.33539423808200003
ACH-000356,-0.531083788708
ACH-000361,-0.615777284128
ACH-000362,-0.719747237056
ACH-000363,-0.424612684688
ACH-000364,-0.490429455661
ACH-000365,-0.426791333235
ACH-000366,-0.8523048579960001
ACH-000368,-0.554310909135
ACH-000374,-0.657781705718
ACH-000375,-0.563276792867
ACH-000376,-0.7363681939210001
ACH-000381,-0.80766999562
ACH-000383,-0.536169524302
ACH-000387,-0.526752203659
ACH-000389,-0.698574394236
ACH-000390,-0.5646968590770001
ACH-000393,-0.625369737061
ACH-000395,-0.747371803683
ACH-000397,-0.7652831593870001
ACH-000401,-0.635289593852
ACH-000402,-0.48199804475599994
ACH-000403,-0.604172241334
ACH-000404,-0.7162463787989999
ACH-000406,-0.5227150049970001
ACH-000407,-0.584635874504
ACH-000408,-0.8714207856990001
ACH-000410,-0.41258660135700004
ACH-000411,-0.7885235998540001
ACH-000414,-0.812193792834
ACH-000415,-0.5725434904950001
ACH-000416,-0.548070289405
ACH-000420,-0.6256253158899999
ACH-000421,-0.494892895411
ACH-000424,-0.463731322298
ACH-000425,-0.370348624322
ACH-000426,-0.5747304497869999
ACH-000427,-0.5695844905749999
ACH-000433,-0.980396320235
ACH-000436,-0.04769369789340001
ACH-000444,-0.699321808294
ACH-000445,-0.977513327121
ACH-000448,-0.442287735624
ACH-000450,-0.67584624994
ACH-000452,-0.568217090174
ACH-000454,-0.79992386854
ACH-000458,-0.41538695089
ACH-000459,-0.457704707563
ACH-000460,-0.493448216545
ACH-000461,-0.495727166967
ACH-000463,-0.751397904221
ACH-000464,-0.885369057134
ACH-000466,-0.7400937565160001
ACH-000467,-0.321770922371
ACH-000468,-0.7953696211110001
ACH-000469,-0.5554965646660001
ACH-000470,-0.530104464049
ACH-000471,-0.6418262793630001
ACH-000472,-0.486905729367
ACH-000473,-0.41446684685699997
ACH-000475,-0.7237217596150001
ACH-000476,-0.535202910908
ACH-000477,-0.6587857544960001
ACH-000480,-0.534060254682
ACH-000481,-0.449307129855
ACH-000483,-0.540467760849
ACH-000484,-0.51106999643
ACH-000485,-0.698754559777
ACH-000486,-0.7142148502169999
ACH-000487,-0.524441277228
ACH-000488,-0.658445241623
ACH-000490,-0.539533679325
ACH-000491,-0.543734458204
ACH-000495,-0.5034934375410001
ACH-000496,-0.9116424218629999
ACH-000499,-0.710849103802
ACH-000500,-1.04261979222
ACH-000502,-0.8658880891140001
ACH-000503,-0.501536138904
ACH-000505,-0.568123758729
ACH-000507,-0.6018454499170001
ACH-000510,-0.734849496595
ACH-000511,-0.565720062287
ACH-000512,-0.49554920264700003
ACH-000516,-0.22540970985199998
ACH-000517,-0.7244567418760001
ACH-000518,-0.613194701342
ACH-000520,-0.759361490948
ACH-000521,-0.709545068012
ACH-000522,-0.7134646521529999
ACH-000524,-0.536349211196
ACH-000527,-0.630515669103
ACH-000528,-0.49190899707099994
ACH-000537,-0.522974599662
ACH-000541,-0.43498896816699995
ACH-000542,-0.695522808672
ACH-000544,-0.5669585153410001
ACH-000545,-0.834231028636
ACH-000547,-0.46266205114299996
ACH-000548,-0.751487099934
ACH-000549,-0.831337400172
ACH-000550,-0.620765120653
ACH-000552,-0.42219901285899997
ACH-000556,-0.808693026022
ACH-000557,-0.189281492222
ACH-000570,-0.873799499964
ACH-000571,-0.400459218324
ACH-000573,-0.257311894098
ACH-000576,-0.42876804326300005
ACH-000580,-0.348424490368
ACH-000584,-0.46094098895499996
ACH-000585,-0.5946770473740001
ACH-000588,-0.385463437157
ACH-000589,-0.426415714505
ACH-000591,-0.650270194978
