,NAA40 (79829)
ACH-000004,-0.433570410779
ACH-000007,-0.603474413544
ACH-000009,-0.384075973949
ACH-000011,-0.442211602526
ACH-000012,-0.479149112592
ACH-000013,-0.318463647041
ACH-000014,-0.307778282681
ACH-000015,-0.105562194284
ACH-000017,-0.403018536638
ACH-000018,-0.397241023342
ACH-000019,-0.44672740258599997
ACH-000021,-0.49707689000699995
ACH-000022,-0.180623153298
ACH-000025,-0.43270344928800003
ACH-000028,-0.258926094491
ACH-000030,-0.508506213898
ACH-000035,-0.355028274535
ACH-000036,-0.549703543707
ACH-000037,-0.7135078886439999
ACH-000039,-0.15606820495100002
ACH-000040,-0.494616354604
ACH-000041,-0.18505127584800002
ACH-000042,-0.578209727711
ACH-000045,-0.34633897446500006
ACH-000047,-0.254886744876
ACH-000052,-0.405536457232
ACH-000053,-0.441298686408
ACH-000054,-0.218465350284
ACH-000055,-0.609846021552
ACH-000060,-0.39746718276299997
ACH-000067,-0.39450294313900003
ACH-000070,-0.701795494931
ACH-000075,-0.529262819521
ACH-000078,-0.279752671891
ACH-000082,-0.335446572011
ACH-000085,-0.687115312415
ACH-000086,-0.35137333050399994
ACH-000087,-0.18918692696199998
ACH-000092,-0.505266443407
ACH-000095,-0.368093193692
ACH-000097,-0.432535335624
ACH-000098,-0.239415092435
ACH-000099,-0.310465897972
ACH-000108,-0.36138667691799997
ACH-000113,-0.5112363095920001
ACH-000115,-0.65651431167
ACH-000116,-0.545908716574
ACH-000118,-0.514887680566
ACH-000120,-0.302847202862
ACH-000123,-0.305812656891
ACH-000127,-0.125042005761
ACH-000128,-0.43217924015299997
ACH-000132,-0.26938526214200004
ACH-000133,-0.404047239524
ACH-000137,-0.262532084449
ACH-000138,-0.29167236669
ACH-000142,-0.45018508404700003
ACH-000143,-0.32030709430599996
ACH-000146,-0.09821313931510002
ACH-000148,-0.35150575925300004
ACH-000150,-0.449970249778
ACH-000152,-0.37157805259800003
ACH-000153,-0.75719126599
ACH-000159,-0.449616038472
ACH-000160,0.0196579192809
ACH-000163,-0.487952628094
ACH-000167,0.10419390757500001
ACH-000168,-0.5203068219870001
ACH-000169,-0.21049027991
ACH-000178,-0.315070908963
ACH-000182,-0.119595982405
ACH-000183,-0.381160581883
ACH-000188,-0.73208667366
ACH-000189,-0.716208548689
ACH-000190,0.22347959087900002
ACH-000198,-0.533993651043
ACH-000204,-0.659167917278
ACH-000206,-0.39163373691200004
ACH-000207,-0.348917602997
ACH-000211,-0.26986838112
ACH-000215,-0.247336448947
ACH-000221,-0.564500405833
ACH-000222,-0.471478315549
ACH-000223,-0.490745084019
ACH-000226,-0.427743116223
ACH-000227,-0.394185719529
ACH-000228,-0.526764859582
ACH-000231,-0.217139079326
ACH-000232,-0.43099465601899994
ACH-000233,-0.42528084669
ACH-000234,-0.175952175417
ACH-000235,-0.318683548858
ACH-000237,-0.322496703984
ACH-000238,-0.403855653355
ACH-000243,-0.29170773851
ACH-000244,-0.6924462123039999
ACH-000246,-0.46466091863700004
ACH-000248,-0.23241466347399997
ACH-000250,-0.393161434252
ACH-000251,-0.610002222111
ACH-000253,-0.20329092703499999
ACH-000255,-0.47859163770900004
ACH-000256,-0.328003035258
ACH-000257,-0.532520746991
ACH-000258,-0.330999367544
ACH-000259,-0.32475939369
ACH-000260,-0.391635173151
ACH-000261,-0.4351064548
ACH-000262,-0.527920742315
ACH-000263,0.0849798021252
ACH-000264,-0.190976587016
ACH-000265,-0.459863511321
ACH-000266,-0.361669255488
ACH-000272,-0.22018111778000002
ACH-000273,-0.279344806532
ACH-000274,-0.501911574499
ACH-000277,-0.38960838955
ACH-000278,0.09434152216700001
ACH-000279,-0.185548204498
ACH-000280,-0.429416555332
ACH-000281,-0.5340439612110001
ACH-000288,-0.366332405144
ACH-000291,-0.351027518032
ACH-000293,-0.249271759831
ACH-000294,-0.262676185389
ACH-000295,-0.208071395388
ACH-000296,-0.230395509734
ACH-000302,-0.362040288971
ACH-000304,-0.174744552881
ACH-000307,-0.506056166895
ACH-000308,-0.44956031035300004
ACH-000310,-0.48193702904700003
ACH-000311,-0.490017168221
ACH-000312,-0.34705545341
ACH-000315,-0.268120226889
ACH-000316,-0.445938964306
ACH-000317,-0.767565377151
ACH-000318,-0.635766484829
ACH-000319,-0.32972315458900003
ACH-000320,-0.187458440244
ACH-000322,-0.413879841017
ACH-000323,-0.42952457981299996
ACH-000324,-0.306247066136
ACH-000329,-0.208178505112
ACH-000330,-0.504191020361
ACH-000331,-0.408653726591
ACH-000332,-0.454667709402
ACH-000334,-0.38279524663099995
ACH-000335,-0.121735359924
ACH-000336,-0.297159039736
ACH-000337,-0.401038521511
ACH-000339,-0.462900244638
ACH-000341,-0.210558585981
ACH-000348,-0.243672452839
ACH-000350,-0.402657862996
ACH-000352,-0.188589836323
ACH-000356,-0.617856768391
ACH-000361,-0.541492321828
ACH-000362,-0.592174423276
ACH-000363,-0.156184367755
ACH-000364,-0.437426275514
ACH-000365,-0.46339000820500004
ACH-000366,-0.524255737399
ACH-000368,-0.506328096883
ACH-000374,-0.610958027553
ACH-000375,-0.243756199489
ACH-000376,-0.46414122849
ACH-000381,-0.24242264284
ACH-000383,-0.259883123824
ACH-000387,-0.402957812778
ACH-000389,-0.382779264648
ACH-000390,-0.227523035928
ACH-000393,-0.156159957042
ACH-000395,-0.48539929451200003
ACH-000397,-0.31237653444
ACH-000401,-0.224805042607
ACH-000402,-0.16064114121099998
ACH-000403,-0.262785483337
ACH-000404,-0.390787072064
ACH-000406,-0.149873337554
ACH-000407,-0.38157604141400003
ACH-000408,-0.305417066523
ACH-000410,-0.283766372138
ACH-000411,-0.18840964968899998
ACH-000414,-0.261860160914
ACH-000415,-0.6340989193909999
ACH-000416,-0.398600051888
ACH-000420,-0.554789234828
ACH-000421,-0.577528278855
ACH-000424,-0.447605059279
ACH-000425,-0.414313139109
ACH-000426,-0.35478293734399996
ACH-000427,-0.632725307191
ACH-000433,-0.499174318459
ACH-000436,-0.17075344776999998
ACH-000444,-0.38005982914700004
ACH-000445,-0.47882446128600004
ACH-000448,-0.633026571785
ACH-000450,-0.474313396402
ACH-000452,-0.232046891418
ACH-000454,-0.389721313392
ACH-000458,-0.35029294144
ACH-000459,0.110401735529
ACH-000460,-0.45243569945
ACH-000461,-0.448441286065
ACH-000463,-0.300877474791
ACH-000464,-0.42135644509099995
ACH-000466,-0.428436472346
