,AARS (16)
ACH-000004,-1.8253348182900002
ACH-000007,-1.70624785466
ACH-000009,-1.6035554901499998
ACH-000011,-1.57197695717
ACH-000012,-1.7944025005900002
ACH-000013,-1.9076910134599998
ACH-000014,-1.70857093583
ACH-000015,-1.75986785589
ACH-000017,-1.8963610576099998
ACH-000018,-1.60940378641
ACH-000019,-1.64733301546
ACH-000021,-1.59541110141
ACH-000022,-1.65689416814
ACH-000025,-1.6408399785699999
ACH-000028,-1.7069937850799999
ACH-000030,-1.70947409075
ACH-000035,-1.61352139285
ACH-000036,-1.7299490029
ACH-000037,-1.0982395067
ACH-000039,-1.7664505593700002
ACH-000040,-1.4905947409
ACH-000041,-1.6564549357799998
ACH-000042,-1.45872804264
ACH-000045,-1.69854582104
ACH-000047,-1.86935742844
ACH-000052,-1.82160478793
ACH-000053,-1.6810064933000002
ACH-000054,-1.87296545265
ACH-000055,-1.6310699096899999
ACH-000060,-1.50860542995
ACH-000067,-1.4943226609600002
ACH-000070,-1.7967429380200002
ACH-000075,-1.8719735470900003
ACH-000078,-2.06067358542
ACH-000082,-1.96018868988
ACH-000085,-1.13988768877
ACH-000086,-1.54360016716
ACH-000087,-1.8053171129099999
ACH-000092,-1.9427302040799999
ACH-000095,-1.9031279259599998
ACH-000097,-1.49615298535
ACH-000098,-1.7708276504700002
ACH-000099,-1.70128460296
ACH-000108,-1.5075717092299998
ACH-000113,-1.5419061856799998
ACH-000115,-2.74601045128
ACH-000116,-1.8554569842099997
ACH-000118,-1.50394233384
ACH-000120,-1.4727494490200002
ACH-000123,-1.6034731107700002
ACH-000127,-1.6537063955700002
ACH-000128,-1.7530791886500001
ACH-000132,-1.55801336671
ACH-000133,-1.72606220222
ACH-000137,-1.8175222951099999
ACH-000138,-1.5719110225400001
ACH-000142,-1.6276672804499999
ACH-000143,-1.8244230698599997
ACH-000146,-1.82313056631
ACH-000148,-1.8947621888900004
ACH-000150,-1.45963068475
ACH-000152,-1.66344600218
ACH-000153,-1.20074544037
ACH-000159,-1.6720449093799998
ACH-000160,-1.7436273928200001
ACH-000163,-1.64862266036
ACH-000167,-2.04090536813
ACH-000168,-1.6041647557799998
ACH-000169,-1.80398462945
ACH-000178,-1.4889352032799998
ACH-000182,-1.5898968068700001
ACH-000183,-1.61417892623
ACH-000188,-1.480690831
ACH-000189,-1.10784371479
ACH-000190,-1.45124578717
ACH-000198,-1.8532158806099999
ACH-000204,-1.6220251593500001
ACH-000206,-1.7706075359599998
ACH-000207,-1.26938942551
