,NOA1 (84273)
ACH-000004,-0.208962554736
ACH-000007,-0.382740713132
ACH-000009,-0.21674923104899999
ACH-000011,0.048782972216199996
ACH-000012,-0.30058158399
ACH-000013,-0.527363794679
ACH-000014,-0.5509150682339999
ACH-000015,-0.49809599233999996
ACH-000017,-0.38698200768
ACH-000018,-0.176144058306
ACH-000019,-0.41570954349699996
ACH-000021,-0.157479939536
ACH-000022,-0.425892596884
ACH-000025,-0.224312852205
ACH-000028,-0.7281758577349999
ACH-000030,-0.153161247171
ACH-000035,-0.260605318937
ACH-000036,-0.023152811965200002
ACH-000037,-0.441397488945
ACH-000039,-0.0202077768844
ACH-000040,-0.247979932139
ACH-000041,-0.405978050757
ACH-000042,-0.0441942337244
ACH-000045,-0.783578286775
ACH-000047,-0.447584218748
ACH-000052,-0.39348085303400004
ACH-000053,-0.10091852811100001
ACH-000054,-0.0704673312838
ACH-000055,-0.240865195498
ACH-000060,-0.223304687242
ACH-000067,-0.0877460953259
ACH-000070,-0.316747456066
ACH-000075,-0.40194942763400004
ACH-000078,-0.144003409639
ACH-000082,-0.302589806103
ACH-000085,-0.115068090933
ACH-000086,-0.391497517262
ACH-000087,-0.151132896391
ACH-000092,-0.43357060507399997
ACH-000095,-0.293545222755
ACH-000097,-0.25412389666499996
ACH-000098,-0.381401848937
ACH-000099,-0.126750997681
ACH-000108,-0.23669009472
ACH-000113,-1.01955078137
ACH-000115,-0.433465977273
ACH-000116,-0.276108080712
ACH-000118,-0.502686502145
ACH-000120,-0.214271004461
ACH-000123,-0.219165356752
ACH-000127,-0.364852976176
ACH-000128,-0.63442906954
ACH-000132,-0.251056997078
ACH-000133,-0.35861580819300004
ACH-000137,-0.21825516604200002
ACH-000138,-0.20827369407000001
ACH-000142,-0.313396650281
ACH-000143,-0.422946349557
ACH-000146,-0.201124430504
ACH-000148,-0.534683065817
ACH-000150,-0.39261174218500006
ACH-000152,-0.297177001462
ACH-000153,-0.843429332841
ACH-000159,-0.444294513113
ACH-000160,-0.626662823627
ACH-000163,-0.269965865845
ACH-000167,-0.106537049742
ACH-000168,-0.049761486081600005
ACH-000169,-0.307835378023
ACH-000178,-0.266183370364
ACH-000182,-0.165161439539
ACH-000183,-0.300943853592
ACH-000188,-0.194459220153
ACH-000189,0.022056230169599997
ACH-000190,-0.514435093752
ACH-000198,-0.49514249002599997
ACH-000204,-0.420080971136
ACH-000206,-0.24393265412700002
ACH-000207,-0.412614597369
ACH-000211,-0.21928190933400002
ACH-000215,-0.398218489562
ACH-000221,-0.852836085915
ACH-000222,-0.0188584890009
ACH-000223,-0.25161138767700003
ACH-000226,-0.255744402247
ACH-000227,-0.37621263486400003
ACH-000228,-0.31000272182300004
ACH-000231,-0.102429234779
ACH-000232,-0.0726063247611
ACH-000233,-0.5283124670570001
ACH-000234,-0.312500511017
ACH-000235,0.005360194061640001
ACH-000237,-0.0454006455781
ACH-000238,-0.28952026868700004
ACH-000243,-0.287450360142
ACH-000244,-0.303548013332
ACH-000246,-0.454128181641
ACH-000248,-0.49861522332900005
ACH-000250,-0.124559770402
ACH-000251,-0.0247216517044
ACH-000253,-0.0656164369106
ACH-000255,-0.43524839111100005
ACH-000256,-0.402368799238
ACH-000257,-0.7072357772650001
ACH-000258,-0.249292222611
ACH-000259,-0.8016809226100001
ACH-000260,-0.191693185921
ACH-000261,-0.337363676924
ACH-000262,-0.264660435712
ACH-000263,-0.432938803292
ACH-000264,-0.46347142234899996
ACH-000265,-0.559032708054
ACH-000266,-0.142635201841
ACH-000272,-0.430217432859
ACH-000273,-0.42989958331
ACH-000274,-0.24538377472
ACH-000277,-0.312086459966
ACH-000278,-0.224955036718
ACH-000279,-0.444898797584
ACH-000280,-0.173032856803
