,DLK2 (65989)
ACH-000004,-0.15076453884000002
ACH-000007,-0.151892882123
ACH-000009,-0.0331798386418
ACH-000011,-0.10160682546399999
ACH-000012,-0.11287940903100001
ACH-000013,-0.0724249723922
ACH-000014,-0.175930836241
ACH-000015,-0.167947538843
ACH-000017,-0.0781782306752
ACH-000018,-0.384975998069
ACH-000019,-0.0332088423634
ACH-000021,-0.050088426169499996
ACH-000022,-0.165182915733
ACH-000025,-0.0803889375122
ACH-000028,-0.13055324075
ACH-000030,-0.165368674716
ACH-000035,-0.348074900963
ACH-000036,-0.29113419996999995
ACH-000037,-0.164364999638
ACH-000039,-0.37523659670500004
ACH-000040,-0.213147615141
ACH-000041,-0.05013254316599999
ACH-000042,-0.145574692984
ACH-000045,-0.305646506709
ACH-000047,-0.32884786948100003
ACH-000052,-0.28585819692200004
ACH-000053,-0.0404388479495
ACH-000054,-0.00857945896299
ACH-000055,-0.315174946914
ACH-000060,-0.127514135067
ACH-000067,-0.641138667055
ACH-000070,-0.21710124011100002
ACH-000075,0.10232480426000001
ACH-000078,-0.031197273996599998
ACH-000082,-0.180684875417
ACH-000085,0.0279954277148
ACH-000086,-0.163114634211
ACH-000087,0.0745445007332
ACH-000092,-0.215206822071
ACH-000095,-0.11006686185999999
ACH-000097,-0.0492921135696
ACH-000098,-0.160859965911
ACH-000099,-0.13820586956800002
ACH-000108,-0.321636080605
ACH-000113,-0.171726506419
ACH-000115,-0.198874684258
ACH-000116,-0.0596615016138
ACH-000118,-0.141417596601
ACH-000120,-0.35621715626999995
ACH-000123,-0.190570998215
ACH-000127,-0.23341395351799998
ACH-000128,0.00248439511593
ACH-000132,-0.238120141911
ACH-000133,-0.205385017228
ACH-000137,-0.241686182383
ACH-000138,-0.16055902304300002
ACH-000142,-0.0831804838369
ACH-000143,-0.014173923810399999
ACH-000146,-0.208814074122
ACH-000148,0.0307239663199
ACH-000150,-0.0218477750048
ACH-000152,-0.191479295048
ACH-000153,-0.38862292046499997
ACH-000159,-0.0572685443214
ACH-000160,-0.0823126507476
ACH-000163,-0.055470583854800005
ACH-000167,-0.169058239597
ACH-000168,-0.15938504475600002
ACH-000169,-0.0813170413083
ACH-000178,-0.060840850550600005
ACH-000182,-0.299291925127
ACH-000183,-0.027827543478700003
ACH-000188,-0.0245415736366
ACH-000189,0.22154296088199998
ACH-000190,-0.375550940731
ACH-000198,-0.174834923581
ACH-000204,-0.14427250045
ACH-000206,-0.6004029307590001
ACH-000207,-0.446886126054
ACH-000211,0.0322647291046
ACH-000215,-0.20749701503100001
ACH-000221,0.031026411656999996
ACH-000222,-0.0983843800082
ACH-000223,-0.192339488123
ACH-000226,-0.156668950138
ACH-000227,-0.35579393033100004
ACH-000228,-0.23645213841899998
ACH-000231,-0.248015893559
ACH-000232,-0.0730984673106
ACH-000233,-0.206464278955
ACH-000234,0.030542781306599997
ACH-000235,-0.14148514570100001
ACH-000237,-0.10287610567399999
ACH-000238,-0.13821531322699998
ACH-000243,-0.18996346629
ACH-000244,-0.15641997585200001
ACH-000246,-0.17110528262699998
ACH-000248,-0.197954997826
ACH-000250,-0.24037575992899998
ACH-000251,-0.515865214014
ACH-000253,-0.0738487648105
ACH-000255,-0.152849799654
ACH-000256,-0.00770783629503
ACH-000257,-0.038891989004199996
ACH-000258,0.0413994416558
ACH-000259,-0.148632935384
ACH-000260,-0.0543668098243
ACH-000261,-0.31186586456300003
ACH-000262,-0.144985735887
ACH-000263,0.248576339133
ACH-000264,-0.147227607467
ACH-000265,-0.218398617365
ACH-000266,-0.0986342660186
ACH-000272,-0.209829072837
ACH-000273,-0.276914286919
ACH-000274,0.00633870589761
ACH-000277,-0.176368758105
ACH-000278,-0.125031444865
ACH-000279,-0.19144310450100002
ACH-000280,-0.06931640996249999
ACH-000281,-0.397414701143
ACH-000288,-0.10273864819800001
ACH-000291,-0.165058355104
ACH-000293,-0.022921537450299997
ACH-000294,0.120921364679
ACH-000295,-0.334075144687
ACH-000296,-0.109409840701
ACH-000302,-0.206478766591
ACH-000304,0.235798640574
ACH-000307,-0.267315598693
ACH-000308,-0.16779370550500003
ACH-000310,-0.247967095994
ACH-000311,-0.135616405045
ACH-000312,-0.199835181596
ACH-000315,-0.05075791808999999
ACH-000316,-0.146000176389
ACH-000317,-0.0595952433481
ACH-000318,0.00323391631171
ACH-000319,-0.221926982725
ACH-000320,-0.413381471163
ACH-000322,-0.165675536088
ACH-000323,-0.0801692781835
ACH-000324,-0.102356415819
ACH-000329,-0.225414562321
ACH-000330,-0.382461415721
ACH-000331,-0.21674185171
ACH-000332,-0.37477583571999995
ACH-000334,-0.0919557891128
ACH-000335,-0.10652549548000001
ACH-000336,-0.014392573824700002
ACH-000337,-0.321141678907
ACH-000339,-0.131038416476
ACH-000341,0.00240299180556
ACH-000348,-0.0911099713411
ACH-000350,0.034117353219999993
ACH-000352,-0.06297909908839999
ACH-000356,-0.191799449959
ACH-000361,-0.109911544846
ACH-000362,-0.023573414923
ACH-000363,-0.058060073545
ACH-000364,-0.204023613331
ACH-000365,-0.0603661714725
ACH-000366,-0.0938688236168
ACH-000368,-0.0495329768088
ACH-000374,-0.185747202249
ACH-000375,-0.062034679902800004
ACH-000376,-0.0963006934981
ACH-000381,-0.15739954560900002
ACH-000383,-0.038610713938300005
ACH-000387,-0.149272580136
ACH-000389,-0.249585086247
ACH-000390,-0.0502812485727
ACH-000393,-0.196695096884
ACH-000395,0.00256135001694
ACH-000397,-0.0196952593116
ACH-000401,-0.340718398697
ACH-000402,-0.306419482799
ACH-000403,-0.0216430815167
ACH-000404,-0.166539881615
ACH-000406,-0.209378242795
ACH-000407,-0.0970576966581
ACH-000408,-0.006651428620459999
ACH-000410,-0.227691592713
ACH-000411,0.12923996823
ACH-000414,-0.155828097754
ACH-000415,-0.0932398739222
ACH-000416,-0.236591760528
ACH-000420,0.046508188010499996
ACH-000421,-0.228116306757
ACH-000424,0.0942070717147
ACH-000425,0.0423728866913
ACH-000426,-0.062852083164
ACH-000427,0.0467066068704
ACH-000433,-0.0055502531547
ACH-000436,-0.11047513165799999
ACH-000444,-0.493259104125
ACH-000445,-0.34938245196199996
ACH-000448,-0.158375731574
ACH-000450,-0.141746093426
ACH-000452,-0.332488118114
ACH-000454,-0.42260913668399996
ACH-000458,-0.17102692375
ACH-000459,-0.10959055501800001
ACH-000460,-0.115725766946
ACH-000461,-0.33963313525300004
ACH-000463,-0.09129828970750001
ACH-000464,0.09569519388839999
ACH-000466,-0.309823205282
ACH-000467,-0.037532478750100004
ACH-000468,-0.20409703812
ACH-000469,-0.19544796131099998
ACH-000470,-0.187729302665
ACH-000471,-0.104501508453
ACH-000472,-0.025954194125700002
ACH-000473,-0.288270954878
ACH-000475,0.0384137748746
ACH-000476,-0.007802728181790001
