,SDR9C7 (121214)
ACH-000004,0.0539652676698
ACH-000007,0.0364354445497
ACH-000009,-0.0798728241272
ACH-000011,0.0274065449205
ACH-000012,-0.0023641470554699997
ACH-000013,0.0968713794634
ACH-000014,-0.155303635802
ACH-000015,-0.0692837846502
ACH-000017,0.12037767789300001
ACH-000018,-0.226098796526
ACH-000019,0.14404341050799999
ACH-000021,0.0700411774522
ACH-000022,-0.048975465278500004
ACH-000025,-0.10968653906400001
ACH-000028,0.0919812694056
ACH-000030,-0.052965929286
ACH-000035,-0.166197145144
ACH-000036,0.085348100722
ACH-000037,0.07543372260430001
ACH-000039,-0.163781512106
ACH-000040,-0.102273045988
ACH-000041,-0.105322246463
ACH-000042,0.056594197201699996
ACH-000045,-0.029306764391900005
ACH-000047,-0.0392564647304
ACH-000052,0.047825971666699996
ACH-000053,-0.060648677295
ACH-000054,0.0607181176028
ACH-000055,-0.0157088353366
ACH-000060,0.0320306838437
ACH-000067,-0.0205268207803
ACH-000070,-0.0181426087035
ACH-000075,-0.15493881467
ACH-000078,-0.144729587989
ACH-000082,-0.156504741115
ACH-000085,-0.16112234759400001
ACH-000086,-0.161747438359
ACH-000087,-0.041449350628199995
ACH-000092,-0.046245682934499995
ACH-000095,0.009740980502350002
ACH-000097,0.014454034478899999
ACH-000098,0.0245701720522
ACH-000099,0.0912353466691
ACH-000108,0.10805543033500001
ACH-000113,-0.0655844179677
ACH-000115,-0.17924939548399998
ACH-000116,0.0666059063365
ACH-000118,-0.0061360937355600005
ACH-000120,0.08596476994539999
ACH-000123,-0.127255385024
ACH-000127,-0.10037062054700001
ACH-000128,0.026126357165099996
ACH-000132,0.220421916675
ACH-000133,-0.0499764335047
ACH-000137,-0.128283638749
ACH-000138,-0.152103072229
ACH-000142,-0.0505856940316
ACH-000143,-0.0535648795878
ACH-000146,-0.0245287305283
ACH-000148,-0.030260169057299998
ACH-000150,-0.149764022642
ACH-000152,-0.0616289262669
ACH-000153,-0.287374281994
ACH-000159,-0.0013826898538299999
