,ATP5G2 (517)
ACH-000004,-0.18908044614
ACH-000007,-0.0360261924384
ACH-000009,-0.36609744454099996
ACH-000011,-0.0751561182477
ACH-000012,-0.101274119683
ACH-000013,-0.307639590508
ACH-000014,-0.276841324592
ACH-000015,-0.16527293937999998
ACH-000017,-0.156289618255
ACH-000018,-0.276057811597
ACH-000019,-0.292097223909
ACH-000021,-0.115437292144
ACH-000022,-0.0977774139741
ACH-000025,-0.380461030894
ACH-000028,-0.307548832667
ACH-000030,-0.222396832535
ACH-000035,-0.264540566279
ACH-000036,-0.17350520500799999
ACH-000037,-0.331937402084
ACH-000039,-0.414073511557
ACH-000040,-0.470821946695
ACH-000041,-0.298594250762
ACH-000042,-0.16244694521
ACH-000045,-0.122355508378
ACH-000047,-0.11028965285700001
ACH-000052,-0.275240327232
ACH-000053,-0.163174226563
ACH-000054,-0.18906597728500002
ACH-000055,-0.555426490333
ACH-000060,-0.20272214171
ACH-000067,-0.540815887579
ACH-000070,-0.159243644429
ACH-000075,-0.26196598106400004
ACH-000078,-0.49754430626100005
ACH-000082,-0.220767935556
ACH-000085,-0.393302878284
ACH-000086,-0.42211930871
ACH-000087,-0.265445482975
ACH-000092,-0.24240009960499997
ACH-000095,-0.28433738355300003
ACH-000097,-0.248928429318
ACH-000098,-0.151555389337
ACH-000099,-0.10169913367599999
ACH-000108,-0.051988797314999995
ACH-000113,-0.0776473007555
ACH-000115,-0.230304393643
ACH-000116,-0.201847791038
ACH-000118,-0.268473255398
ACH-000120,-0.08445865878910001
ACH-000123,-0.251242801699
ACH-000127,-0.222528712694
ACH-000128,-0.230491504842
ACH-000132,-0.09563372225189999
ACH-000133,-0.357253551816
ACH-000137,-0.259755766369
ACH-000138,-0.105549315962
ACH-000142,-0.241226359391
ACH-000143,-0.276800238313
ACH-000146,-0.24841655730599999
ACH-000148,-0.21647398112100003
ACH-000150,-0.051929837512099994
ACH-000152,-0.321347985517
ACH-000153,-0.304050201435
ACH-000159,-0.229224334062
ACH-000160,-0.29838664450999997
ACH-000163,-0.25578051741
ACH-000167,-0.21094236981699999
ACH-000168,-0.308274320067
ACH-000169,-0.18632850091800002
ACH-000178,-0.0581083543855
ACH-000182,-0.196027115488
ACH-000183,-0.28616096438
ACH-000188,-0.16881489631700003
ACH-000189,-0.619730864629
ACH-000190,-0.103278275621
ACH-000198,-0.09038197435760001
ACH-000204,-0.139157395311
ACH-000206,-0.29225335836
ACH-000207,-0.16521398707999999
ACH-000211,-0.110067514243
ACH-000215,-0.258683121995
ACH-000221,-0.190041439498
ACH-000222,-0.264270362421
ACH-000223,-0.297516395496
ACH-000226,-0.426726023516
ACH-000227,-0.411141011979
ACH-000228,-0.265987516847
ACH-000231,-0.249487952712
ACH-000232,-0.374690774382
ACH-000233,-0.0903921979283
ACH-000234,-0.247774563376
ACH-000235,-0.23576448433000002
ACH-000237,-0.206920851819
ACH-000238,-0.140002700427
ACH-000243,-0.176730564352
ACH-000244,-0.46554234635700004
ACH-000246,-0.153164590876
ACH-000248,-0.270299963694
ACH-000250,-0.163930034011
ACH-000251,-0.38919801639
ACH-000253,-0.209759040355
ACH-000255,-0.37389247205799997
ACH-000256,-0.311277021888
ACH-000257,-0.11792479870999999
ACH-000258,-0.331968221063
ACH-000259,-0.17315955845800002
ACH-000260,-0.222065271092
ACH-000261,-0.33787165515
ACH-000262,-0.14700187384299998
ACH-000263,-0.33584065700000004
ACH-000264,-0.271541095457
ACH-000265,-0.12909396531
ACH-000266,-0.18843120791700002
ACH-000272,-0.24719184098000002
ACH-000273,-0.129973335688
ACH-000274,-0.27689770548
ACH-000277,-0.046858745357800005
ACH-000278,-0.23356112704999998
ACH-000279,-0.314068616071
ACH-000280,-0.161183648426
ACH-000281,-0.330540462623
ACH-000288,-0.27749559518100003
ACH-000291,-0.019718849380400003
ACH-000293,-0.00418997576859
ACH-000294,-0.179753154052
