,NME3 (4832)
ACH-000004,-0.0661259295603
ACH-000007,-0.243723686164
ACH-000009,-0.013844046658900001
ACH-000011,-0.210967084553
ACH-000012,-0.19341804958500003
ACH-000013,-0.142832024394
ACH-000014,-0.26531025898000005
ACH-000015,-0.25105943632
ACH-000017,0.10015413112299999
ACH-000018,-0.11148010090800001
ACH-000019,-0.130560549246
ACH-000021,-0.128903839292
ACH-000022,-0.165241794295
ACH-000025,-0.0671090454958
ACH-000028,-0.2873369788
ACH-000030,-0.0244381669869
ACH-000035,-0.0247015499259
ACH-000036,-0.49540896183600003
ACH-000037,-0.0969090125394
ACH-000039,-0.143380079129
ACH-000040,-0.0102633891189
ACH-000041,-0.27949231346000003
ACH-000042,-0.10383979288100001
ACH-000045,-0.161228579456
ACH-000047,-0.34867635406900005
ACH-000052,-0.174508904851
ACH-000053,-0.219613564144
ACH-000054,-0.00226346786795
ACH-000055,0.059106231530099994
ACH-000060,-0.312906070341
ACH-000067,-0.19839286495499997
ACH-000070,0.10612491330900001
ACH-000075,-0.0877001885808
ACH-000078,-0.214091927575
ACH-000082,-0.25908562366
ACH-000085,-0.236919932141
ACH-000086,0.0215535487807
ACH-000087,-0.262609396649
ACH-000092,-0.146674118378
ACH-000095,-0.21113729194000003
ACH-000097,-0.241505165608
ACH-000098,-0.218285465017
ACH-000099,-0.340502919709
ACH-000108,-0.14559519681500002
ACH-000113,-0.0773242256098
ACH-000115,-0.17728233737100002
ACH-000116,-0.139652870617
ACH-000118,-0.0292716737954
ACH-000120,-0.138074687821
ACH-000123,-0.179941981684
ACH-000127,-0.129894353908
ACH-000128,-0.0801143428077
ACH-000132,-0.243202275067
ACH-000133,-0.24642272877799998
ACH-000137,-0.252229348843
ACH-000138,-0.0878458870124
ACH-000142,-0.157771175514
ACH-000143,-0.11247386771
ACH-000146,-0.109171171383
ACH-000148,-0.247580161953
ACH-000150,-0.130472814287
ACH-000152,-0.0261430504943
ACH-000153,0.0331116044958
ACH-000159,-0.21483581253400003
ACH-000160,-0.0635597546776
ACH-000163,0.0133432759613
ACH-000167,0.007048757742830001
ACH-000168,-0.143874615124
ACH-000169,-0.159906907637
ACH-000178,-0.0883690880909
ACH-000182,-0.174656561594
ACH-000183,-0.022489778788799996
ACH-000188,-0.0352328823859
ACH-000189,-0.373457475392
ACH-000190,-0.00390384591127
ACH-000198,-0.014780246965
ACH-000204,0.12663744907299998
ACH-000206,-0.0994115807458
ACH-000207,-0.186543990345
ACH-000211,-0.172101651717
ACH-000215,-0.114604774324
ACH-000221,-0.19404637266199998
ACH-000222,-0.187112332981
ACH-000223,-0.0829693315306
ACH-000226,-0.254191120525
ACH-000227,-0.124964838987
ACH-000228,0.19384326140299998
ACH-000231,-0.240574230131
ACH-000232,-0.0530590067526
ACH-000233,-0.263504487171
ACH-000234,-0.468584186025
ACH-000235,-0.13062411862
ACH-000237,-0.20787518184599998
ACH-000238,-0.207804330061
ACH-000243,0.00830937423911
ACH-000244,-0.0573370355736
ACH-000246,-0.290480710339
ACH-000248,-0.272507470341
ACH-000250,-0.130153671831
ACH-000251,-0.05063431212859999
ACH-000253,-0.218411171479
ACH-000255,0.0165517324159
ACH-000256,-0.328895946337
ACH-000257,-0.185043960887
ACH-000258,-0.27633643792
ACH-000259,-0.228908639217
ACH-000260,-0.233882167554
ACH-000261,-0.225153180615
ACH-000262,0.006325465629350001
ACH-000263,-0.522805592683
ACH-000264,-0.173562234097
ACH-000265,-0.19881961857900002
ACH-000266,-0.0716840075493
ACH-000272,-0.279469344835
ACH-000273,0.0597816818846
ACH-000274,-0.133799385404
ACH-000277,-0.331500493133
ACH-000278,-0.08960331005489999
ACH-000279,-0.084192062442
ACH-000280,-0.036115296462800005
ACH-000281,-0.089136717948
ACH-000288,-0.267686471801
ACH-000291,-0.184178626744
ACH-000293,-0.046319158525700004
ACH-000294,-0.0509383941761
ACH-000295,-0.05030149840559999
ACH-000296,-0.254141896022
ACH-000302,-0.17296041289
ACH-000304,-0.34196532383699996
ACH-000307,-0.156553932393
ACH-000308,-0.222580842192
ACH-000310,-0.281715229881
ACH-000311,0.015940338768
ACH-000312,-0.07690093208330001
ACH-000315,0.14067245069599998
ACH-000316,-0.243207927881
ACH-000317,-0.22314168924199998
ACH-000318,-0.100918748632
ACH-000319,-0.241629666182
ACH-000320,-0.10728616614
ACH-000322,-0.217009799747
ACH-000323,-0.19362210649599998
ACH-000324,-0.230182423087
ACH-000329,-0.150020299426
ACH-000330,0.11205118857799999
ACH-000331,-0.21115559445700002
ACH-000332,-0.0998203745139
ACH-000334,-0.149207942289
ACH-000335,-0.175832114541
ACH-000336,-0.28384278614
ACH-000337,-0.24228609129
ACH-000339,-0.13567806341
ACH-000341,0.054219743227500006
ACH-000348,-0.0966145858381
ACH-000350,-0.18379751196400002
ACH-000352,-0.374890931872
ACH-000356,-0.245627428044
ACH-000361,0.0123399869156
ACH-000362,-0.275167105878
ACH-000363,-0.295978244171
ACH-000364,-0.0518724524708
ACH-000365,0.0978424174105
ACH-000366,-0.290383515894
ACH-000368,-0.254872806736
ACH-000374,0.00628917818525
ACH-000375,-0.124290054934
ACH-000376,-0.093501178761
ACH-000381,-0.216894647729
ACH-000383,-0.271572811792
ACH-000387,-0.19814359246100002
ACH-000389,-0.12354598684800001
ACH-000390,-0.064088011867
ACH-000393,-0.291936898224
ACH-000395,0.010821079157399998
ACH-000397,-0.285554216395
ACH-000401,-0.292301350629
ACH-000402,-0.055463338371199995
