,COL25A1 (84570)
ACH-000460,-0.0253563415746
ACH-000461,0.0324229479767
ACH-000463,-0.21200769813499998
ACH-000464,-0.13012194805500002
ACH-000466,-0.112280922866
ACH-000467,-0.13984252883099998
ACH-000468,-0.23946459292800001
ACH-000469,-0.1278296043
ACH-000470,-0.12994928055500002
ACH-000471,-0.268684700304
ACH-000472,0.038082517286999996
ACH-000473,0.0394233016485
ACH-000475,-0.202253769607
ACH-000476,-0.113237281043
ACH-000477,-0.205124198342
ACH-000480,-0.127923777493
ACH-000481,-0.09475091857889999
ACH-000483,-0.0596986292952
ACH-000484,0.0835581420581
ACH-000485,-0.114062868259
ACH-000486,-0.0273877347892
ACH-000487,-0.217335083838
ACH-000488,-0.0682763403112
ACH-000490,-0.181076977408
ACH-000491,-0.0112419245747
ACH-000495,-0.10985713121099999
ACH-000496,-0.313494128624
ACH-000499,-0.16819782219700002
ACH-000500,0.410684032579
ACH-000502,-0.194996559209
ACH-000503,-0.0489557085981
ACH-000505,-0.172123910086
ACH-000507,-0.17196347719799998
ACH-000510,-0.21574157144499997
ACH-000511,-0.250541444303
ACH-000512,-0.207179614263
ACH-000516,-0.131406124604
ACH-000517,-0.135356448159
ACH-000518,-0.05279880923000001
ACH-000520,-0.117465078441
ACH-000521,-0.200217288201
ACH-000522,-0.125596663341
ACH-000524,-0.11262465556199999
ACH-000527,-0.016717425777200003
ACH-000528,-0.141339017172
ACH-000537,-0.175440121654
ACH-000541,-0.0597896036577
ACH-000542,-0.236747769798
ACH-000544,-0.137616388793
ACH-000545,-0.0667354098907
ACH-000547,0.113097361083
ACH-000548,-0.0809351925165
ACH-000549,0.00436505734278
ACH-000550,-0.206754688564
ACH-000552,-0.16796908309099998
ACH-000556,-0.100410848925
ACH-000557,-0.15626314914
ACH-000570,-0.232800215013
ACH-000571,0.006044977822020001
ACH-000573,-0.170775458878
ACH-000576,-0.127489927445
ACH-000580,-0.0445210705295
ACH-000584,-0.209641862492
ACH-000585,-0.0390563367704
ACH-000588,-0.0264051705178
ACH-000589,-0.19175382236699998
ACH-000591,-0.0097636509474
ACH-000593,-0.207822987608
ACH-000600,-0.023219574270200005
ACH-000601,-0.260484061271
ACH-000604,-0.345504728768
ACH-000605,0.0256873699952
ACH-000606,-0.223350981855
ACH-000608,-0.13665076195999998
ACH-000614,-0.31718144310400004
ACH-000616,-0.177811811978
ACH-000618,-0.110616743039
ACH-000619,-0.137519042267
ACH-000620,-0.059973747290599996
ACH-000621,-0.0682413026287
ACH-000622,-0.250608003405
ACH-000623,-0.174891134865
ACH-000624,-0.133842691763
ACH-000627,-0.144167540682
ACH-000630,-0.163028320355
ACH-000632,-0.0430745191507
ACH-000633,-0.0305146316399
ACH-000637,-0.0758936495662
ACH-000638,-0.157855202581
ACH-000646,-0.023559320964200003
ACH-000647,-0.053588964638300006
ACH-000648,-0.270351256607
ACH-000649,-0.10944143248
ACH-000651,-0.0693518630542
ACH-000652,-0.178931643684
ACH-000653,-0.230808446424
ACH-000657,-0.0639630821608
ACH-000658,-0.0894757768232
ACH-000661,-0.233848947449
ACH-000662,-0.41822843904600004
ACH-000663,-0.08847633909880001
ACH-000665,-0.21860586604499999
ACH-000671,-0.056583461681
ACH-000673,-0.215776199125
ACH-000676,-0.177992072632
ACH-000677,-0.29459840539099996
ACH-000681,-0.144294336622
ACH-000682,-0.0536952526528
ACH-000683,-0.0835833318667
ACH-000684,-0.23596139021899998
ACH-000688,-0.19841592036800001
ACH-000693,-0.10041958554300001
ACH-000694,-0.229478315066
ACH-000695,-0.23841024936500002
ACH-000696,-0.133409328626
ACH-000697,-0.344208243054
ACH-000699,-0.115222244071
ACH-000701,-0.348245126215
ACH-000706,-0.0828099627817
ACH-000711,-0.190470921003
ACH-000713,-0.0642258308546
ACH-000714,-0.14109375603399998
ACH-000718,0.0239769681878
ACH-000720,0.055480505809899994
ACH-000721,-0.11462904238
