,PRICKLE1 (144165)
ACH-000004,-0.413693789036
ACH-000007,-0.103562397868
ACH-000009,-0.25822799561500004
ACH-000011,-0.201750554511
ACH-000012,-0.04701278146980001
ACH-000013,-0.288327697296
ACH-000014,-0.128122646593
ACH-000015,-0.32998595992400004
ACH-000017,-0.0391221094567
ACH-000018,0.04328824729090001
ACH-000019,-0.585991944794
ACH-000021,-0.0585802682175
ACH-000022,-0.22113538279
ACH-000025,-0.42890296612400003
ACH-000028,-0.342001808422
ACH-000030,-0.09322487696489999
ACH-000035,-0.39108887080399996
ACH-000036,-0.147844054513
ACH-000037,-0.38809547897600005
ACH-000039,-0.541138619845
ACH-000040,0.0121209135335
ACH-000041,-0.159381839213
ACH-000042,-0.0213755150307
ACH-000045,-0.106735785034
ACH-000047,-0.105750177095
ACH-000052,-0.366084665014
ACH-000053,-0.135796200766
ACH-000054,-0.180440080473
ACH-000055,-0.232650232612
ACH-000060,-0.0242032550264
ACH-000067,-0.365175235097
ACH-000070,-0.23532733529599997
ACH-000075,-0.17335251553800002
ACH-000078,-0.180614041538
ACH-000082,-0.17589235799199998
ACH-000085,-0.326858245977
ACH-000086,-0.405508907408
ACH-000087,-0.400482778325
ACH-000092,-0.0631794001185
ACH-000095,-0.106405442926
ACH-000097,-0.240947768275
ACH-000098,0.030647479932400003
ACH-000099,-0.24857199204500002
ACH-000108,-0.06435978152819999
ACH-000113,-0.099378183659
ACH-000115,-0.0214436799695
ACH-000116,-0.0434139275665
ACH-000118,-0.160546444339
ACH-000120,-0.007049864136
ACH-000123,-0.149793040056
ACH-000127,-0.138429613615
ACH-000128,-0.305833330249
ACH-000132,-0.149188613107
ACH-000133,-0.141306927214
ACH-000137,0.0405851943995
ACH-000138,-0.0458338795283
ACH-000142,-0.10110160619999999
ACH-000143,-0.153983795106
ACH-000146,-0.247619161293
ACH-000148,-0.229476124567
ACH-000150,-0.291855683124
ACH-000152,-0.228927852762
ACH-000153,-0.526595781866
ACH-000159,0.0333027788748
ACH-000160,-0.116782103611
ACH-000163,-0.200266926476
ACH-000167,-0.341372496721
ACH-000168,-0.0756101609876
ACH-000169,-0.131392629171
ACH-000178,-0.133702355228
ACH-000182,-0.0746031749065
ACH-000183,-0.131085591375
ACH-000188,-0.202670928962
ACH-000189,-0.186045354657
ACH-000190,-0.021223840557599998
ACH-000198,-0.188777383451
ACH-000204,-0.265797396084
ACH-000206,-0.21950806334399997
ACH-000207,-0.162116226985
ACH-000211,-0.10807845257899999
ACH-000215,-0.163194153466
ACH-000221,-0.434885288992
ACH-000222,0.248971998746
ACH-000223,-0.304286304904
ACH-000226,-0.0142055963179
ACH-000227,-0.151562636285
ACH-000228,-0.33818257444
ACH-000231,-0.36773476340899997
