,BEST3 (144453)
ACH-000004,-0.144825242171
ACH-000007,-0.259666523227
ACH-000009,-0.0863711497283
ACH-000011,-0.082797253656
ACH-000012,-0.020199788453
ACH-000013,-0.13036353135
ACH-000014,-0.0656180519084
ACH-000015,-0.171103181061
ACH-000017,-0.148499794652
ACH-000018,-0.178954553868
ACH-000019,-0.256140763338
ACH-000021,-0.278734461538
ACH-000022,-0.209370248866
ACH-000025,-0.172445315627
ACH-000028,-0.179312691483
ACH-000030,-0.07513599791110001
ACH-000035,-0.158243940311
ACH-000036,0.006103079323989999
ACH-000037,-0.24293255272199998
ACH-000039,-0.208102167363
ACH-000040,-0.111125754991
ACH-000041,-0.281095389679
ACH-000042,-0.306536620149
ACH-000045,0.022390298553
ACH-000047,-0.159447241171
ACH-000052,-0.0574452757204
ACH-000053,-0.226505798713
ACH-000054,-0.16252684960799998
ACH-000055,-0.144819452682
ACH-000060,0.040282223304800004
ACH-000067,-0.274604685398
ACH-000070,-0.19799942552900002
ACH-000075,-0.0757171990477
ACH-000078,-0.150386170591
ACH-000082,-0.17634636815699997
ACH-000085,-0.163755768997
ACH-000086,-0.278665652839
ACH-000087,-0.327883318707
ACH-000092,-0.196424894099
ACH-000095,-0.08004103301780001
ACH-000097,-0.176146096599
ACH-000098,-0.000490390729229
ACH-000099,-0.11778313149900001
ACH-000108,0.006546489255850001
ACH-000113,-0.044911190622399996
ACH-000115,-0.248880176508
ACH-000116,-0.221709627032
ACH-000118,-0.164785872222
ACH-000120,-0.124497830866
ACH-000123,-0.0602493835597
ACH-000127,-0.188291670031
ACH-000128,-0.226725787874
ACH-000132,0.0911874223689
ACH-000133,-0.15597330692199998
ACH-000137,-0.0489792506977
ACH-000138,-0.249663167826
ACH-000142,-0.0516708279899
ACH-000143,-0.0848372482392
ACH-000146,-0.18386917399
ACH-000148,-0.0792383249652
ACH-000150,-0.0416055812084
ACH-000152,-0.12605774859899999
ACH-000153,-0.0197167993918
ACH-000159,-0.126022111879
ACH-000160,-0.08308286964150001
ACH-000163,-0.206819236071
ACH-000167,-0.08360070211019999
ACH-000168,-0.155135231753
ACH-000169,-0.0998305103392
ACH-000178,-0.151002483781
ACH-000182,-0.17223453673099998
ACH-000183,-0.199366809316
ACH-000188,-0.039014471819599994
ACH-000189,-0.200697705358
ACH-000190,-0.183811114601
ACH-000198,-0.15935033179400002
ACH-000204,-0.309408096391
ACH-000206,-0.252532908021
ACH-000207,-0.0742770084755
ACH-000211,-0.19404083394699997
ACH-000215,-0.10701949414300001
ACH-000221,-0.0631824632027
ACH-000222,-0.337407267395
ACH-000223,-0.14546347991800002
ACH-000226,-0.21706532753600002
ACH-000227,-0.13447679470100002
ACH-000228,-0.134834526596
ACH-000231,-0.125125844275
ACH-000232,-0.16053058897
ACH-000233,-0.059419577203699996
ACH-000234,-0.145143275001
ACH-000235,-0.189248374315
ACH-000237,-0.21882691425200002
ACH-000238,-0.27070576913600003
ACH-000243,-0.20153397797699998
ACH-000244,-0.049409635351800006
ACH-000246,-0.209114655368
ACH-000248,-0.372395953736
ACH-000250,-0.0765799518415
ACH-000251,-0.0513965613984
ACH-000253,-0.274259582142
ACH-000255,0.133877649621
ACH-000256,-0.36631260673199995
ACH-000257,0.060112891795600004
ACH-000258,0.176951829522
ACH-000259,-0.155146481241
ACH-000260,-0.107728101419
ACH-000261,-0.102383332831
ACH-000262,-0.29334113813900003
ACH-000263,-0.41169202061800003
ACH-000264,-0.317991990821
ACH-000265,-0.08527483494069998
ACH-000266,-0.211500305541
ACH-000272,-0.00424605975256
ACH-000273,-0.17009809801800002
ACH-000274,-0.103430567797
ACH-000277,-0.09328250841739999
ACH-000278,-0.20152695024
ACH-000279,-0.07836201636210001
ACH-000280,-0.025565479406900002
ACH-000281,-0.20274456594300003
ACH-000288,-0.203001917129
ACH-000291,-0.0506408154187
