,STUB1 (10273)
ACH-000004,-0.213959201378
ACH-000007,-0.125564629588
ACH-000009,-0.0645972636019
ACH-000011,-0.147289732909
ACH-000012,-0.0384722116088
ACH-000013,-0.211478580717
ACH-000014,0.0319542464427
ACH-000015,-0.243215565522
ACH-000017,-0.42993174157200004
ACH-000018,-0.468853191558
ACH-000019,-0.14017667081
ACH-000021,-0.448365297047
ACH-000022,-0.20268803456700002
ACH-000025,-0.514670815279
ACH-000028,-0.265638267056
ACH-000030,-0.290680540051
ACH-000035,-0.434483909824
ACH-000036,-0.75835582965
ACH-000037,-0.118211401679
ACH-000039,-0.684821686844
ACH-000040,-0.523826879232
ACH-000041,-0.294388267998
ACH-000042,-0.177967067563
ACH-000045,-0.235301399883
ACH-000047,-0.350299630153
ACH-000052,-0.295732982555
ACH-000053,-0.985812463462
ACH-000054,-0.658588624058
ACH-000055,-0.287976717463
ACH-000060,-0.5540427668469999
ACH-000067,-0.342538846452
ACH-000070,-0.659838516692
ACH-000075,0.0755276150058
ACH-000078,-0.415969202505
ACH-000082,-0.440495868084
ACH-000085,-0.281527228285
ACH-000086,-0.20095012744899998
ACH-000087,-0.11047591441
ACH-000092,-0.468849774094
ACH-000095,-0.393496544825
ACH-000097,-0.497427140624
ACH-000098,-0.306713406152
ACH-000099,-0.319357659685
ACH-000108,-0.350358228715
ACH-000113,-0.228921493832
ACH-000115,-0.268417179402
ACH-000116,-0.46534372686000003
ACH-000118,-0.618204201779
ACH-000120,-0.32030618893199997
ACH-000123,-0.40877803202
ACH-000127,-0.33400277368299996
ACH-000128,-0.33217929683200004
ACH-000132,-0.49880196958000006
ACH-000133,-0.574096085753
ACH-000137,-0.45534532524599997
ACH-000138,-0.6631107907639999
ACH-000142,-0.486940613328
ACH-000143,-0.567051524634
ACH-000146,-0.26069561835099997
ACH-000148,-0.32163563298500003
ACH-000150,-0.397313237939
ACH-000152,-0.284359346876
ACH-000153,0.0807648652887
ACH-000159,-0.294068732652
ACH-000160,-0.0437092131443
ACH-000163,-0.9116062638060001
ACH-000167,-0.0925798862634
ACH-000168,-0.746421502626
ACH-000169,-0.20624721054
ACH-000178,-0.478060538489
ACH-000182,-0.0285917687207
ACH-000183,-0.202446053861
ACH-000188,-0.365975678586
ACH-000189,-0.120444749936
ACH-000190,-0.21193845033
ACH-000198,-0.645394710796
ACH-000204,-0.511377363157
ACH-000206,-0.21031950738
ACH-000207,-0.11309952748600001
ACH-000211,-0.604369036938
ACH-000215,-0.330828574906
ACH-000221,-0.422836064394
ACH-000222,-0.287386132185
ACH-000223,-0.246694456239
ACH-000226,-0.172870795473
ACH-000227,0.058977240030399995
ACH-000228,-0.5620626043110001
ACH-000231,-0.42509161169799997
ACH-000232,-0.456318821575
ACH-000233,-0.650540733138
ACH-000234,-0.616099152452
ACH-000235,-0.314233324204
ACH-000237,-0.313567710239
ACH-000238,-0.312364902318
ACH-000243,-0.644236515197
ACH-000244,-0.500392169756
ACH-000246,-0.35219018366800003
ACH-000248,-0.39808326549999995
ACH-000250,-0.22811204583900002
ACH-000251,-0.37270779934799997
ACH-000253,-0.149786574792
ACH-000255,-0.54969936491
ACH-000256,-0.0444981640094
ACH-000257,-0.565583271409
ACH-000258,-0.447789080414
ACH-000259,-0.316132704403
ACH-000260,-0.37445435919299996
ACH-000261,-0.194660823891
ACH-000262,-0.245698743662
ACH-000263,-0.37218753187700004
ACH-000264,-0.37903997703000003
ACH-000265,-0.204800512142
ACH-000266,-0.387475152405
ACH-000272,-0.157190641811
ACH-000273,-0.6586017694749999
ACH-000274,-0.30153141924800003
ACH-000277,-0.332563129463
ACH-000278,-0.26388554024
ACH-000279,-0.0955359569992
ACH-000280,-0.388486735306
ACH-000281,-0.45958478384900003
ACH-000288,-0.315272632584
ACH-000291,0.014004802386
ACH-000293,-0.293094060461
ACH-000294,-0.0665624863093
ACH-000295,-0.330787651912
ACH-000296,-0.5417689083120001
ACH-000302,-0.196592535296
ACH-000304,-0.293888197
ACH-000307,-0.37627633687600004
ACH-000308,-0.6000989440510001
ACH-000310,-0.23089497644200002
ACH-000311,-0.5875165045399999
ACH-000312,-0.359138108129
ACH-000315,-0.6955593378849999
ACH-000316,-0.61413726734
ACH-000317,-0.141501325279
ACH-000318,-0.49155623688999994
ACH-000319,-0.411540610731
ACH-000320,-0.18389146496199998
ACH-000322,-0.181080533762
ACH-000323,0.00128028056561
ACH-000324,-0.339204410043
ACH-000329,-0.361817224634
ACH-000330,-0.0500090157388
ACH-000331,-0.413761477704
ACH-000332,-0.260420277209
ACH-000334,-0.349036664119
ACH-000335,-0.19588970818799997
ACH-000336,-0.054974923981
ACH-000337,-0.23478226952300002
ACH-000339,-0.33716155510799994
ACH-000341,-0.10934182906300001
ACH-000348,-0.416988110312
ACH-000350,-0.196441599479
ACH-000352,-0.353496809265
ACH-000356,-0.204029702129
ACH-000361,-0.361473065951
ACH-000362,-0.417494220162
ACH-000363,-0.38318638216300005
ACH-000364,-0.253546426453
ACH-000365,-0.259341796176
ACH-000366,-0.344212978336
ACH-000368,-0.41076550582800003
ACH-000374,-0.8949643147130001
ACH-000375,-0.365250938276
ACH-000376,-0.5004698990559999
ACH-000381,-0.44418571724100003
ACH-000383,-0.196345369415
ACH-000387,-0.123667067489
