,ECEL1 (9427)
ACH-000004,0.07938515849889999
ACH-000007,0.0958120511946
ACH-000009,-0.15176769643899998
ACH-000011,-0.15146878305
ACH-000012,-0.166667456161
ACH-000013,-0.167663394883
ACH-000014,-0.205199481573
ACH-000015,0.036778079697
ACH-000017,-0.116161546811
ACH-000018,-0.304572755244
ACH-000019,-0.22717738335999998
ACH-000021,0.00275642466549
ACH-000022,-0.320153536224
ACH-000025,-0.158125853726
ACH-000028,-0.0010470823667
ACH-000030,-0.24752950992199999
ACH-000035,-0.103515956827
ACH-000036,-0.189376466501
ACH-000037,-0.512960288465
ACH-000039,0.0809396601305
ACH-000040,-0.244094322401
ACH-000041,-0.0674344713255
ACH-000042,-0.284012071007
ACH-000045,-0.268992706197
ACH-000047,-0.280572639819
ACH-000052,-0.39389517035899996
ACH-000053,-0.22837258499000002
ACH-000054,-0.17396963444000002
ACH-000055,-0.276924818561
ACH-000060,-0.0490335768707
ACH-000067,-0.238951012945
ACH-000070,-0.327710262898
ACH-000075,-0.103833865875
ACH-000078,-0.118787130603
ACH-000082,-0.159001804012
ACH-000085,-0.0388559303518
ACH-000086,-0.161055306638
ACH-000087,-0.0985645752384
ACH-000092,-0.0266811910806
ACH-000095,-0.034890142053
ACH-000097,-0.113404535262
ACH-000098,-0.28541781273899997
ACH-000099,-0.10294012255000001
ACH-000108,-0.40119591634199997
ACH-000113,-0.197271141441
ACH-000115,-0.614568332609
ACH-000116,-0.018507901916099998
ACH-000118,-0.13476951078500002
ACH-000120,-0.182820601029
ACH-000123,-0.0984268913273
ACH-000127,-0.10336375400699999
ACH-000128,-0.355782448535
ACH-000132,0.0545018035612
ACH-000133,-0.248700979119
ACH-000137,-0.136907570485
ACH-000138,-0.0747039893568
ACH-000142,-0.268417357361
ACH-000143,-0.0677865702974
ACH-000146,-0.155987827346
ACH-000148,-0.213842595106
ACH-000150,-0.303201206106
ACH-000152,-0.0955745847895
ACH-000153,0.180409695806
ACH-000159,-0.159247223156
ACH-000160,-0.272709770801
ACH-000163,0.028003223963
ACH-000167,-0.137996548889
ACH-000168,-0.18543074565
ACH-000169,-0.0135746789493
ACH-000178,-0.18797216881999998
ACH-000182,-0.22210952797800002
ACH-000183,0.12483131596699999
ACH-000188,-0.26751723533000005
ACH-000189,0.06660335193690001
ACH-000190,-0.12355466607599999
ACH-000198,-0.166731380564
ACH-000204,-0.267392947835
ACH-000206,-0.014699112048799999
ACH-000207,0.254374201098
ACH-000211,-0.047236839790699994
ACH-000215,-0.26021457143300003
ACH-000221,-0.20107030103700002
ACH-000222,-0.273400739517
ACH-000223,-0.168147748522
ACH-000226,0.107575916343
ACH-000227,-0.156651830336
ACH-000228,0.0494838173379
ACH-000231,0.0789824845136
ACH-000232,-0.101426486974
ACH-000233,-0.249376646251
ACH-000234,-0.35976000235
ACH-000235,-0.21327925308899998
ACH-000237,-0.20777403052299998
ACH-000238,-0.11113120990999999
ACH-000243,-0.13552137696799998
ACH-000244,-0.292222038756
ACH-000246,-0.11878981124299999
ACH-000248,-0.15680676630100002
ACH-000250,-0.184405273768
ACH-000251,-0.18284608425999999
ACH-000253,-0.456860214806
ACH-000255,-0.233960818294
ACH-000256,0.0101625773489
ACH-000257,0.12990808827
ACH-000258,0.163527345056
ACH-000259,-0.0879360578417
ACH-000260,-0.126933370441
ACH-000261,-0.071929405392
ACH-000262,-0.40423682262500005
ACH-000263,-0.127811425043
ACH-000264,-0.0362517256015
ACH-000265,-0.10002493351399999
ACH-000266,-0.24903589187300001
ACH-000272,0.0199401391043
ACH-000273,-0.217461475595
ACH-000274,-0.154094286411
ACH-000277,-0.0840832021475
ACH-000278,-0.0642088253388
ACH-000279,-0.209156300897
ACH-000280,-0.153693137667
ACH-000281,-0.371394696395
ACH-000288,-0.276261620408
ACH-000291,-0.183206889263
ACH-000293,-0.14836030569800002
ACH-000294,-0.0548396781255
ACH-000295,-0.252866220358
ACH-000296,0.101192649189
ACH-000302,-0.10439538088400001
ACH-000304,-0.20739439370299997
ACH-000307,-0.0625083501321
ACH-000308,-0.142222713094
ACH-000310,-0.148749914672
ACH-000311,-0.220245888649
ACH-000312,-0.146665851832
ACH-000315,-0.176032140823
ACH-000316,-0.21121947121100001
ACH-000317,-0.08434446001189999
ACH-000318,-0.000490162445306
ACH-000319,-0.0402312576791
ACH-000320,-0.584517247299
