,TCTEX1D4 (343521)
ACH-000004,-0.25897727213000005
ACH-000007,0.00120642266898
ACH-000009,-0.163942471017
ACH-000011,-0.0845627004245
ACH-000012,-0.136359965531
ACH-000013,-0.13829263828299998
ACH-000014,0.05992686145690001
ACH-000015,-0.112211820981
ACH-000017,-0.20229722546300002
ACH-000018,-0.141692422459
ACH-000019,-0.07519108658210001
ACH-000021,-0.0191507468619
ACH-000022,-0.065351215171
ACH-000025,0.126437212892
ACH-000028,-0.165012491735
ACH-000030,-0.059012041893300005
ACH-000035,-0.186138476657
ACH-000036,-0.18620890118099998
ACH-000037,-0.050255444143900006
ACH-000039,-0.23454215636
ACH-000040,-0.209128582988
ACH-000041,-0.0560546250711
ACH-000042,0.0196438151396
ACH-000045,-0.19709922575999997
ACH-000047,-0.0378470699087
ACH-000052,-0.120799495238
ACH-000053,-0.0877784162548
ACH-000054,-0.00392180209167
ACH-000055,-0.012554970980799999
ACH-000060,-0.13992139681399998
ACH-000067,-0.120512516379
ACH-000070,0.0128092992049
ACH-000075,-0.0364583159362
ACH-000078,-0.11613032986199999
ACH-000082,-0.0201557516541
ACH-000085,-0.0533062878716
ACH-000086,-0.0485840299702
ACH-000087,-0.21734127301199999
ACH-000092,-0.11015315750700001
ACH-000095,-0.09369047181389999
ACH-000097,-0.00686975146266
ACH-000098,-0.0905026817739
ACH-000099,-0.0073238714780600005
ACH-000108,-0.0966876663988
ACH-000113,-0.217465744653
ACH-000115,-0.48144045725400003
ACH-000116,-0.18968086292599998
ACH-000118,-0.104376884054
ACH-000120,-0.161941239772
ACH-000123,-0.019873477802099998
ACH-000127,0.0023107532685100003
ACH-000128,-0.134927281629
ACH-000132,-0.027867399961700002
ACH-000133,0.0379817109656
ACH-000137,-0.124082283801
ACH-000138,-0.058384750065400004
ACH-000142,-0.170521302574
ACH-000143,-0.110484114244
ACH-000146,-0.10485903064999999
ACH-000148,-0.124387505603
ACH-000150,-0.31252193840500003
ACH-000152,-0.0728145182027
ACH-000153,-0.14408336705900002
ACH-000159,-0.053375257612300005
ACH-000160,-0.0376980056883
ACH-000163,-0.10699222939099999
ACH-000167,-0.142031422484
ACH-000168,-0.0323053787629
ACH-000169,-0.16533636455
ACH-000178,-0.0510078434619
ACH-000182,-0.122427442738
ACH-000183,-0.170414329496
ACH-000188,-0.127139614167
ACH-000189,-0.135443188943
ACH-000190,-0.227252789918
ACH-000198,-0.203799462815
ACH-000204,-0.189085485013
ACH-000206,0.23444320549800002
ACH-000207,-0.29126431646
ACH-000211,0.107091546164
ACH-000215,-0.147454713819
ACH-000221,-0.20959709365499998
ACH-000222,-0.2184160437
ACH-000223,0.09691940900660001
ACH-000226,0.056953358813399996
ACH-000227,0.153236707257
ACH-000228,-0.240442273629
ACH-000231,-0.0972209144287
ACH-000232,-0.021697821719999996
ACH-000233,-0.006548160552149999
ACH-000234,-0.13028090405
ACH-000235,-0.178699361273
ACH-000237,-0.0412570058623
ACH-000238,-0.121058143533
ACH-000243,0.0158448194844
ACH-000244,-0.030432763100700002
ACH-000246,-0.07605089417000001
ACH-000248,-0.156019400037
ACH-000250,-0.136095053065
ACH-000251,-0.028514369556
ACH-000253,-0.176182518331
ACH-000255,-0.14406743447
ACH-000256,-0.0447114243339
ACH-000257,-0.49634445951800005
ACH-000258,-0.06937821656689999
ACH-000259,-0.09322867235580001
ACH-000260,-0.18276969148699998
ACH-000261,-0.0389374051279
ACH-000262,-0.21856339538800001
ACH-000263,0.0328754562225
ACH-000264,-0.151711802022
ACH-000265,-0.20508018572
ACH-000266,-0.0496312714537
ACH-000272,-0.117350934857
ACH-000273,0.014473478839
ACH-000274,-0.00768834288464
