,CDV3 (55573)
ACH-000004,-0.229102069265
ACH-000007,-0.259800950287
ACH-000009,-0.49887377395800003
ACH-000011,-0.289175149942
ACH-000012,-0.0385235771911
ACH-000013,-0.310586955276
ACH-000014,-0.249376091399
ACH-000015,-0.302133034445
ACH-000017,-0.201837175539
ACH-000018,-0.455500161643
ACH-000019,-0.418139941909
ACH-000021,-0.472781179793
ACH-000022,0.0233320693637
ACH-000025,-0.42512844818000006
ACH-000028,-0.563331414971
ACH-000030,-0.26913407922800003
ACH-000035,-0.328046131962
ACH-000036,-0.28901111042100003
ACH-000037,-0.282748483163
ACH-000039,-0.266047636283
ACH-000040,-0.431087303628
ACH-000041,-0.37799505730599997
ACH-000042,-0.346319499935
ACH-000045,-0.0858959253997
ACH-000047,-0.166403277097
ACH-000052,-0.430005157849
ACH-000053,-0.215046945281
ACH-000054,-0.448996497214
ACH-000055,-0.29709308020799996
ACH-000060,-0.23839276079
ACH-000067,-0.397828246203
ACH-000070,-0.227594318909
ACH-000075,-0.478882117922
ACH-000078,-0.46816762153700003
ACH-000082,-0.280813556357
ACH-000085,-0.28897822216499996
ACH-000086,-0.323622040421
ACH-000087,-0.357621516845
ACH-000092,-0.25980468898000003
ACH-000095,-0.37233501588600004
ACH-000097,-0.360586852748
ACH-000098,-0.177671728609
ACH-000099,-0.281925696628
ACH-000108,-0.48465354806999994
ACH-000113,-0.232165279335
ACH-000115,-0.15968847375
ACH-000116,-0.450173802047
ACH-000118,-0.18138193761500002
ACH-000120,-0.14992810875499998
ACH-000123,-0.295686124746
ACH-000127,-0.13809342811
ACH-000128,-0.588775416855
ACH-000132,-0.413787345212
ACH-000133,-0.34387979948700004
ACH-000137,-0.365214095248
ACH-000138,-0.0431568407112
ACH-000142,-0.47154855130500006
ACH-000143,-0.604431499528
ACH-000146,-0.283470726612
ACH-000148,-0.272112544929
ACH-000150,-0.34346463277500006
ACH-000152,-0.543793251339
ACH-000153,-0.545761525464
ACH-000159,-0.376911943327
ACH-000160,-0.359880121813
ACH-000163,-0.166650129733
ACH-000167,-0.313790532602
ACH-000168,-0.19337715313999998
ACH-000169,-0.26506238438
ACH-000178,-0.41852842152099995
ACH-000182,-0.528806721529
ACH-000183,-0.193134683999
ACH-000188,-0.340999946053
ACH-000189,-0.388705792897
ACH-000190,-0.360474308538
ACH-000198,-0.6348448992469999
ACH-000204,-0.306422976655
ACH-000206,-0.196068122586
ACH-000207,-0.337474115106
ACH-000211,-0.375280438641
ACH-000215,-0.36979854641500004
ACH-000221,-0.172352529109
ACH-000222,-0.32492635295
ACH-000223,-0.382801579857
ACH-000226,-0.164892136931
ACH-000227,-0.452233829289
ACH-000228,-0.42700443267800003
ACH-000231,-0.254753818824
ACH-000232,-0.52368327263
ACH-000233,-0.34651479682999997
ACH-000234,-0.322560008455
ACH-000235,-0.45884606422700003
ACH-000237,-0.319042980686
ACH-000238,-0.100397482158
ACH-000243,-0.145053900872
ACH-000244,-0.26922230666700003
ACH-000246,-0.340773899075
ACH-000248,-0.288235594573
ACH-000250,-0.315885574858
ACH-000251,-0.42497871905900003
ACH-000253,-0.42191649122
ACH-000255,-0.409011183154
ACH-000256,-0.337818153002
ACH-000257,-0.140570969828
ACH-000258,0.0488844075842
ACH-000259,-0.328301727392
ACH-000260,-0.20797568704100003
ACH-000261,-0.333047772359
ACH-000262,-0.279852900147
ACH-000263,-0.307780900116
ACH-000264,-0.361748236118
ACH-000265,-0.333106525469
ACH-000266,-0.10117800422800001
ACH-000272,-0.581493910857
ACH-000273,-0.373092230754
ACH-000274,-0.345674217465
ACH-000277,-0.27548647455200004
ACH-000278,-0.24924246701799999
ACH-000279,-0.369951881145
ACH-000280,-0.157364561431
ACH-000281,-0.385910935171
ACH-000288,-0.35477842889399996
ACH-000291,-0.12485562522600001
ACH-000293,-0.21306333138300002
ACH-000294,0.0706685019724
ACH-000295,-0.505951341398
ACH-000296,-0.200735663343
ACH-000302,-0.531611772324
ACH-000304,-0.415595152778
ACH-000307,-0.219301863372
ACH-000308,-0.25445435535300004
ACH-000310,-0.238852641048
ACH-000311,-0.33135441772700003
ACH-000312,-0.39432081892399995
ACH-000315,-0.263921365905
ACH-000316,-0.183183160293
ACH-000317,-0.536044113708
ACH-000318,-0.131583714288
ACH-000319,-0.178365901855
ACH-000320,-0.5417040547209999
ACH-000322,-0.216570751388
ACH-000323,-0.578697047944
