,DHFRL1 (200895)
ACH-000004,-0.43756454068499995
ACH-000007,-0.349502902698
ACH-000009,-0.38377588923699996
ACH-000011,-0.640617422917
ACH-000012,-0.40666770870200003
ACH-000013,-0.10583631966
ACH-000014,-0.215700292533
ACH-000015,-0.3551906817
ACH-000017,-0.36259704714900004
ACH-000018,-0.178476975358
ACH-000019,-0.415604544687
ACH-000021,-0.355766322016
ACH-000022,-0.299552395993
ACH-000025,-0.37999969625600005
ACH-000028,-0.498189713512
ACH-000030,-0.541832708063
ACH-000035,-0.236964637903
ACH-000036,-0.346840797707
ACH-000037,0.0353106476009
ACH-000039,-0.302824177638
ACH-000040,-0.154980647432
ACH-000041,-0.488408198439
ACH-000042,-0.47875139755199997
ACH-000045,-0.322510825504
ACH-000047,-0.321985789106
ACH-000052,-0.208156922437
ACH-000053,-0.446776682792
ACH-000054,-0.135025506036
ACH-000055,0.0343802605751
ACH-000060,-0.0207011473477
ACH-000067,-0.46406196596
ACH-000070,-0.533571347838
ACH-000075,-0.416647234273
ACH-000078,-0.755836360261
ACH-000082,-0.12823048028
ACH-000085,-0.043411863873899996
ACH-000086,-0.11422549623600001
ACH-000087,-0.253149369355
ACH-000092,-0.481016922351
ACH-000095,-0.692399500743
ACH-000097,-0.5107545451609999
ACH-000098,0.0568393407866
ACH-000099,-0.535677921426
ACH-000108,-0.563254664398
ACH-000113,-0.202369095072
ACH-000115,-0.467768599026
ACH-000116,-0.259389896028
ACH-000118,-0.0523209852066
ACH-000120,-0.260815878518
ACH-000123,-0.287099105219
ACH-000127,-0.552222667606
ACH-000128,-0.350099045507
ACH-000132,-0.245238363785
ACH-000133,-0.304901442536
ACH-000137,-0.315970044406
ACH-000138,-0.47410852946500004
ACH-000142,-0.247419990148
ACH-000143,-0.274001945765
ACH-000146,-0.456067442227
ACH-000148,-0.0005291345035969999
ACH-000150,0.188678307498
ACH-000152,-0.0929397064509
ACH-000153,-0.279868194136
ACH-000159,-0.39620569471699996
ACH-000160,-0.171603004607
ACH-000163,-0.26012195301
ACH-000167,-0.312069892967
ACH-000168,-0.562054812524
ACH-000169,-0.133147790921
ACH-000178,-0.34943610857100005
ACH-000182,-0.461755825104
ACH-000183,-0.511894416645
ACH-000188,-0.329504068418
ACH-000189,-0.420114179828
ACH-000190,-0.255004169892
ACH-000198,-0.275415430781
ACH-000204,-0.350332053743
ACH-000206,-0.198400668333
ACH-000207,-0.519627288741
ACH-000211,-0.22153943509399998
ACH-000215,-0.257564506096
ACH-000221,-0.146426642861
ACH-000222,-0.60189721702
ACH-000223,-0.387726633312
ACH-000226,-0.434725880088
ACH-000227,-0.710890676014
ACH-000228,-0.249826133522
ACH-000231,-0.236303200234
ACH-000232,-0.323976636237
ACH-000233,-0.400522003252
ACH-000234,-0.408027739881
ACH-000235,-0.522321714433
ACH-000237,-0.12214354932600001
ACH-000238,-0.130605985881
ACH-000243,-0.257210939124
ACH-000244,0.136585095143
ACH-000246,-0.123214936175
ACH-000248,-0.36090090589699997
ACH-000250,-0.29467435261999997
ACH-000251,-0.24061983758900002
ACH-000253,-0.436348313574
ACH-000255,-0.15865202631300002
ACH-000256,0.170864098822
ACH-000257,-0.46120496310099995
ACH-000258,-0.35504682695
ACH-000259,-0.5052129935040001
ACH-000260,-0.15858953136
ACH-000261,-0.267617202325
ACH-000262,-0.24390369469599998
ACH-000263,-0.29361936306200004
ACH-000264,-0.35908516023500003
ACH-000265,-0.0580440563979
ACH-000266,-0.38576746643700005
ACH-000272,-0.513690151343
ACH-000273,-0.494960723723
ACH-000274,-0.339924538446
ACH-000277,-0.327764818904
ACH-000278,-0.339800032235
ACH-000279,-0.621924649999
ACH-000280,-0.235761181478
ACH-000281,-0.111482610285
ACH-000288,-0.143768047397
ACH-000291,-0.338460569192
ACH-000293,-0.110965030493
ACH-000294,-0.611271961118
ACH-000295,-0.342407731585
ACH-000296,-0.256159840144
ACH-000302,-0.24603062494000003
ACH-000304,-0.40188297069
ACH-000307,-0.43134682441100003
ACH-000308,-0.320170713457
ACH-000310,-0.55886439673
ACH-000311,-0.406863983566
ACH-000312,-0.314612409139
ACH-000315,-0.606830071003
ACH-000316,-0.038236284391099995
ACH-000317,-0.800832166506
ACH-000318,-0.289020439681
ACH-000319,-0.22912336964000002
ACH-000320,-0.42790194118299996
ACH-000322,-0.263067055921
ACH-000323,-0.335426660175
ACH-000324,-0.171845435201
ACH-000329,-0.374043537832
ACH-000330,-0.448906125521
ACH-000331,-0.248678250931
ACH-000332,-0.193470337333
ACH-000334,-0.544334344124
ACH-000335,-0.38507823644199995
ACH-000336,-0.292471539731
ACH-000337,-0.482170500889
ACH-000339,-0.565549224281
ACH-000341,-0.307873446223
ACH-000348,-0.35864905298699995
ACH-000350,-0.46916710945699996
ACH-000352,-0.392794057521
