,VRK1 (7443)
ACH-000004,-0.408995579843
ACH-000007,-0.9844995632729999
ACH-000009,-0.346793769771
ACH-000011,-1.0928814745200002
ACH-000012,-0.387112508931
ACH-000013,-0.159460548185
ACH-000014,-0.728482531153
ACH-000015,0.00947636408788
ACH-000017,-0.3948694757
ACH-000018,-0.946487752678
ACH-000019,-0.528578406664
ACH-000021,-0.5244794047860001
ACH-000022,-0.259444412236
ACH-000025,-0.9283961448070001
ACH-000028,-0.456187503724
ACH-000030,-0.211097621689
ACH-000035,-0.857777077072
ACH-000036,-1.14537591452
ACH-000037,-0.68950320171
ACH-000039,-0.865369476142
ACH-000040,-1.38493062782
ACH-000041,-1.27845653105
ACH-000042,-0.730834067952
ACH-000045,-0.16677238518100002
ACH-000047,-0.908174273581
ACH-000052,-1.03222576025
ACH-000053,-0.0937057140002
ACH-000054,-0.68670705506
ACH-000055,-0.981293987878
ACH-000060,-0.995196748232
ACH-000067,-1.1553536239
ACH-000070,-0.666488537721
ACH-000075,-0.901639180756
ACH-000078,-1.25440360434
ACH-000082,-0.857546087096
ACH-000085,-0.793950438784
ACH-000086,-0.9541298212229999
ACH-000087,-0.769008090752
ACH-000092,-0.988702628627
ACH-000095,-0.5939704382850001
ACH-000097,-0.8468272198469999
ACH-000098,-0.505006957894
ACH-000099,-1.0933675249500001
ACH-000108,-0.632203646443
ACH-000113,-0.6229401387619999
ACH-000115,-0.749312230994
ACH-000116,-0.569232182999
ACH-000118,-0.6884810903309999
ACH-000120,-1.09411939759
ACH-000123,-0.269748711499
ACH-000127,-0.8005211978650001
ACH-000128,-0.734594656785
ACH-000132,-0.783023412409
ACH-000133,-1.13220561065
ACH-000137,-1.1330190034299998
ACH-000138,-0.8966574023839999
ACH-000142,-0.805378278213
ACH-000143,-0.050014512889599995
ACH-000146,-0.0604687449687
ACH-000148,-0.501712098133
ACH-000150,-1.17378880868
ACH-000152,-0.936375490704
ACH-000153,-0.7687007092739999
ACH-000159,-0.728349764838
ACH-000160,-0.166627831415
ACH-000163,-0.69326336349
ACH-000167,-0.0459542539721
ACH-000168,-0.426117451844
ACH-000169,-0.699759260311
ACH-000178,-1.01093936226
ACH-000182,-1.0023366090999999
ACH-000183,-0.437556967951
ACH-000188,-0.873243614138
ACH-000189,-0.835288739276
ACH-000190,-0.441529701667
ACH-000198,-0.65878104113
ACH-000204,-0.819942662559
ACH-000206,-0.5707402494
ACH-000207,-1.04866978586
ACH-000211,-0.614373894971
ACH-000215,-1.00205825698
ACH-000221,-0.101827393199
ACH-000222,-0.48881847366400005
ACH-000223,-0.961286841821
ACH-000226,-0.24236828863600002
ACH-000227,-1.3377667202299999
ACH-000228,-0.463771848996
ACH-000231,-1.1618894727299998
ACH-000232,-1.1432681521899999
ACH-000233,-0.549033771789
ACH-000234,-0.474303966866
ACH-000235,-0.5964033853230001
ACH-000237,-0.900352927519
ACH-000238,-0.589386553172
ACH-000243,-0.8193638460070001
ACH-000244,-0.837277566545
ACH-000246,-0.929130461155
ACH-000248,-0.524033867797
ACH-000250,-0.823915246724
ACH-000251,-0.695807895167
ACH-000253,-0.6034296402889999
ACH-000255,-0.898418248832
ACH-000256,-0.265291387698
ACH-000257,-0.751468000283
ACH-000258,-0.38614010340099997
ACH-000259,-0.866153710664
ACH-000260,-0.7981282747139999
ACH-000261,-1.26856285332
ACH-000262,-0.684235939763
ACH-000263,-0.31775191607299996
ACH-000264,-0.495304579289
ACH-000265,-0.813766475777
ACH-000266,-0.2144155947
ACH-000272,-0.7031993863830001
ACH-000273,-1.0325110576899998
ACH-000274,-0.102730605827
ACH-000277,-0.594775757256
ACH-000278,-1.02525322561
ACH-000279,-1.05665127762
ACH-000280,-0.547921738441
ACH-000281,-0.5865845579919999
ACH-000288,-1.32636882644
ACH-000291,-0.41239003839599997
ACH-000293,-0.341487167469
