,FN3K (64122)
ACH-000004,-0.21887334095600003
ACH-000007,-0.022746530233200002
ACH-000009,-0.411553650855
ACH-000011,-0.182012854348
ACH-000012,-0.0861098325689
ACH-000013,-0.132634451501
ACH-000014,-0.08939358782330001
ACH-000015,-0.051721718998300005
ACH-000017,-0.41104288785
ACH-000018,-0.287889842048
ACH-000019,-0.336683895157
ACH-000021,-0.15334991661699998
ACH-000022,-0.238406873705
ACH-000025,-0.0790162507023
ACH-000028,-0.104784104716
ACH-000030,-0.0899623615856
ACH-000035,-0.13631288060900001
ACH-000036,-0.16789637620099998
ACH-000037,-0.09457763140039999
ACH-000039,-0.242404565532
ACH-000040,-0.148062914082
ACH-000041,-0.203234354916
ACH-000042,-0.134860697722
ACH-000045,-0.253876941409
ACH-000047,-0.16515440315500002
ACH-000052,0.0849173105637
ACH-000053,-0.0663710327427
ACH-000054,-0.28669879655
ACH-000055,-0.270429494703
ACH-000060,0.0013494023627600002
ACH-000067,-0.031272341107900004
ACH-000070,0.0451931724897
ACH-000075,-0.18562429691799998
ACH-000078,-0.036436976560499997
ACH-000082,0.0556709627996
ACH-000085,-0.153982651999
ACH-000086,-0.0650327879653
ACH-000087,0.284143684589
ACH-000092,-0.0682392564689
ACH-000095,-0.217581745798
ACH-000097,-0.0356190840446
ACH-000098,-0.146172026009
ACH-000099,-0.0764962977486
ACH-000108,-0.0491866591019
ACH-000113,-0.2367478187
ACH-000115,-0.0649142922407
ACH-000116,-0.0726384211257
ACH-000118,-0.10119717536699999
ACH-000120,-0.265597666782
ACH-000123,-0.0282345741457
ACH-000127,-0.0953772122147
ACH-000128,-0.24006522608199998
ACH-000132,0.0209055220827
ACH-000133,-0.0457845797094
ACH-000137,-0.297979069875
ACH-000138,-0.07492874410019999
ACH-000142,-0.271178930206
ACH-000143,-0.08161827536180001
ACH-000146,-0.0070090682912
ACH-000148,-0.17187553539099998
ACH-000150,-0.0673714827922
ACH-000152,-0.162360525558
ACH-000153,0.242924033287
ACH-000159,-0.0166661173847
ACH-000160,-0.291065888526
ACH-000163,-0.0941931120513
ACH-000167,-0.25680578781999996
ACH-000168,-0.239296563069
ACH-000169,-0.0715890174064
ACH-000178,-0.122400641504
ACH-000182,-0.0359313718956
ACH-000183,0.0556698824261
ACH-000188,0.022323782107700002
ACH-000189,-0.0551512402977
ACH-000190,-0.139423239591
ACH-000198,-0.0957603962224
ACH-000204,-0.20588907610800003
ACH-000206,0.06458718037830001
ACH-000207,-0.254600426437
ACH-000211,-0.0109597267428
ACH-000215,-0.113643975338
ACH-000221,0.0780248638057
ACH-000222,-0.014581810188400001
ACH-000223,-0.166473133092
ACH-000226,0.0281372338606
ACH-000227,-0.0495190321667
ACH-000228,-0.034131788434099995
ACH-000231,-0.103047379203
ACH-000232,-0.030521822889099996
ACH-000233,-0.147581807224
ACH-000234,0.12092122791200001
ACH-000235,-0.0551513997803
ACH-000237,-0.126687546531
ACH-000238,-0.268168189953
ACH-000243,-0.0875340987272
ACH-000244,-0.227064604832
ACH-000246,-0.010466500917
ACH-000248,-0.39364533235200005
ACH-000250,-0.146494764402
ACH-000251,0.0904008813569
ACH-000253,-0.170226479604
ACH-000255,-0.197078093288
ACH-000256,-0.193990610557
ACH-000257,-0.151791660866
ACH-000258,0.139981345726
ACH-000259,-0.153697167853
ACH-000260,-0.0880398171444
ACH-000261,-0.0356599811709
ACH-000262,0.012329039396899999
ACH-000263,-0.489062532839
ACH-000264,-0.121357847386
ACH-000265,-0.135832288451
ACH-000266,-0.131491243002
ACH-000272,-0.06614320743259999
ACH-000273,-0.138431659904
ACH-000274,-0.155952463809
ACH-000277,-0.25996348117699997
ACH-000278,-0.101292964805
ACH-000279,-0.158622669316
ACH-000280,-0.193857364988
ACH-000281,-0.107944490213
ACH-000288,-0.117431528563
ACH-000291,-0.006046047958760001
ACH-000293,-0.21665337147100003
ACH-000294,-0.15427836465
ACH-000295,-0.00114902012889
ACH-000296,0.026684503922200002
ACH-000302,-0.09944441079789999
ACH-000304,0.113235955358
ACH-000307,0.00937543377695
ACH-000308,-0.126960795055
ACH-000310,0.021215405973700002
ACH-000311,-0.043223195704199996
ACH-000312,-0.14731537399
ACH-000315,-0.593207919053
ACH-000316,-0.058899101665
ACH-000317,-0.0298921076162
ACH-000318,-0.24295479876200002
ACH-000319,-0.08963101283839998
ACH-000320,-0.23961557407099998
ACH-000322,-0.10797618309399999
ACH-000323,-0.261607130005
ACH-000324,-0.170652378343
ACH-000329,-0.235744929523
ACH-000330,-0.173878684034
ACH-000331,-0.034321000811
ACH-000332,-0.0416552484026
ACH-000334,-0.156842040381
ACH-000335,0.0285332682557
ACH-000336,0.39193066023900003
ACH-000337,-0.27448101272
ACH-000339,-0.063789849019
ACH-000341,0.07172929023010001
ACH-000348,-0.04355601649
ACH-000350,-0.16870215836199998
ACH-000352,-0.1660837149
ACH-000356,0.04000716699969999
ACH-000361,-0.0013153257364799998
ACH-000362,-0.0982867469561
ACH-000363,-0.125908866192
ACH-000364,0.152703148457
ACH-000365,-0.186878217855
ACH-000366,-0.168506911381
ACH-000368,-0.16123265125
ACH-000374,-0.0634055310328
ACH-000375,-0.0985737240687
ACH-000376,-0.043544818573699996
ACH-000381,0.030082138117499997
ACH-000383,-0.147657307662
ACH-000387,-0.139058210437
ACH-000389,-0.0223968309322
ACH-000390,-0.129641619581
ACH-000393,-0.133291367608
ACH-000395,-0.5541804299549999
ACH-000397,-0.117322342634
ACH-000401,0.0365183464448
ACH-000402,0.0392976006217
ACH-000403,-0.0297299121393
ACH-000404,-0.0918995291083
ACH-000406,-0.0847791941471
ACH-000407,-0.14251361521
ACH-000408,0.0243243605804
ACH-000410,-0.032868376715700004
ACH-000411,-0.06938711232160001
ACH-000414,-0.0787887586508
ACH-000415,-0.11425913633
ACH-000416,-0.190121676004
ACH-000420,-0.141196441437
ACH-000421,-0.0628512202181
ACH-000424,-0.25464844241
ACH-000425,-0.0452096388589
ACH-000426,-0.06528431273730001
ACH-000427,0.0273953600935
ACH-000433,-0.323068841131
ACH-000436,-0.27896228565299996
ACH-000444,-0.0220094782582
