,CRYGC (1420)
ACH-000004,-0.313378852529
ACH-000007,-0.30094421583000003
ACH-000009,-0.39497470968000004
ACH-000011,-0.231302669
ACH-000012,-0.237915827449
ACH-000013,-0.202847425465
ACH-000014,-0.244218533494
ACH-000015,-0.31371692395899997
ACH-000017,-0.32160279242199996
ACH-000018,-0.216489841685
ACH-000019,-0.234662803295
ACH-000021,-0.543537730591
ACH-000022,-0.353187701914
ACH-000025,-0.259054805364
ACH-000028,-0.267772063045
ACH-000030,-0.12145943717299999
ACH-000035,0.137209832137
ACH-000036,-0.411415761694
ACH-000037,-0.19667829893199998
ACH-000039,-0.135564946052
ACH-000040,-0.189604058402
ACH-000041,-0.44289206645499996
ACH-000042,-0.43930617394500004
ACH-000045,-0.160951457792
ACH-000047,-0.210215261426
ACH-000052,-0.533282509279
ACH-000053,-0.257502127903
ACH-000054,-0.24209206290899998
ACH-000055,-0.13192122853
ACH-000060,-0.385511424643
ACH-000067,-0.166263607435
ACH-000070,-0.34595689510899996
ACH-000075,-0.267402551933
ACH-000078,-0.197671579246
ACH-000082,-0.304352870915
ACH-000085,-0.251129794457
ACH-000086,-0.12444593031500001
ACH-000087,-0.09660645962539999
ACH-000092,-0.259440580047
ACH-000095,-0.342522830459
ACH-000097,-0.227320911305
ACH-000098,-0.339870199492
ACH-000099,-0.18168013969
ACH-000108,-0.386101931561
ACH-000113,-0.154776475639
ACH-000115,0.141749237744
ACH-000116,-0.237535764664
ACH-000118,-0.417043844702
ACH-000120,-0.292028134982
ACH-000123,-0.37512229392499996
ACH-000127,-0.17289798175700002
ACH-000128,-0.07328499333789999
ACH-000132,-0.106992110944
ACH-000133,-0.37640573489600004
ACH-000137,-0.0683714486863
ACH-000138,-0.376612184721
ACH-000142,-0.128761329946
ACH-000143,-0.09367624613610001
ACH-000146,-0.278835895966
ACH-000148,-0.432041187992
ACH-000150,-0.17463782817899998
ACH-000152,-0.23563684886599998
ACH-000153,-0.280045314994
ACH-000159,-0.26677177836
ACH-000160,-0.139153110464
ACH-000163,-0.376349522544
ACH-000167,-0.482152412083
ACH-000168,-0.328132480887
ACH-000169,-0.185794057731
ACH-000178,-0.246665417096
ACH-000182,-0.309141733684
ACH-000183,-0.110285475447
ACH-000188,-0.223936552381
ACH-000189,-0.300677882761
ACH-000190,-0.437680441843
ACH-000198,-0.135840722539
ACH-000204,-0.108241409474
ACH-000206,-0.40305388219300003
ACH-000207,-0.08826730387739999
ACH-000211,-0.31613739112
ACH-000215,-0.229200339428
ACH-000221,-0.280586937841
ACH-000222,-0.467173659154
ACH-000223,-0.341060147429
ACH-000226,-0.19826234668200002
ACH-000227,-0.30890179533000006
ACH-000228,-0.0999385368485
ACH-000231,-0.221346984737
ACH-000232,-0.174412506252
ACH-000233,-0.190212650995
ACH-000234,-0.34474498909100004
ACH-000235,-0.38437699537799996
ACH-000237,-0.100690653895
ACH-000238,-0.22981196381900001
ACH-000243,-0.34258378280699997
ACH-000244,-0.43703173179
ACH-000246,-0.16177113485300001
ACH-000248,-0.101163644498
ACH-000250,-0.275912996258
ACH-000251,-0.18842832926199998
ACH-000253,-0.31376984847899997
ACH-000255,-0.213779736937
ACH-000256,-0.112627393482
ACH-000257,-0.5101505438530001
ACH-000258,-0.6932720223019999
ACH-000259,-0.33837527394199995
ACH-000260,-0.357669559362
ACH-000261,-0.332209106444
ACH-000262,-0.294153214065
ACH-000263,-0.22366979331300002
ACH-000264,-0.189734140803
ACH-000265,-0.220020671444
ACH-000266,-0.34341151305100004
ACH-000272,-0.171085310552
ACH-000273,-0.279346126636
ACH-000274,-0.550641159726
ACH-000277,-0.0884421256956
ACH-000278,-0.192243237682
ACH-000279,-0.26230484445700003
ACH-000280,-0.142503043489
ACH-000281,-0.18388028989900002
ACH-000288,-0.29840501128400004
ACH-000291,-0.341475052294
ACH-000293,-0.28788814148200004
ACH-000294,-0.21410455655900001
ACH-000295,-0.46407566418000007
ACH-000296,-0.403263411521
ACH-000302,-0.139250156861
ACH-000304,-0.476922253626
ACH-000307,-0.227733329487
ACH-000308,-0.234925599131
ACH-000310,-0.195189545726
ACH-000311,-0.389597991023
ACH-000312,-0.338960152638
ACH-000315,-0.0745149885284
ACH-000316,-0.48300200671800003
ACH-000317,-0.401856008675
ACH-000318,-0.14350007210000001
ACH-000319,-0.259402358293
ACH-000320,-0.417508244695
ACH-000322,-0.29525964104200003
ACH-000323,-0.275133338944
ACH-000324,-0.44335232817299997
ACH-000329,-0.291261080667
ACH-000330,-0.0160099055718
ACH-000331,-0.11290458241399999
ACH-000332,-0.223753481321
ACH-000334,0.0528349985673
ACH-000335,-0.20960974972
ACH-000336,-0.025990138059200002
ACH-000337,-0.310785867154
ACH-000339,-0.22167744886
ACH-000341,-0.44443653508599995
ACH-000348,-0.30921096881
ACH-000350,-0.191836759422
ACH-000352,-0.26134536908399997
ACH-000356,-0.118075770683
ACH-000361,-0.146716455524
ACH-000362,-0.247294049815
ACH-000363,-0.337280583662
ACH-000364,-0.0227162245383
ACH-000365,-0.3117963098
ACH-000366,-0.157490229056
ACH-000368,-0.16353828738600001
ACH-000374,-0.295082008471
ACH-000375,-0.298853942983
ACH-000376,-0.228478212692
ACH-000381,-0.507892863312
ACH-000383,-0.271805960772
ACH-000387,-0.39724657993600004
ACH-000389,-0.259993359265
ACH-000390,-0.22308249133400002
ACH-000393,-0.450867065814
ACH-000395,-0.09687503859210002
ACH-000397,-0.314547970656
ACH-000401,-0.496744787791
ACH-000402,-0.190751746126
ACH-000403,-0.364499494316
ACH-000404,-0.23520242549800002
ACH-000406,-0.1857380377
ACH-000407,-0.216567481382
ACH-000408,-0.29552198997699997
ACH-000410,-0.22139835762600002
ACH-000411,-0.318350695141
ACH-000414,-0.45410024469300003
ACH-000415,-0.503480652649
ACH-000416,-0.0776767700368
ACH-000420,-0.482804381312
ACH-000421,-0.14940737748400001
ACH-000424,-0.0811053101933
ACH-000425,-0.20146878902100002
ACH-000426,-0.316935614498
ACH-000427,-0.286644386737
ACH-000433,-0.1766717655
ACH-000436,-0.36455797513300003
ACH-000444,-0.12375956740499999
ACH-000445,-0.292265082033
ACH-000448,-0.46056942829999997
ACH-000450,-0.19595721649099998
ACH-000452,-0.265906007213
ACH-000454,-0.314962830691
ACH-000458,-0.24366668329900001
ACH-000459,-0.10705071090299999
ACH-000460,-0.344465064524
ACH-000461,-0.0640181487756
ACH-000463,-0.363390295153
ACH-000464,-0.243198573378
ACH-000466,-0.042522314544799995
ACH-000467,-0.203783503092
ACH-000468,-0.0702733085926
ACH-000469,-0.247076021181
ACH-000470,-0.278414531902
ACH-000471,-0.226692223417
ACH-000472,-0.22331098830600002
ACH-000473,-0.270559092961
ACH-000475,-0.263114766805
ACH-000476,-0.21389206918900003
ACH-000477,-0.560945906497
ACH-000480,-0.171229795317
ACH-000481,-0.213525034408
ACH-000483,-0.20723041604800002
ACH-000484,-0.44110600898999996
ACH-000485,-0.378468516089
ACH-000486,-0.136409238548
ACH-000487,-0.407865389186
ACH-000488,-0.223797713226
ACH-000490,-0.132771375888
ACH-000491,-0.240440982925
ACH-000495,-0.402979179896
ACH-000496,-0.457603782313
ACH-000499,-0.187648202549
ACH-000500,-0.36303130842299997
ACH-000502,-0.284391232577
ACH-000503,0.107676793038
ACH-000505,-0.268224480916
ACH-000507,-0.4070539392
ACH-000510,-0.141249007889
ACH-000511,-0.186511011303
ACH-000512,-0.27660557811700004
ACH-000516,-0.304986537028
ACH-000517,-0.239855864943
ACH-000518,-0.25886904207199996
ACH-000520,-0.31170716412
