,RABIF (5877)
ACH-000004,-0.504972454064
ACH-000007,-1.16928291607
ACH-000009,-0.6244031377679999
ACH-000011,-0.689213546954
ACH-000012,-0.792392512168
ACH-000013,-0.648482129444
ACH-000014,-0.376827625339
ACH-000015,-0.800349612702
ACH-000017,-0.901769510535
ACH-000018,-0.202717188153
ACH-000019,-0.486034532483
ACH-000021,-0.482929980199
ACH-000022,-1.02702213487
ACH-000025,-0.632294174395
ACH-000028,-0.636750786361
ACH-000030,-1.11323444683
ACH-000035,-0.713009059806
ACH-000036,-0.37472217115999995
ACH-000037,-0.285945791133
ACH-000039,-0.13058548974300002
ACH-000040,-0.135839837735
ACH-000041,-0.581584719156
ACH-000042,-0.821089232129
ACH-000045,-0.47491128244900005
ACH-000047,-0.347133931283
ACH-000052,-0.828359818916
ACH-000053,-0.378001393372
ACH-000054,-0.693060748533
ACH-000055,-0.31949524326699996
ACH-000060,-1.1315810445
ACH-000067,-0.40679608141400003
ACH-000070,-0.57929830315
ACH-000075,-0.331819642098
ACH-000078,-0.645328069806
ACH-000082,-0.5246255922199999
ACH-000085,-0.43841818952399997
ACH-000086,-0.749703513142
ACH-000087,-0.225379781254
ACH-000092,-0.8431290707279999
ACH-000095,-0.483617137416
ACH-000097,-0.67591285081
ACH-000098,-0.6380320707370001
ACH-000099,-0.9688837941840001
ACH-000108,-0.711912335634
ACH-000113,-0.7077093413619999
ACH-000115,-0.951021258191
ACH-000116,-0.383972532262
ACH-000118,-0.444338510519
ACH-000120,-0.5827011700020001
ACH-000123,-0.37505699058200004
ACH-000127,-0.45671699878300004
ACH-000128,-0.0629654946487
ACH-000132,-0.25862785015399997
ACH-000133,-0.39872119603600004
ACH-000137,-0.255300828702
ACH-000138,-0.679466547453
ACH-000142,-0.36023761064099996
ACH-000143,-0.271468949073
ACH-000146,-0.446908721681
ACH-000148,-0.6084938356
ACH-000150,-0.574082672263
ACH-000152,-0.45346550474200004
ACH-000153,0.036508275806
ACH-000159,-0.425794820135
ACH-000160,-0.716737074712
ACH-000163,-0.6363436267279999
ACH-000167,-0.684125806646
ACH-000168,-0.600614437738
ACH-000169,-0.349868622347
ACH-000178,-0.5277929136999999
ACH-000182,-0.7990915080580001
ACH-000183,-0.823032606055
ACH-000188,-0.7287701611059999
ACH-000189,-0.674515106143
ACH-000190,-0.595892106848
ACH-000198,-0.35027328390199997
ACH-000204,-0.57073457305
ACH-000206,-0.936716244878
ACH-000207,-0.7846788401189999
ACH-000211,-0.40825798485200004
ACH-000215,-0.295752395465
ACH-000221,-0.563871145099
ACH-000222,-0.785100084359
ACH-000223,-0.739439441274
ACH-000226,-0.319840298015
ACH-000227,-0.37049777855899996
ACH-000228,-0.846147751999
ACH-000231,-0.35957837320299996
ACH-000232,-0.352038461627
ACH-000233,-0.626231931737
ACH-000234,-0.670932944942
ACH-000235,-1.07706349065
ACH-000237,-0.286757991174
ACH-000238,-0.6573395387650001
ACH-000243,-0.813945679946
ACH-000244,-0.363508573591
ACH-000246,-0.827132988404
ACH-000248,-0.849937082909
ACH-000250,-0.709004384193
ACH-000251,-0.678310316228
ACH-000253,-1.3006739208
ACH-000255,-0.398474821536
ACH-000256,-0.265013940853
ACH-000257,-0.532882829264
ACH-000258,-0.916671273808
ACH-000259,-0.844803335641
ACH-000260,-0.41422008204899996
ACH-000261,-0.37621230825900004
ACH-000262,-0.530643459963
ACH-000263,-1.3582012107199999
ACH-000264,-0.45824858072499997
ACH-000265,-0.184687261901
ACH-000266,-0.8180832255570001
ACH-000272,-0.6802128858480001
ACH-000273,-0.39762162144900004
ACH-000274,-0.0607038904838
ACH-000277,-0.804022545342
ACH-000278,-0.595650636606
ACH-000279,-0.243572454358
ACH-000280,-0.555499334491
ACH-000281,-1.05051569411
ACH-000288,-0.41164257532399995
ACH-000291,-0.26246021353300003
ACH-000293,-0.462317615125
ACH-000294,-1.3628176397299998
ACH-000295,-0.402684817583
ACH-000296,-0.810312367124
ACH-000302,-0.354785272512
ACH-000304,0.10789631477600001
ACH-000307,-1.0570905203399998
ACH-000308,-0.44502441432800005
ACH-000310,-0.436980597754
ACH-000311,-0.635247967204
ACH-000312,-0.5720598613210001
ACH-000315,-0.382647491081
ACH-000316,-0.583273474082
ACH-000317,-1.05213732351
ACH-000318,-1.2534034589899998
ACH-000319,-0.530056522631
ACH-000320,-0.423532753408
ACH-000322,-0.366306061607
ACH-000323,-0.388346077972
ACH-000324,-0.265212692723
ACH-000329,-0.49759566234999997
ACH-000330,-0.46507409029700003
ACH-000331,-0.7711999177500001
ACH-000332,-1.18192284676
ACH-000334,-0.688651842458
ACH-000335,-0.36306140937700004
ACH-000336,-0.7268086632809999
ACH-000337,-0.7054921237899999
ACH-000339,-0.680465677269
ACH-000341,-0.430398538055
ACH-000348,-0.305411556944
ACH-000350,-0.297295095507
ACH-000352,-0.482612961433
ACH-000356,-0.84568981648
ACH-000361,-0.189136196493
ACH-000362,-1.0031129036
ACH-000363,-0.510306661769
ACH-000364,-0.46396362079400005
ACH-000365,-0.759960634981
ACH-000366,-0.447357973118
ACH-000368,-0.516133574068
ACH-000374,-0.190440433634
ACH-000375,-0.31064868705299997
ACH-000376,-0.5854515399970001
ACH-000381,-1.09488082782
ACH-000383,-1.2410738537600001
ACH-000387,-0.9602621993449999
ACH-000389,-0.37510983190700004
ACH-000390,-0.406152916281
ACH-000393,-0.583847514045
ACH-000395,-0.789991275597
ACH-000397,-0.456393178746
ACH-000401,-0.125986851221
ACH-000402,-0.7390350663390001
ACH-000403,-0.627903693662
ACH-000404,0.011276454719799999
ACH-000406,-0.771431630515
ACH-000407,-0.509442338233
ACH-000408,-0.509708348421
ACH-000410,-0.7836231458640001
ACH-000411,-0.722739201048
ACH-000414,-0.34813784895800004
ACH-000415,-0.590628491762
ACH-000416,-0.643983021964
ACH-000420,-0.549077320627
ACH-000421,-0.716558518962
ACH-000424,-0.5294721329909999
ACH-000425,-0.349537496615
ACH-000426,-0.142121952294
ACH-000427,-0.129737777142
ACH-000433,-0.292063013885
ACH-000436,-0.54668232985
ACH-000444,-0.425292514023
ACH-000445,-0.45148703054
ACH-000448,-0.6062717577210001
ACH-000450,-0.332621936005
ACH-000452,-0.495191036859
ACH-000454,-1.0012122414799998
ACH-000458,-0.686704608997
ACH-000459,-0.753394897517
ACH-000460,-0.689542285742
ACH-000461,-0.965626069349
ACH-000463,-0.305310360643
ACH-000464,-1.09184405828
ACH-000466,-0.956356386012
ACH-000467,-0.687661277226
ACH-000468,-0.521624097428
ACH-000469,-0.571586133662
ACH-000470,-0.7323693880359999
ACH-000471,-0.682474668177
ACH-000472,-0.632870315508
ACH-000473,-0.40624364503
ACH-000475,-0.514566972763
ACH-000476,-0.41638220903000006
ACH-000477,-0.22220577792500001
ACH-000480,-0.670775074346
ACH-000481,-0.6801253950499999
ACH-000483,-0.5128800471930001
ACH-000484,-0.621244423623
ACH-000485,-0.9417371851649999
ACH-000486,-0.599701517385
ACH-000487,-0.826052305887
ACH-000488,-0.253916984594
ACH-000490,-0.48097650884
ACH-000491,-1.16743129311
ACH-000495,-0.388054063789
ACH-000496,-0.41384111237800003
ACH-000499,-0.20928738601
ACH-000500,-0.856160973862
ACH-000502,-0.843861147358
ACH-000503,-0.129294101005
ACH-000505,-0.474862490197
ACH-000507,-0.934467877521
ACH-000510,-0.824745000368
ACH-000511,-0.6484343424100001
ACH-000512,-0.307788898725
ACH-000516,-0.551652969706
ACH-000517,-0.543641727295
ACH-000518,-1.1070591626100001
ACH-000520,-0.453418258172
ACH-000521,-1.09006299292
ACH-000522,-0.550074276969
ACH-000524,-0.479947948073
ACH-000527,-0.360942895898
ACH-000528,-0.43533496582099995
ACH-000537,-0.9119386203290001
ACH-000541,-0.710544495577
