,FMN2 (56776)
ACH-000004,0.24581319995
ACH-000007,0.19736569052900002
ACH-000009,0.176161669952
ACH-000011,0.14878886082599999
ACH-000012,0.149546726997
ACH-000013,0.12837992328199999
ACH-000014,0.148835466931
ACH-000015,0.055266933030699995
ACH-000017,0.125970160425
ACH-000018,0.15198121172499998
ACH-000019,0.23170750023000003
ACH-000021,0.194946903616
ACH-000022,0.11846123652799999
ACH-000025,0.24781815831700002
ACH-000028,0.24431163871300002
ACH-000030,0.313383998037
ACH-000035,0.23205790854699998
ACH-000036,0.19110146295299998
ACH-000037,0.156328934388
ACH-000039,0.314544635743
ACH-000040,0.165251606365
ACH-000041,0.129429647946
ACH-000042,0.0434864563431
ACH-000045,0.239553299602
ACH-000047,0.167501022374
ACH-000052,0.138390861597
ACH-000053,0.164936885291
ACH-000054,0.145884630787
ACH-000055,0.00372486325994
ACH-000060,0.196718456669
ACH-000067,0.294800785299
ACH-000070,0.0156503029847
ACH-000075,-0.061091150555300004
ACH-000078,0.25381667299800004
ACH-000082,0.0750708210104
ACH-000085,0.14936475182199999
ACH-000086,0.16042697550100002
ACH-000087,0.368564761349
ACH-000092,0.210895291039
ACH-000095,0.13511481945999998
ACH-000097,0.20240132446800002
ACH-000098,0.09875186420289998
ACH-000099,0.16970107718400002
ACH-000108,0.14955950232999998
ACH-000113,0.12050989366699999
ACH-000115,0.139261505653
ACH-000116,0.0854198198417
ACH-000118,0.160958881834
ACH-000120,0.0114057799333
ACH-000123,0.26354171284899996
ACH-000127,0.22511066622099998
ACH-000128,0.00425352324392
ACH-000132,0.0929808083616
ACH-000133,0.185384440999
ACH-000137,0.239345134745
ACH-000138,0.200913372361
ACH-000142,0.133298146602
ACH-000143,0.167483498464
ACH-000146,0.24078052367199998
ACH-000148,0.20163982935199998
ACH-000150,0.132966854057
ACH-000152,0.266107024381
ACH-000153,0.07479644241530001
ACH-000159,0.13080658826
ACH-000160,0.16214969161599999
ACH-000163,0.289577379015
ACH-000167,0.301058195288
ACH-000168,0.061895781053599996
