,H2AFY2 (55506)
ACH-000004,-0.0740485510937
ACH-000007,-0.113873914583
ACH-000009,-0.09232331169199999
ACH-000011,-0.379613309878
ACH-000012,-0.273454803114
ACH-000013,-0.0877978219641
ACH-000014,-0.11404127700899999
ACH-000015,-0.277200838742
ACH-000017,-0.39981191804899996
ACH-000018,-0.137963579244
ACH-000019,-0.36238610321099995
ACH-000021,-0.111350862503
ACH-000022,-0.319039702398
ACH-000025,-0.473618811545
ACH-000028,-0.282696936087
ACH-000030,-0.470675155118
ACH-000035,-0.0848338921665
ACH-000036,-0.313825529294
ACH-000037,-0.261254030465
ACH-000039,-0.235841516723
ACH-000040,-0.36456534402699997
ACH-000041,-0.399400791964
ACH-000042,-0.3000304016
ACH-000045,-0.286843225737
ACH-000047,-0.221392524762
ACH-000052,-0.217832258585
ACH-000053,-0.124418677907
ACH-000054,-0.258449165775
ACH-000055,-0.367981555886
ACH-000060,-0.38706570484700004
ACH-000067,-0.520495831772
ACH-000070,-0.37768998942599996
ACH-000075,-0.29176460138099997
ACH-000078,-0.16235529265999998
ACH-000082,-0.0340073258488
ACH-000085,-0.519530656249
ACH-000086,-0.330123586656
ACH-000087,-0.482456456514
ACH-000092,-0.23457664186500002
ACH-000095,-0.190825511265
ACH-000097,-0.150138918151
ACH-000098,-0.225902264374
ACH-000099,-0.0966092691873
ACH-000108,-0.268019975417
ACH-000113,-0.360626422583
ACH-000115,-0.271584281792
ACH-000116,-0.13872377156500001
ACH-000118,-0.250103105513
ACH-000120,-0.0690679327784
ACH-000123,-0.226636520802
ACH-000127,-0.22362635577799997
ACH-000128,-0.155871612573
ACH-000132,-0.038888290875199995
ACH-000133,-0.24819194421
ACH-000137,-0.178889368805
ACH-000138,-0.0329351804471
ACH-000142,-0.139894370957
ACH-000143,-0.36555352457900003
ACH-000146,-0.205598141883
ACH-000148,-0.330670148107
ACH-000150,-0.294834365612
ACH-000152,-0.319341557189
ACH-000153,-0.280618510321
ACH-000159,-0.206545122868
ACH-000160,0.132668348135
ACH-000163,-0.333379524342
ACH-000167,0.307889577775
ACH-000168,-0.244754837904
ACH-000169,-0.281169400457
ACH-000178,-0.370979022474
ACH-000182,-0.406426500749
ACH-000183,-0.37271625617799997
ACH-000188,-0.15735797102399998
ACH-000189,-0.12198537716600001
ACH-000190,0.015806580254
ACH-000198,-0.219016849344
ACH-000204,-0.595021370994
ACH-000206,-0.246805035933
ACH-000207,-0.535244133419
ACH-000211,-0.336805495569
ACH-000215,-0.185068081076
ACH-000221,-0.248295969309
ACH-000222,-0.20302465297299999
ACH-000223,-0.182252290932
ACH-000226,-0.21769383302099998
ACH-000227,-0.06565159045369999
ACH-000228,-0.477530831233
ACH-000231,-0.21799514553000002
ACH-000232,-0.275887008378
ACH-000233,-0.263856221538
ACH-000234,-0.138635650235
ACH-000235,-0.147789211879
ACH-000237,-0.089874264421
ACH-000238,-0.151867890784
ACH-000243,-0.229083295526
ACH-000244,-0.042505574304999995
ACH-000246,-0.285698100839
ACH-000248,-0.31843907370499996
ACH-000250,-0.295064218524
ACH-000251,-0.203669938885
ACH-000253,-0.15972689318299998
ACH-000255,-0.313732242166
ACH-000256,-0.163352121277
ACH-000257,-0.493205532038
ACH-000258,-0.268216029618
ACH-000259,-0.194324181697
ACH-000260,-0.10359460887199999
ACH-000261,-0.218003017684
ACH-000262,-0.310456412512
ACH-000263,-0.673639024341
ACH-000264,-0.350573404257
ACH-000265,-0.201976007586
ACH-000266,-0.11557005579099999
ACH-000272,-0.212675766518
ACH-000273,-0.140904711952
ACH-000274,-0.149704335526
ACH-000277,-0.20373150745700003
ACH-000278,-0.142734087507
ACH-000279,-0.269448942591
ACH-000280,-0.121724787005
ACH-000281,-0.153341457368
ACH-000288,-0.275013417266
ACH-000291,-0.21965427699999998
ACH-000293,-0.492625801212
ACH-000294,-0.289212524266
ACH-000295,-0.42789113831000003
ACH-000296,-0.208544245258
ACH-000302,-0.22992823024099998
ACH-000304,-0.280216436899
ACH-000307,-0.347852318794
ACH-000308,-0.31928617142099996
ACH-000310,-0.00140849409384
ACH-000311,-0.0793583350978
ACH-000312,-0.060997619130499996
ACH-000315,-0.15553513703299998
ACH-000316,-0.210595785881
ACH-000317,-0.09637371305839999
ACH-000318,-0.334150261469
ACH-000319,-0.402476394258
ACH-000320,0.0177222616045
ACH-000322,-0.23920626980300003
ACH-000323,-0.479807137531
ACH-000324,-0.24815643370299997
ACH-000329,-0.0739100090538
ACH-000330,-0.08388364561150001
ACH-000331,-0.329116620009
ACH-000332,-0.251334814478
ACH-000334,-0.260595785922
ACH-000335,-0.313386182703
ACH-000336,-0.137003358772
ACH-000337,-0.542820507938
ACH-000339,-0.14429956021600002
ACH-000341,-0.183710621413
ACH-000348,-0.21289229129999998
ACH-000350,-0.374739910383
ACH-000352,-0.49988019983800003
ACH-000356,-0.181517377645
ACH-000361,-0.402809618339
ACH-000362,-0.170921694687
ACH-000363,-0.336367537616
ACH-000364,-0.354493270418
ACH-000365,-0.358638360346
ACH-000366,-0.212278040804
ACH-000368,-0.333737787273
ACH-000374,-0.314634838064
ACH-000375,-0.264838718798
ACH-000376,-0.314995234822
ACH-000381,-0.422350265814
ACH-000383,-0.20593017147999998
ACH-000387,-0.10935435499299999
ACH-000389,-0.207371748375
ACH-000390,-0.21986413721999998
ACH-000393,-0.376066171399
ACH-000395,-0.0299147398582
ACH-000397,-0.15309093755
ACH-000401,-0.145853888679
ACH-000402,-0.541860262963
ACH-000403,-0.13893674942700002
ACH-000404,-0.0423504717138
ACH-000406,-0.165033183592
ACH-000407,-0.299337264982
ACH-000408,-0.15184608023600002
ACH-000410,-0.24828620177299998
ACH-000411,-0.33951782091
ACH-000414,-0.05494566878269999
ACH-000415,-0.359321384587
ACH-000416,-0.361982856338
ACH-000420,-0.357107035721
ACH-000421,-0.115928833611
ACH-000424,-0.203590985093
ACH-000425,-0.320962476302
ACH-000426,-0.435281598366
ACH-000427,-0.431534647245
ACH-000433,-0.26483974478100003
ACH-000436,-0.5432565383969999
ACH-000444,-0.24626983958700002
ACH-000445,-0.233158827941
ACH-000448,-0.261826496313
ACH-000450,-0.107632806604
ACH-000452,-0.277799973924
ACH-000454,-0.27956884965900003
ACH-000458,-0.15018344899299998
ACH-000459,-0.163763985172
ACH-000460,-0.291100443028
ACH-000461,-0.13604393633300002
ACH-000463,-0.132941124316
ACH-000464,-0.325934688925
ACH-000466,-0.281769077665
ACH-000467,-0.131172756268
ACH-000468,-0.253827385013
ACH-000469,-0.245081723527
ACH-000470,-0.185058788704
ACH-000471,-0.15329541939400002
ACH-000472,-0.237172977466
ACH-000473,-0.203696170874
ACH-000475,-0.252620372165
ACH-000476,-0.391271488157
ACH-000477,-0.15011847253399999
ACH-000480,-0.210500642775
ACH-000481,-0.268494881384
ACH-000483,-0.442684098907
ACH-000484,-0.244553481393
ACH-000485,-0.107276807781
ACH-000486,-0.40527396531
ACH-000487,-0.12334492818399999
ACH-000488,-0.230175206813
ACH-000490,-0.31873471688099997
ACH-000491,-0.124763320101
ACH-000495,-0.152525144393
ACH-000496,-0.29945440883
ACH-000499,-0.451194676228
ACH-000500,-0.0388787466442
ACH-000502,-0.0182912809489
ACH-000503,-0.32004425441999995
ACH-000505,-0.320723953511
ACH-000507,-0.17456608393599998
ACH-000510,-0.36906597329999996
ACH-000511,-0.132695998203
ACH-000512,0.00104479666276
ACH-000516,-0.21284613679
ACH-000517,-0.06932104692489999
ACH-000518,-0.1971375859
ACH-000520,-0.344380895096
ACH-000521,-0.030048361830299998
ACH-000522,-0.226800789818
ACH-000524,-0.140267548846
ACH-000527,-0.15974205875
ACH-000528,-0.133403829164
ACH-000537,-0.22889052762200002
ACH-000541,-0.112801461462
ACH-000542,-0.299153279973
ACH-000544,-0.146731706023
ACH-000545,-0.34004815672600003
ACH-000547,-0.49697388995700004
ACH-000548,-0.265450883486
ACH-000549,-0.40337632814400004
ACH-000550,-0.221387400383
ACH-000552,-0.303642798464
ACH-000556,-0.352855920065
ACH-000557,-0.22208891808400003
ACH-000570,-0.257300584421
ACH-000571,-0.135020063909
ACH-000573,-0.0868243017787
ACH-000576,-0.264638013574
ACH-000580,-0.206219674775
ACH-000584,-0.23658209998100002
ACH-000585,-0.226643947557
ACH-000588,-0.325498060165
ACH-000589,-0.0395339857405
ACH-000591,-0.292547583267
ACH-000593,-0.286606253435
ACH-000600,-0.304782527831
ACH-000601,-0.16368877700999998
ACH-000604,-0.181201172572
ACH-000605,-0.22759385863499998
ACH-000606,-0.489839567651
ACH-000608,-0.157176081215
ACH-000614,0.04314381783580001
ACH-000616,-0.49397223728
ACH-000618,-0.30866680736900004
ACH-000619,-0.164292462304
ACH-000620,-0.0305186567449
ACH-000621,-0.26407579453499996
ACH-000622,-0.292601955392
ACH-000623,-0.286786761384
ACH-000624,-0.20092131897999999
ACH-000627,-0.219217075003
ACH-000630,-0.501721035641
ACH-000632,-0.276997512362
ACH-000633,-0.157537329565
ACH-000637,-0.09063282239380001
ACH-000638,-0.227917882923
ACH-000646,0.0930741729509
ACH-000647,-0.196517884117
ACH-000648,-0.15076905025999998
ACH-000649,-0.23911376848000002
ACH-000651,-0.248139674531
ACH-000652,-0.201127851188
ACH-000653,-0.338943401074
ACH-000657,-0.21014508456300002
ACH-000658,0.0312622888722
ACH-000661,-0.432075080902
ACH-000662,-0.502958463161
ACH-000663,-0.23822059066399998
ACH-000665,-0.394552537895
ACH-000671,-0.17470018237999999
ACH-000673,-0.179377273836
ACH-000676,-0.333033825894
ACH-000677,-0.362977432939
ACH-000681,-0.203073206181
ACH-000682,-0.18941035943300003
ACH-000683,-0.22172766414700001
ACH-000684,-0.14753965605699998
ACH-000688,-0.395062267016
ACH-000693,-0.20002448095400002
ACH-000694,-0.276845646105
ACH-000695,-0.137029370566
ACH-000696,-0.183654562661
ACH-000697,-0.331257732737
ACH-000699,-0.23467485189800003
ACH-000701,-0.18636061220699998
ACH-000706,-0.17298694191
ACH-000711,-0.25205281425000003
ACH-000713,-0.0567346159473
ACH-000714,-0.19598753832199997
ACH-000718,0.006806467214020001
ACH-000720,-0.280088948125
ACH-000721,-0.233983808153
ACH-000724,-0.186839304023
ACH-000725,-0.24912826579999997
ACH-000732,-0.576031012263
ACH-000734,-0.264926887974
ACH-000735,-0.123304309912
ACH-000736,-0.18422451960499997
ACH-000738,-0.45366996850900004
ACH-000746,-0.237997256954
ACH-000747,-0.29487243788899997
ACH-000748,-0.224911419054
ACH-000753,-0.177865883592
ACH-000756,-0.45664080897299997
ACH-000757,-0.16849536898200002
ACH-000758,-0.23722010788800002
ACH-000760,-0.38422125689000003
ACH-000763,-0.150480701992
ACH-000764,-0.42181273912100004
ACH-000765,-0.0891608625685
ACH-000766,-0.187117040933
ACH-000767,-0.314382535041
ACH-000768,-0.204092442201
ACH-000769,-0.196269556848
ACH-000770,-0.13073746746200002
ACH-000771,-0.34593035868
ACH-000773,-0.2109465152
ACH-000776,-0.373434941056
ACH-000777,-0.532793933598
ACH-000778,-0.232604564939
ACH-000781,-0.177112072206
ACH-000782,-0.379066410967
ACH-000783,-0.20518460868500002
ACH-000784,-0.139287855391
ACH-000785,-0.0840119512339
ACH-000787,-0.2199551983
ACH-000788,-0.248925513446
ACH-000791,-0.103383208423
ACH-000792,-0.125556431596
ACH-000794,-0.350819562903
ACH-000796,-0.14858310760600002
ACH-000799,-0.20991331684599998
ACH-000800,-0.151322883283
ACH-000802,-0.37867833208499996
ACH-000804,-0.191245300066
ACH-000805,-0.041247306259
ACH-000809,-0.355911210375
ACH-000810,-0.09089562142419999
ACH-000811,-0.0175035916747
ACH-000817,-0.318272054708
ACH-000819,-0.255002226264
ACH-000820,-0.28608191616900003
ACH-000821,-0.434190419129
ACH-000822,-0.17223189874400002
ACH-000823,-0.212744566615
ACH-000824,-0.379741689797
ACH-000827,-0.24035432751
ACH-000829,-0.12247529315300001
ACH-000831,-0.319141867555
ACH-000832,-0.242072193511
ACH-000833,-0.549529032474
ACH-000834,-0.222251928268
ACH-000835,-0.20197200433600002
ACH-000836,0.0356083438109
ACH-000837,-0.153303293086
ACH-000838,-0.291230026014
ACH-000839,-0.17290737240600002
ACH-000840,-0.338887889604
ACH-000841,-0.14308513612600002
ACH-000843,-0.09692856802689999
ACH-000846,-0.5845323432
ACH-000847,-0.431889857554
ACH-000848,-0.09242052390760001
ACH-000849,-0.282447146273
ACH-000851,-0.269107801401
ACH-000855,-0.259456139562
ACH-000856,-0.260453800197
ACH-000858,-0.16920284682300002
ACH-000859,-0.318268613116
ACH-000861,-0.35730181884900003
ACH-000862,-0.027149409061
ACH-000865,-0.211224773406
ACH-000866,-0.245539685534
ACH-000867,-0.16801152397799998
ACH-000869,-0.194043189014
ACH-000872,-0.266095936648
ACH-000873,-0.229231171719
