,GRWD1 (83743)
ACH-000004,-0.877805718283
ACH-000007,-1.23829165718
ACH-000009,-0.999931610865
ACH-000011,-1.0707273839799998
ACH-000012,-0.938473849988
ACH-000013,-1.4271198451499998
ACH-000014,-0.8437367868060001
ACH-000015,-1.26090536841
ACH-000017,-1.02044390267
ACH-000018,-1.19694831338
ACH-000019,-1.22398570679
ACH-000021,-1.04957593943
ACH-000022,-1.06806608
ACH-000025,-1.01735574417
ACH-000028,-1.13546540707
ACH-000030,-0.9491113975159999
ACH-000035,-1.3783031540600001
ACH-000036,-1.00436386634
ACH-000037,-0.8970728451980001
ACH-000039,-1.0479617533399999
ACH-000040,-0.9067020507700001
ACH-000041,-0.9552320656409999
ACH-000042,-1.07342072578
ACH-000045,-0.8319335198019999
ACH-000047,-0.695565581572
ACH-000052,-1.11322344212
ACH-000053,-1.0729960584
ACH-000054,-1.1397795261499999
ACH-000055,-1.24110080385
ACH-000060,-1.10375097472
ACH-000067,-1.08068199528
ACH-000070,-0.567045056496
ACH-000075,-1.2828288843200002
ACH-000078,-1.27246202808
ACH-000082,-0.900270375622
ACH-000085,-1.03586889573
ACH-000086,-0.894409902914
ACH-000087,-0.753028603303
ACH-000092,-1.04710293704
ACH-000095,-1.0510536265100001
ACH-000097,-1.35925064033
ACH-000098,-1.0727477837700001
ACH-000099,-1.21199671274
ACH-000108,-0.939250225882
ACH-000113,-1.1721953196
ACH-000115,-0.977609915899
ACH-000116,-0.792103995184
ACH-000118,-1.1907077986299999
ACH-000120,-1.13852066918
ACH-000123,-1.12530224167
ACH-000127,-1.07079542938
ACH-000128,-0.9763972893389999
ACH-000132,-1.0187795931599999
ACH-000133,-0.957756091107
ACH-000137,-1.29907220666
ACH-000138,-1.2498435562399999
ACH-000142,-0.834983239725
ACH-000143,-1.0103804668
ACH-000146,-1.11250740737
ACH-000148,-0.598992546938
ACH-000150,-1.10697196894
ACH-000152,-1.09752818414
ACH-000153,-1.51536121994
ACH-000159,-1.12102062427
ACH-000160,-1.08224168149
ACH-000163,-1.05749098331
ACH-000167,-1.19593983201
ACH-000168,-0.946069533672
ACH-000169,-0.8518160731350001
ACH-000178,-1.0130813156799998
ACH-000182,-1.0160869772399999
ACH-000183,-1.12791488335
ACH-000188,-1.06229439596
ACH-000189,-1.2657891274200002
ACH-000190,-1.3680050369699999
ACH-000198,-0.929894976553
ACH-000204,-1.09532733119
ACH-000206,-0.7779340891069999
ACH-000207,-1.08098312473
ACH-000211,-0.928255891428
ACH-000215,-0.987313457496
ACH-000221,-0.995612926872
ACH-000222,-0.9093516355429999
ACH-000223,-0.8116516785060001
ACH-000226,-0.977296521254
ACH-000227,-0.574255855397
ACH-000228,-0.9160082258650001
ACH-000231,-0.883586958126
ACH-000232,-0.939543297544
ACH-000233,-0.978807670836
ACH-000234,-0.8786651526010001
ACH-000235,-1.13217990948
ACH-000237,-0.931326254459
ACH-000238,-0.862774287851
ACH-000243,-0.838485261187
ACH-000244,-0.9206382618610001
ACH-000246,-1.12737614341
ACH-000248,-0.958170526255
ACH-000250,-1.0352742312799998
ACH-000251,-1.12885864887
ACH-000253,-1.06412120755
ACH-000255,-1.19813204411
ACH-000256,-1.1886404162
ACH-000257,-0.5564507999930001
ACH-000258,-1.4335674370500002
ACH-000259,-0.8663107998880001
ACH-000260,-1.12900223261
ACH-000261,-0.991511818827
ACH-000262,-1.01410412275
ACH-000263,-0.5268222727449999
ACH-000264,-0.533749172109
ACH-000265,-1.05700277428
ACH-000266,-1.14367438228
ACH-000272,-1.12751142383
ACH-000273,-1.0504803521600001
ACH-000274,-0.988605223611
ACH-000277,-0.9677783431
ACH-000278,-1.0060406047200001
ACH-000279,-0.833135181189
ACH-000280,-1.38170413676
ACH-000281,-0.9214775913330001
ACH-000288,-1.0140206069700002
ACH-000291,-1.09358767504
ACH-000293,-1.01306947989
ACH-000294,-1.10649221181
ACH-000295,-0.871532679714
ACH-000296,-1.02712778189
ACH-000302,-1.0805157788
ACH-000304,-1.0823683101700001
ACH-000307,-1.04252347588
ACH-000308,-1.24851363139
ACH-000310,-0.7730959371799999
ACH-000311,-0.990140469787
ACH-000312,-1.03551904608
ACH-000315,-1.1739095041
ACH-000316,-0.9513660827249999
ACH-000317,-0.8308579884909999
ACH-000318,-0.9888253661480001
ACH-000319,-1.06619000797
ACH-000320,-0.930911055016
ACH-000322,-0.985456958442
ACH-000323,-0.930993860087
ACH-000324,-1.06844817734
ACH-000329,-0.8821316539040001
ACH-000330,-1.1237424223
ACH-000331,-0.980690815924
ACH-000332,-1.31972027162
ACH-000334,-0.8500118913070001
ACH-000335,-0.9959688918440001
ACH-000336,-0.95912407265
ACH-000337,-0.8071565519670001
ACH-000339,-1.02967221003
ACH-000341,-1.195717532
ACH-000348,-0.9205081021349999
ACH-000350,-1.3159949029200002
ACH-000352,-1.1643909885100001
ACH-000356,-1.07062373177
ACH-000361,-0.876099296095
ACH-000362,-1.06153802691
ACH-000363,-0.8580569304889999
ACH-000364,-1.00110052025
ACH-000365,-1.09226292737
ACH-000366,-1.26539572579
ACH-000368,-0.942986166058
ACH-000374,-0.660145743525
ACH-000375,-1.17266893578
ACH-000376,-0.9273623669069999
ACH-000381,-1.16717661613
ACH-000383,-0.921126240572
ACH-000387,-0.775540867441
ACH-000389,-1.0612206339399999
ACH-000390,-0.784399500944
ACH-000393,-0.984082413933
ACH-000395,-1.04768740909
ACH-000397,-1.35924760277
ACH-000401,-0.9909665739929999
ACH-000402,-1.15201776477
ACH-000403,-0.924905467024
ACH-000404,-1.18091910797
