,PEAK1 (79834)
ACH-000004,0.028848029252499997
ACH-000007,0.295163046738
ACH-000009,0.11705357386399999
ACH-000011,0.367604415207
ACH-000012,0.273918193616
ACH-000013,0.242200718862
ACH-000014,0.189423946418
ACH-000015,0.18154710362999998
ACH-000017,0.11961240197300001
ACH-000018,0.380012884032
ACH-000019,0.04821224360259999
ACH-000021,0.414736036563
ACH-000022,0.122824457048
ACH-000025,0.158909887658
ACH-000028,0.30536312698
ACH-000030,0.180632002627
ACH-000035,0.21917994583500003
ACH-000036,0.30283474002599997
ACH-000037,0.193433794768
ACH-000039,0.375808189985
ACH-000040,0.416952892025
ACH-000041,0.209202711135
ACH-000042,0.211229341479
ACH-000045,0.224715736109
ACH-000047,0.145396102234
ACH-000052,0.308894360622
ACH-000053,0.287641045426
ACH-000054,0.321373010911
ACH-000055,0.222636640251
ACH-000060,0.091519414201
ACH-000067,0.136204229834
ACH-000070,0.342233042195
ACH-000075,0.12911543619899998
ACH-000078,0.271460452488
ACH-000082,0.36566168324299997
ACH-000085,0.274148128158
ACH-000086,0.151933188262
ACH-000087,0.187234537144
ACH-000092,0.327742938341
ACH-000095,0.268794007224
ACH-000097,0.123802348362
ACH-000098,0.185805211623
ACH-000099,0.316168618089
ACH-000108,0.313507692916
ACH-000113,0.179131014082
ACH-000115,0.191429346869
ACH-000116,0.287504671508
ACH-000118,0.35797856793000005
ACH-000120,0.39300520921099996
ACH-000123,0.18588775243900002
ACH-000127,0.15356621316400001
ACH-000128,0.22866878609000002
ACH-000132,0.259373597426
ACH-000133,0.29102544715399997
ACH-000137,0.28054730397100003
ACH-000138,0.31122057110199997
ACH-000142,0.208346841091
ACH-000143,0.395032476703
ACH-000146,0.24306573892299999
ACH-000148,0.0838623596981
ACH-000150,0.36140133766599997
ACH-000152,0.180857074266
ACH-000153,0.163912434771
ACH-000159,0.235856483598
ACH-000160,-0.0389554270923
ACH-000163,0.39626263942199996
ACH-000167,0.19577176764
ACH-000168,0.324971883222
ACH-000169,0.175957064996
ACH-000178,0.337605277052
