,ARL10 (285598)
ACH-000004,-0.119612281173
ACH-000007,-0.0295306176499
ACH-000009,-0.36051407084700005
ACH-000011,-0.527008602841
ACH-000012,-0.300503862271
ACH-000013,0.018180371753
ACH-000014,0.007221530751670001
ACH-000015,0.017791906385900003
ACH-000017,-0.0203893142354
ACH-000018,-0.449966710876
ACH-000019,0.09869114426439998
ACH-000021,-0.0268776245811
ACH-000022,-0.127720367909
ACH-000025,0.0016220265323499997
ACH-000028,0.0357371851525
ACH-000030,-0.049277276014999996
ACH-000035,-0.46808382868
ACH-000036,-0.17174558813000002
ACH-000037,-0.08440406479139999
ACH-000039,0.20322874439599997
ACH-000040,-0.256233905966
ACH-000041,0.106399649783
ACH-000042,-0.141684896954
ACH-000045,-0.09608306263969998
ACH-000047,-0.23821263796
ACH-000052,-0.0974120071338
ACH-000053,-0.360979316086
ACH-000054,-0.251950635003
ACH-000055,0.0963586096047
ACH-000060,-0.27297824850499997
ACH-000067,-0.108569073411
ACH-000070,-0.114917101415
ACH-000075,0.00320076098521
ACH-000078,-0.19001281903499997
ACH-000082,0.234031640027
ACH-000085,-0.296693849969
ACH-000086,0.0547040919283
ACH-000087,0.0950820233572
ACH-000092,-0.0533317091689
ACH-000095,-0.00300585390556
ACH-000097,-0.207619199901
ACH-000098,-0.26761297779599996
ACH-000099,-0.0905268021722
ACH-000108,-0.424368208628
ACH-000113,-0.294432648774
ACH-000115,-0.0692829600539
ACH-000116,-0.17077762552
ACH-000118,-0.0120372270541
ACH-000120,-0.20283744369000004
ACH-000123,-0.219335995367
ACH-000127,-0.07310180937630001
ACH-000128,-0.21976443405
ACH-000132,0.0447602105115
ACH-000133,-0.0146960792309
ACH-000137,-0.0180451451752
ACH-000138,-0.18638383144
ACH-000142,-0.244862374414
ACH-000143,-0.007519172416329999
ACH-000146,-0.441944397527
ACH-000148,-0.162733411148
ACH-000150,-0.44666561177
ACH-000152,-0.19049337366799998
ACH-000153,-0.0239788944213
ACH-000159,-0.13790916583499999
ACH-000160,-0.0490354247059
ACH-000163,-0.212439540259
ACH-000167,0.162706036453
ACH-000168,0.117323560736
ACH-000169,-0.071116796259
ACH-000178,-0.017202139407099998
ACH-000182,-0.19885673527800002
ACH-000183,-0.0131714059612
ACH-000188,-0.101574957815
ACH-000189,-0.313978783426
ACH-000190,-0.0170851741882
ACH-000198,-0.0438639486703
ACH-000204,-0.17185738524
ACH-000206,-0.163725963438
ACH-000207,-0.16047253237099998
ACH-000211,-0.154158694354
ACH-000215,-0.0402756473036
ACH-000221,-0.0711494270322
ACH-000222,-0.421463022674
ACH-000223,-0.119424407943
ACH-000226,-0.135573763203
ACH-000227,-0.061252741524599995
ACH-000228,-0.26940862590799997
ACH-000231,-0.006552853027529999
ACH-000232,-0.255866413275
ACH-000233,-0.133241509353
ACH-000234,-0.322195862279
ACH-000235,0.0016302013902599998
ACH-000237,-0.11056904342599999
ACH-000238,-0.350898571493
ACH-000243,-0.047256556800100005
ACH-000244,-0.175501857051
ACH-000246,-0.0051947872195200005
ACH-000248,0.0172909472237
ACH-000250,-0.09029352767210001
ACH-000251,-0.0858038359499
ACH-000253,-0.119959221087
ACH-000255,0.0605376391129
