,AKR7A3 (22977)
ACH-000004,-0.568429064558
ACH-000007,-0.16676783757400002
ACH-000009,-0.551832494838
ACH-000011,-0.406824133504
ACH-000012,-0.459625198066
ACH-000013,-0.294678648901
ACH-000014,-0.6302665963849999
ACH-000015,-0.387734667451
ACH-000017,-0.532142214364
ACH-000018,-0.596827971054
ACH-000019,-0.264131424402
ACH-000021,-0.245717423646
ACH-000022,-0.325827082436
ACH-000025,-0.447745838266
ACH-000028,-0.476196437584
ACH-000030,-0.471487086214
ACH-000035,-0.646084858362
ACH-000036,-0.224797230301
ACH-000037,-0.585375994214
ACH-000039,-0.548308891898
ACH-000040,-0.47852154062700003
ACH-000041,-0.434777446685
ACH-000042,-0.26603689911600004
ACH-000045,-0.470455998735
ACH-000047,-0.29072327558899996
ACH-000052,-0.43884526574199995
ACH-000053,-0.341804897329
ACH-000054,-0.39531428235
ACH-000055,-0.506455401014
ACH-000060,-0.38722004154600004
ACH-000067,-0.572383128855
ACH-000070,-0.24617725481
ACH-000075,-0.309233304023
ACH-000078,-0.539177701413
ACH-000082,-0.373993122979
ACH-000085,-0.374200962941
ACH-000086,-0.40534831509499997
ACH-000087,-0.25665191905
ACH-000092,-0.515268253309
ACH-000095,-0.41141617128200003
ACH-000097,-0.367201375797
ACH-000098,-0.568476018132
ACH-000099,-0.45412082081
ACH-000108,-0.40052094499700003
ACH-000113,-0.303355659962
ACH-000115,-0.38042071852700005
ACH-000116,-0.26683556301399997
ACH-000118,-0.324471517064
ACH-000120,-0.21695508025600002
ACH-000123,-0.369085094921
ACH-000127,-0.415171953809
ACH-000128,-0.42720772071199997
ACH-000132,-0.11552263344000001
ACH-000133,-0.272320521706
ACH-000137,-0.251152744768
ACH-000138,-0.097717028462
ACH-000142,-0.477471171144
ACH-000143,-0.266495206888
ACH-000146,-0.266889374565
ACH-000148,-0.385533994918
ACH-000150,-0.496848962275
ACH-000152,-0.669429693356
ACH-000153,-0.368788536108
ACH-000159,-0.383410755202
ACH-000160,-0.38293306776999997
ACH-000163,-0.518911559708
ACH-000167,-0.32905403621199997
ACH-000168,-0.492252873523
ACH-000169,-0.491040358616
ACH-000178,-0.27851275202799997
ACH-000182,-0.321980255167
ACH-000183,-0.393884229727
ACH-000188,-0.547500195726
ACH-000189,-0.33653352096600003
ACH-000190,-0.26840076114
ACH-000198,-0.404826075282
ACH-000204,-0.280385556842
ACH-000206,-0.45849294097800003
ACH-000207,-0.33584417355400004
ACH-000211,-0.27043608432599997
ACH-000215,-0.417043657789
ACH-000221,-0.318349238955
ACH-000222,-0.370795128
ACH-000223,-0.5939252579100001
ACH-000226,-0.297114548476
ACH-000227,-0.495370682578
ACH-000228,-0.36897681922700004
ACH-000231,-0.45815863350100006
ACH-000232,-0.38859180184799996
ACH-000233,-0.133575608796
ACH-000234,-0.5086790864090001
ACH-000235,-0.348905094186
ACH-000237,-0.529732649463
ACH-000238,-0.437712472992
ACH-000243,-0.235217089624
ACH-000244,-0.337284411449
ACH-000246,-0.433782099118
ACH-000248,-0.42883270263400003
ACH-000250,-0.283432940513
ACH-000251,-0.272993569769
ACH-000253,-0.375900899509
ACH-000255,-0.400219949079
ACH-000256,-0.360827437523
ACH-000257,-0.0778098806938
ACH-000258,-0.263330209236
ACH-000259,-0.37062508030100005
ACH-000260,-0.48463519242499997
ACH-000261,-0.28689474893100003
ACH-000262,-0.521325165227
ACH-000263,-0.554253885609
ACH-000264,-0.427453516135
ACH-000265,-0.321726286155
ACH-000266,-0.277087867793
ACH-000272,-0.519516737744
ACH-000273,-0.379296070171
ACH-000274,-0.491506066825
ACH-000277,-0.16087741045
ACH-000278,-0.587280678029
ACH-000279,-0.356189650455
ACH-000280,-0.45711018929499997
ACH-000281,-0.19022334227
ACH-000288,-0.374917850812
ACH-000291,-0.38680493641
ACH-000293,-0.40094608397200004
ACH-000294,-0.253228065985
ACH-000295,-0.00121234436499
ACH-000296,-0.456819087891
ACH-000302,-0.37687193001100006
ACH-000304,-0.6855222395530001
ACH-000307,-0.32006622612
ACH-000308,-0.263022167865
ACH-000310,-0.560424277848
ACH-000311,-0.331466634814
ACH-000312,-0.340970382893
ACH-000315,-0.18089643732299998
ACH-000316,-0.355842762114
ACH-000317,-0.5400922936020001
ACH-000318,-0.444292748635
ACH-000319,-0.311259153544
ACH-000320,-0.371694081427
ACH-000322,-0.27223539947299996
ACH-000323,-0.557701068402
ACH-000324,-0.546786968086
ACH-000329,-0.27721310035999996
ACH-000330,-0.472104465576
ACH-000331,-0.451130902104
ACH-000332,-0.214831530381
ACH-000334,-0.637071635352
ACH-000335,-0.7062268965299999
ACH-000336,-0.6266896011850001
ACH-000337,-0.379800400048
ACH-000339,-0.374276802538
ACH-000341,-0.6300538681310001
ACH-000348,-0.403412731854
ACH-000350,-0.343303134551
ACH-000352,-0.28696497600000004
ACH-000356,-0.320390032316
ACH-000361,-0.538754217185
ACH-000362,-0.32862996825
ACH-000363,-0.283704823437
ACH-000364,-0.390702193686
ACH-000365,-0.327099380088
ACH-000366,-0.47022021891599997
ACH-000368,-0.508962769564
ACH-000374,-0.365306404877
ACH-000375,-0.299830566902
ACH-000376,-0.456513298528
ACH-000381,-0.424161845374
ACH-000383,-0.37304251391000004
ACH-000387,-0.335979922187
ACH-000389,-0.391724756817
ACH-000390,-0.277557224499
ACH-000393,-0.416269236984
ACH-000395,-0.613092308114
ACH-000397,-0.340227871182
ACH-000401,-0.277943245954
ACH-000402,-0.233448163001
ACH-000403,-0.148649283941
ACH-000404,-0.261289502006
ACH-000406,-0.268478160415
ACH-000407,-0.42597009131700003
ACH-000408,-0.399979244959
ACH-000410,-0.299476507048
ACH-000411,-0.43763506911899996
ACH-000414,-0.310431006385
ACH-000415,-0.386490268663
ACH-000416,-0.557700443882
ACH-000420,-0.32163056971299997
ACH-000421,-0.213587933299
ACH-000424,-0.48424508044
ACH-000425,-0.50870057665
ACH-000426,-0.253256757065
ACH-000427,-0.47473026954899994
ACH-000433,-0.407651299979
ACH-000436,-0.28554983126600003
ACH-000444,-0.21051464200800002
ACH-000445,-0.35954990439900003
ACH-000448,-0.492464312169
ACH-000450,-0.42664699707599996
ACH-000452,-0.304108914558
ACH-000454,-0.5586528035530001
ACH-000458,-0.462254612341
ACH-000459,-0.24685119996100002
ACH-000460,-0.48944806374899996
ACH-000461,-0.503058674846
ACH-000463,-0.469343010797
ACH-000464,-0.593000278768
ACH-000466,-0.559054578355
ACH-000467,-0.268242471309
ACH-000468,-0.35417262399800004
ACH-000469,-0.531367441237
ACH-000470,-0.0136526075911
ACH-000471,-0.382601870782
ACH-000472,-0.32630130317
ACH-000473,-0.380402456666
ACH-000475,-0.35717811385
ACH-000476,-0.447156607734
ACH-000477,-0.8026429049480001
ACH-000480,-0.349247381031
ACH-000481,-0.479041176984
ACH-000483,-0.595501524811
ACH-000484,-0.211919529496
ACH-000485,-0.305820934173
ACH-000486,-0.605406404274
ACH-000487,-0.49856295086900004
ACH-000488,-0.31734719877399997
ACH-000490,-0.19711359085900002
ACH-000491,-0.531113847123
ACH-000495,-0.529612700599
ACH-000496,-0.600879114745
ACH-000499,-0.302271408999
ACH-000500,-0.10607708543700001
ACH-000502,-0.378456091755
ACH-000503,-0.490531505078
ACH-000505,-0.444578234977
ACH-000507,-0.431807386016
ACH-000510,-0.23046312886599998
ACH-000511,-0.48968950373099995
ACH-000512,-0.575231061381
ACH-000516,-0.33082434919799997
ACH-000517,-0.407668258977
ACH-000518,-0.31497719818500003
ACH-000520,-0.38517043983800003
ACH-000521,-0.411644634501
ACH-000522,-0.533855175842
ACH-000524,-0.43736112582
ACH-000527,-0.24103927749499998
ACH-000528,-0.26862091607599997
ACH-000537,-0.28221472436
ACH-000541,-0.563210518826
ACH-000542,-0.39311924591700004
ACH-000544,-0.44542889853699996
ACH-000545,-0.317441478992
ACH-000547,-0.631243189029
ACH-000548,-0.167800972271
ACH-000549,-0.334396106358
ACH-000550,-0.300456238068
ACH-000552,-0.28967254858
ACH-000556,-0.375845851289
ACH-000557,-0.23513695319699998
ACH-000570,-0.437023354175
ACH-000571,-0.413387746646
ACH-000573,-0.418899096202
ACH-000576,-0.453475672179
ACH-000580,-0.455381440898
ACH-000584,-0.364551377483
ACH-000585,-0.439162389454
ACH-000588,-0.38031822428400003
ACH-000589,-0.383806586641
ACH-000591,-0.5977859554339999
ACH-000593,-0.530951754468
ACH-000600,-0.606149865743
ACH-000601,-0.321959184632
ACH-000604,-0.0787078759363
ACH-000605,-0.472294921718
ACH-000606,-0.293560250006
ACH-000608,-0.260538570177
ACH-000614,-0.40004462149899994
ACH-000616,-0.286174977639
ACH-000618,-0.33620627270400005
ACH-000619,-0.597395099827
ACH-000620,-0.311259266315
ACH-000621,-0.373136092839
ACH-000622,-0.612115226765
ACH-000623,-0.395604328565
ACH-000624,-0.361001313996
ACH-000627,-0.614503190125
ACH-000630,-0.299194927412
ACH-000632,-0.46370045911700003
ACH-000633,-0.258478323803
ACH-000637,-0.4422734268
ACH-000638,-0.418355142642
ACH-000646,-0.220821827534
ACH-000647,-0.22763629761
ACH-000648,-0.44763228185599996
ACH-000649,-0.471439059043
ACH-000651,-0.26286400667800003
ACH-000652,-0.247433964807
ACH-000653,-0.379881075435
ACH-000657,-0.312195968398
ACH-000658,-0.214445420822
ACH-000661,-0.237201340372
ACH-000662,-0.7992574269580001
ACH-000663,-0.307571026426
ACH-000665,-0.417136672232
ACH-000671,-0.425786607752
ACH-000673,-0.402956319666
ACH-000676,-0.458562769426
ACH-000677,-0.329184637301
ACH-000681,-0.25706814989
ACH-000682,-0.43552946296899997
ACH-000683,-0.35653347232
ACH-000684,-0.403772027996
ACH-000688,-0.390483016616
ACH-000693,-0.268375913563
ACH-000694,-0.26221067154
ACH-000695,-0.322262468175
ACH-000696,-0.384808796583
ACH-000697,-0.6266255035980001
ACH-000699,-0.451354981699
ACH-000701,0.0186966470815
ACH-000706,-0.445801984008
ACH-000711,-0.320766571862
ACH-000713,-0.534537611159
ACH-000714,-0.44601550343999996
ACH-000718,-0.41669110967
ACH-000720,-0.517157106844
ACH-000721,-0.516218021047
ACH-000724,-0.39035480408900003
ACH-000725,-0.647308316623
ACH-000732,-0.281188766529
ACH-000734,-0.485206351362
ACH-000735,-0.472290048791
ACH-000736,-0.283955751175
ACH-000738,-0.278735941883
ACH-000746,-0.24472503117199998
ACH-000747,-0.39882928460999995
ACH-000748,-0.319063202781
ACH-000753,-0.342132754992
ACH-000756,-0.389016483342
ACH-000757,-0.417700784274
ACH-000758,-0.437045994328
ACH-000760,-0.287396432354
ACH-000763,-0.12342343931600001
ACH-000764,-0.21184715266100002
ACH-000765,-0.48309614097599995
ACH-000766,-0.38785889713699995
ACH-000767,-0.332204963636
ACH-000768,-0.340032927811
ACH-000769,-0.508968437524
ACH-000770,-0.4151124029
ACH-000771,-0.277693616501
ACH-000773,-0.225123098847
ACH-000776,-0.6604149042040001
ACH-000777,-0.303118914745
ACH-000778,-0.441115613301
ACH-000781,-0.234927757137
ACH-000782,-0.489242775058
ACH-000783,-0.414713326206
ACH-000784,-0.47189434906800004
ACH-000785,-0.260449889374
ACH-000787,-0.573560514821
ACH-000788,-0.309822151728
ACH-000791,-0.293461725096
ACH-000792,-0.42025658434
ACH-000794,-0.497362469605
ACH-000796,-0.230489252296
ACH-000799,-0.230950158589
ACH-000800,-0.42364468127099997
ACH-000802,-0.386534448665
ACH-000804,-0.663937085152
ACH-000805,-0.33625135031400005
ACH-000809,-0.229113184298
ACH-000810,-0.420374147913
ACH-000811,-0.46876039551299997
ACH-000817,-0.38341544737800004
ACH-000819,-0.303538431369
ACH-000820,-0.11537968752000001
ACH-000821,-0.34847031549900004
ACH-000822,-0.261616812139
ACH-000823,-0.25996945789799997
ACH-000824,-0.250127619492
ACH-000827,-0.421091278864
ACH-000829,-0.45748405877
ACH-000831,-0.630561215821
ACH-000832,-0.449291817686
ACH-000833,-0.529486146215
ACH-000834,-0.41188147017899995
ACH-000835,-0.452913597575
ACH-000836,-0.340506975573
ACH-000837,-0.35321058391099996
ACH-000838,-0.304588166113
ACH-000839,-0.364802863003
ACH-000840,-0.32275863093199997
ACH-000841,-0.6834025614929999
ACH-000843,-0.196879056094
ACH-000846,-0.705104789708
ACH-000847,-0.452068297008
ACH-000848,-0.20693235309
ACH-000849,-0.494226077114
ACH-000851,-0.582068059406
ACH-000855,-0.127232973221
ACH-000856,-0.473408370005
ACH-000858,-0.296746099383
ACH-000859,-0.670998634885
ACH-000861,-0.37763854377800005
ACH-000862,-0.33987720272200006
ACH-000865,-0.25339033858000004
ACH-000866,-0.38637242433200003
ACH-000867,-0.424418537271
ACH-000869,-0.164977542132
ACH-000872,-0.532882947031
ACH-000873,-0.482845084762
ACH-000876,-0.39412052200099995
ACH-000878,-0.136896902838
ACH-000880,-0.333552230794
ACH-000881,-0.407385229998
ACH-000882,-0.504149643793
ACH-000884,-0.254014312494
ACH-000885,-0.44559810812899997
ACH-000887,-0.38788365309600004
ACH-000888,-0.44925032357699995
ACH-000889,-0.29151136192899996
ACH-000890,-0.198942678561
ACH-000896,-0.48641612504500004
ACH-000898,-0.272984671733
ACH-000900,-0.42906004683399995
ACH-000901,-0.417590498414
ACH-000905,-0.34922094351300004
ACH-000906,-0.35026541403000006
ACH-000907,-0.41028129470700003
ACH-000910,-0.310448259351
ACH-000911,-0.54280708643
ACH-000912,-0.288912618007
ACH-000913,-0.426123905296
ACH-000915,-0.34793778317100005
ACH-000916,-0.1396684076
ACH-000917,-0.25498373582
ACH-000921,-0.620267959757
ACH-000924,-0.31138525024700003
ACH-000926,-0.356354593815
ACH-000928,-0.0982713303383
ACH-000929,-0.361293819106
ACH-000932,-0.16694307015
ACH-000935,-0.241293701034
ACH-000936,-0.578281937481
ACH-000937,-0.5228945223899999
ACH-000938,-0.44546379630500005
ACH-000939,-0.418166954754
