,HIF1AN (55662)
ACH-000004,-0.234039394171
ACH-000007,-0.254021397445
ACH-000009,-0.052646916859099994
ACH-000011,-0.157962570577
ACH-000012,-0.32735232741799997
ACH-000013,-0.390961399376
ACH-000014,-0.527434254877
ACH-000015,-0.25347419138099997
ACH-000017,-0.166533971986
ACH-000018,-0.30336695415
ACH-000019,0.054522673229499996
ACH-000021,-0.0672643753001
ACH-000022,-0.182444049009
ACH-000025,-0.548199450372
ACH-000028,-0.141343535051
ACH-000030,-0.317801798431
ACH-000035,-0.255189204528
ACH-000036,-0.42156762892300004
ACH-000037,-0.573520507368
ACH-000039,-0.26070737964
ACH-000040,-0.37476499312399997
ACH-000041,-0.593848972955
ACH-000042,-0.196150147422
ACH-000045,-0.0952613045636
ACH-000047,-0.11511932314000001
ACH-000052,0.07418083519289999
ACH-000053,-0.44759223965800005
ACH-000054,-0.17284915654199998
ACH-000055,-0.221865870438
ACH-000060,-0.28330225681800003
ACH-000067,-0.120123983416
ACH-000070,-0.426532840523
ACH-000075,-0.45149202515000003
ACH-000078,-0.286926841659
ACH-000082,-0.378808464586
ACH-000085,-0.274971818772
ACH-000086,-0.441905977958
ACH-000087,-0.020318252797400002
ACH-000092,-0.121309868872
ACH-000095,-0.716804514936
ACH-000097,-0.30012313510099997
ACH-000098,-0.38054489551700005
ACH-000099,-0.298690968221
ACH-000108,-0.336065181591
ACH-000113,-0.408697738636
ACH-000115,-0.210604832425
ACH-000116,-0.221949085053
ACH-000118,-0.09705463759680001
ACH-000120,-0.19647591135
ACH-000123,-0.160479837958
ACH-000127,-0.366354215784
ACH-000128,-0.21994226997299998
ACH-000132,-0.217997479747
ACH-000133,-0.098792048116
ACH-000137,-0.10698531469599999
ACH-000138,-0.24924476223900002
ACH-000142,-0.141308201556
ACH-000143,-0.19047253271499998
ACH-000146,-0.22864893802499997
ACH-000148,-0.223258430141
ACH-000150,-0.156856017352
ACH-000152,-0.170886496758
ACH-000153,-0.0709350463907
ACH-000159,-0.4756814427
ACH-000160,0.205826769602
ACH-000163,-0.353417031284
ACH-000167,-0.0506103272054
ACH-000168,-0.49267171126599996
ACH-000169,-0.25078618904
ACH-000178,-0.08687956422260001
ACH-000182,-0.167834305757
ACH-000183,-0.577141344933
ACH-000188,-0.150079085839
ACH-000189,-0.7552042739370001
ACH-000190,-0.092580869276
ACH-000198,-0.7084536452850001
ACH-000204,-0.558531455053
ACH-000206,-0.363970831821
ACH-000207,-0.415576395877
ACH-000211,-0.21881205179699997
ACH-000215,-0.146875538657
ACH-000221,-0.13008567199999999
ACH-000222,-0.119676412291
ACH-000223,-0.219897737425
ACH-000226,-0.382236570318
ACH-000227,-0.129207743161
ACH-000228,-0.08743985698439999
ACH-000231,-0.464567179802
ACH-000232,-0.140794884249
ACH-000233,-0.356716205253
ACH-000234,-0.338349647339
ACH-000235,-0.295288275687
ACH-000237,-0.300108825588
ACH-000238,-0.313539710082
ACH-000243,-0.12021793545800001
ACH-000244,-0.06436614995090001
ACH-000246,-0.6394142906310001
ACH-000248,-0.11660021488500001
ACH-000250,-0.162468780728
ACH-000251,-0.0690932354896
ACH-000253,-0.0392981755169
ACH-000255,-0.510379544472
ACH-000256,-0.304324854788
ACH-000257,-0.218296938459
ACH-000258,-0.477696926998
ACH-000259,-0.22432789499699998
ACH-000260,-0.350626136486
ACH-000261,-0.246533077444
ACH-000262,-0.109995160924
ACH-000263,-0.682330725447
ACH-000264,-0.273065311162
ACH-000265,-0.30336725332
ACH-000266,-0.126604202424
ACH-000272,-0.175790280898
ACH-000273,-0.32423509199
ACH-000274,-0.0446636042921
ACH-000277,-0.150941271382
ACH-000278,-0.29730003138
ACH-000279,-0.31409061267
ACH-000280,-0.0670947138035
ACH-000281,-0.13781066718499999
ACH-000288,-0.19379951164099998
ACH-000291,-0.225829566153
ACH-000293,-0.238354782151
ACH-000294,0.37329564688699995
ACH-000295,-0.280099074831
ACH-000296,-0.20563659787500002
ACH-000302,-0.286559890494
ACH-000304,-0.27404700666
ACH-000307,-0.448760435212
ACH-000308,-0.205402459703
ACH-000310,-0.31889365627300004
ACH-000311,-0.388212220101
ACH-000312,-0.501791887727
ACH-000315,-0.619163482534
ACH-000316,-0.478766380129
ACH-000317,-0.31696762956700003
ACH-000318,0.108472934985
ACH-000319,-0.119979321233
ACH-000320,-0.167270145023
ACH-000322,-0.186760605629
ACH-000323,-0.292220712232
ACH-000324,-0.298551179384
ACH-000329,-0.47783747826300005
ACH-000330,-0.0569810483878
ACH-000331,-0.185584350514
ACH-000332,-0.213771728205
ACH-000334,-0.6853044803049999
ACH-000335,-0.229538416162
ACH-000336,-0.30346564701699996
ACH-000337,-0.5375877825800001
ACH-000339,-0.43289944966300004
ACH-000341,-0.182594897197
ACH-000348,-0.13937452852600002
ACH-000350,-0.23734013631700002
ACH-000352,-0.230515616695
ACH-000356,-0.5160727929950001
ACH-000361,-0.41042877136100003
ACH-000362,-0.23805442617800002
ACH-000363,-0.0598483766779
ACH-000364,-0.345741321867
ACH-000365,-0.331414380482
ACH-000366,-0.310299249027
ACH-000368,-0.205632983558
ACH-000374,-0.0511874060103
ACH-000375,0.0302433669869
ACH-000376,-0.12859157877
ACH-000381,-0.0677470280131
ACH-000383,-0.440187559767
ACH-000387,-0.0637116080104
ACH-000389,-0.326117061217
ACH-000390,-0.377432731858
ACH-000393,-0.25708971426399996
ACH-000395,-0.53730263552
ACH-000397,-0.254511215733
ACH-000401,-0.288786436757
ACH-000402,-0.387690049426
ACH-000403,-0.231832167116
ACH-000404,-0.0332063382273
ACH-000406,-0.462042728506
ACH-000407,-0.404699902161
ACH-000408,-0.382050852214
ACH-000410,-0.18870732527800002
ACH-000411,-0.266795245383
ACH-000414,-0.14293027582
ACH-000415,-0.417575704102
ACH-000416,-0.214041265907
ACH-000420,-0.197276999524
ACH-000421,-0.185229498757
ACH-000424,-0.298885123659
ACH-000425,-0.791058115484
ACH-000426,-0.011223633886299999
ACH-000427,0.0179860915874
ACH-000433,-0.428308146053
ACH-000436,-0.5441878277300001
ACH-000444,-0.216075607833
ACH-000445,-0.22558281325100002
ACH-000448,-0.0838236226248
ACH-000450,0.0032663619054799998
ACH-000452,-0.283083257437
ACH-000454,-0.40766732597499994
ACH-000458,-0.221033282045
ACH-000459,-0.41351799559
ACH-000460,-0.530971377516
ACH-000461,-0.168512831054
ACH-000463,-0.167359602609
ACH-000464,-0.166374259979
ACH-000466,-0.330498249186
ACH-000467,-0.164323356931
ACH-000468,-0.244729155689
ACH-000469,-0.239710205321
ACH-000470,-0.08732554752319999
ACH-000471,-0.0745645063661
ACH-000472,-0.260970979594
ACH-000473,-0.0349110761131
ACH-000475,-0.245049237252
ACH-000476,-0.469841286699
ACH-000477,-0.0750643457223
ACH-000480,-0.395697143164
ACH-000481,-0.31696323970199997
ACH-000483,-0.5574157046980001
ACH-000484,-0.483392425427
ACH-000485,-0.382868317856
ACH-000486,-0.488963916254
ACH-000487,-0.473159181877
ACH-000488,-0.25270859177
ACH-000490,-0.21431567065
ACH-000491,-0.389127715986
ACH-000495,-0.39287078720799995
ACH-000496,-0.300681037855
ACH-000499,-0.328578756048
ACH-000500,-0.321914663243
ACH-000502,-0.153777981246
ACH-000503,-0.240763918726
ACH-000505,-0.197662126179
