,CDIPT (10423)
ACH-000004,-1.24385348502
ACH-000007,-1.51772131026
ACH-000009,-1.15407825592
ACH-000011,-1.06051047763
ACH-000012,-1.21865754375
ACH-000013,-1.45524900294
ACH-000014,-1.2246072689799998
ACH-000015,-1.34903482421
ACH-000017,-1.05334256844
ACH-000018,-1.18390181093
ACH-000019,-0.7866030578030001
ACH-000021,-1.3099657126
ACH-000022,-1.09885935661
ACH-000025,-1.20859091825
ACH-000028,-1.04132553675
ACH-000030,-1.1698044487600001
ACH-000035,-1.09605782561
ACH-000036,-1.03874257652
ACH-000037,-1.9135916581299999
ACH-000039,-1.1204778710299999
ACH-000040,-1.1675555709299998
ACH-000041,-1.15350911003
ACH-000042,-1.10240764412
ACH-000045,-0.958647624956
ACH-000047,-0.920191340442
ACH-000052,-1.1086547721
ACH-000053,-0.18735763436099998
ACH-000054,-1.1185588316500001
ACH-000055,-1.2678736934100001
ACH-000060,-1.2304859206999998
ACH-000067,-1.51849687013
ACH-000070,-1.1661326285
ACH-000075,-0.882868135874
ACH-000078,-1.3518335226499998
ACH-000082,-1.1674127622200001
ACH-000085,-0.944383512596
ACH-000086,-1.19218346624
ACH-000087,-0.951305356723
ACH-000092,-0.5716726929779999
ACH-000095,-1.19334243088
ACH-000097,-0.822366249974
ACH-000098,-1.4014138918
ACH-000099,-1.27930746991
ACH-000108,-0.44875631825400003
ACH-000113,-0.925016248059
ACH-000115,-0.941517017626
ACH-000116,-1.07758587483
ACH-000118,-0.902770640951
ACH-000120,-1.25241131485
ACH-000123,-0.966793675658
ACH-000127,-0.980792862976
ACH-000128,-0.9921067915780001
ACH-000132,-1.42002135273
ACH-000133,-1.04391886564
ACH-000137,-1.25343537784
ACH-000138,-1.1107047459200001
ACH-000142,-1.2855069176
ACH-000143,-1.18716450191
ACH-000146,-0.835794313041
ACH-000148,-1.27201182039
ACH-000150,-1.4362842083399998
ACH-000152,-0.9974490525990001
ACH-000153,-1.27338500485
ACH-000159,-0.6781083103100001
ACH-000160,-1.19950374248
ACH-000163,-1.30568274358
ACH-000167,-1.2442887546899999
ACH-000168,-1.04578511528
ACH-000169,-1.12388972733
ACH-000178,-1.05587454777
ACH-000182,-0.540233360281
ACH-000183,-1.0373088638899999
ACH-000188,-1.10305358169
ACH-000189,-1.19383547954
ACH-000190,-1.28689107175
ACH-000198,-1.0349368611299998
ACH-000204,-0.873582879857
ACH-000206,-0.898333444638
ACH-000207,-1.02110627124
ACH-000211,-1.2804563686200001
ACH-000215,-1.4014530559
ACH-000221,-1.15517518691
ACH-000222,-1.1342811034
ACH-000223,-0.639644160044
ACH-000226,-1.03625740238
ACH-000227,-1.18489681449
ACH-000228,-0.72107508091
ACH-000231,-1.234761773
ACH-000232,-1.34193101935
ACH-000233,-1.04638000627
ACH-000234,-0.751001475854
ACH-000235,-1.00967376191
ACH-000237,-1.2042986758299998
ACH-000238,-0.999045840256
ACH-000243,-1.1006842184
ACH-000244,-1.63033036151
ACH-000246,-0.952858957776
ACH-000248,-1.16870239543
ACH-000250,-1.2094581621
ACH-000251,-1.02067697396
ACH-000253,-0.7741195214319999
ACH-000255,-1.26949741981
ACH-000256,-0.977854290827
ACH-000257,-1.39209396343
ACH-000258,-1.14782458081
ACH-000259,-0.955597304698
ACH-000260,-1.12049814582
ACH-000261,-1.50926623097
ACH-000262,-1.1647136283700001
ACH-000263,-1.2694010386799999
ACH-000264,-0.640978763281
ACH-000265,-1.27205139814
ACH-000266,-1.1638627827799999
ACH-000272,-1.02580958017
ACH-000273,-1.39094918969
ACH-000274,-0.650917592936
ACH-000277,-1.44952886006
ACH-000278,-1.00572069892
ACH-000279,-1.2029484032200002
ACH-000280,-1.25759718866
ACH-000281,-1.1873858825299999
ACH-000288,-1.40556544931
