,THEMIS2 (9473)
ACH-000004,-0.194558416553
ACH-000007,-0.093819801229
ACH-000009,-0.16104372464199998
ACH-000011,-0.0457799209418
ACH-000012,-0.17259436088100003
ACH-000013,-0.19636550768
ACH-000014,0.0335845502228
ACH-000015,-0.0295276414051
ACH-000017,-0.240530515593
ACH-000018,-0.220469058399
ACH-000019,-0.16270469978
ACH-000021,-0.192863157357
ACH-000022,-0.231441478236
ACH-000025,-0.0675318936242
ACH-000028,-0.0604536396464
ACH-000030,-0.148415194586
ACH-000035,-0.216435726842
ACH-000036,-0.0805071156591
ACH-000037,0.08900070763360002
ACH-000039,-0.207973099971
ACH-000040,-0.202729815253
ACH-000041,-0.255350887302
ACH-000042,-0.22457076272799997
ACH-000045,-0.0360379357079
ACH-000047,-0.10975602765499999
ACH-000052,-0.255634885941
ACH-000053,-0.297612525327
ACH-000054,-0.259312530635
ACH-000055,-0.42797806358499996
ACH-000060,-0.278622439623
ACH-000067,-0.47914843545900004
ACH-000070,-0.042378052484400006
ACH-000075,0.11854467708
ACH-000078,0.0376959960986
ACH-000082,-0.256332458145
ACH-000085,-0.329919254694
ACH-000086,-0.11076941751700001
ACH-000087,-0.156765913595
ACH-000092,-0.298971986096
ACH-000095,-0.16878880289999998
ACH-000097,-0.0649869748498
ACH-000098,-0.109816918121
ACH-000099,-0.126093324831
ACH-000108,0.0264390596179
ACH-000113,-0.24041738059700002
ACH-000115,-0.238007587954
ACH-000116,-0.170098542607
ACH-000118,-0.135735822911
ACH-000120,-0.187183826504
ACH-000123,-0.100882656361
ACH-000127,-0.183157277288
ACH-000128,-0.653127521167
ACH-000132,-0.061778745674800004
ACH-000133,-0.212642985936
ACH-000137,-0.317926453491
ACH-000138,-0.191687420519
ACH-000142,-0.324842871199
ACH-000143,-0.22815781381499997
ACH-000146,-0.109516014182
ACH-000148,-0.0954442402124
ACH-000150,-0.45721586542
ACH-000152,-0.155793828337
ACH-000153,0.124744725478
ACH-000159,-0.18201327625
ACH-000160,-0.227834939367
ACH-000163,0.10584496903799999
ACH-000167,-0.0628582012078
ACH-000168,-0.11963866317399999
ACH-000169,-0.295153154169
ACH-000178,-0.04304029714919999
ACH-000182,-0.183354124944
ACH-000183,-0.0457360329759
ACH-000188,-0.398876412966
ACH-000189,0.256986006332
ACH-000190,-0.353857245586
ACH-000198,-0.134228276293
ACH-000204,-0.358585086312
ACH-000206,-0.114740064646
ACH-000207,-0.217860963824
ACH-000211,-0.0475783127761
ACH-000215,-0.20680902825199998
ACH-000221,-0.138361902432
ACH-000222,-0.0908485269469
ACH-000223,-0.13375892755000002
ACH-000226,-0.203738593163
ACH-000227,-0.13537737659399998
ACH-000228,-0.202975384974
ACH-000231,-0.184630336222
ACH-000232,-0.10640773597799999
ACH-000233,-0.0215836346201
ACH-000234,-0.029506479164200003
ACH-000235,-0.147110059021
ACH-000237,-0.14234451704099998
ACH-000238,-0.0491151641995
ACH-000243,-0.206633532577
ACH-000244,-0.280475917314
ACH-000246,-0.116031161722
ACH-000248,-0.0757905295619
ACH-000250,-0.0960417543575
ACH-000251,-0.210142990963
ACH-000253,-0.09309111246980001
ACH-000255,-0.08213632451319999
ACH-000256,-0.04557442840940001
ACH-000257,-0.04526068398850001
ACH-000258,-0.129676153116
ACH-000259,-0.223782020148
ACH-000260,-0.34679567631999997
ACH-000261,-0.14845684603700002
ACH-000262,-0.22530180252300003
ACH-000263,-0.261137575182
ACH-000264,-0.0975537437504
ACH-000265,-0.0914261572717
ACH-000266,-0.16961128538800002
ACH-000272,-0.219116043287
ACH-000273,-0.199820330264
ACH-000274,-0.343460714911
ACH-000277,-0.23654919896999999
ACH-000278,-0.23999494579599998
ACH-000279,-0.18022461874200002
ACH-000280,-0.0104461570416
ACH-000281,-0.08655675041750001
ACH-000288,-0.423787087892
ACH-000291,-0.0326276288475
ACH-000293,-0.301409511616
ACH-000294,-0.148628719187
ACH-000295,-0.28586735771
ACH-000296,-0.056538208846899994
ACH-000302,-0.231359621406
ACH-000304,-0.488674426359
ACH-000307,-0.325296983152
ACH-000308,-0.022509564580799998
ACH-000310,-0.217814009686
ACH-000311,-0.20738540403099998
ACH-000312,-0.332311715763
ACH-000315,-0.34347181714599995
ACH-000316,-0.11349846641200001
ACH-000317,-0.188656808797
ACH-000318,-0.265159610971
ACH-000319,0.053822285475500005
ACH-000320,-0.213450660009
ACH-000322,0.24349579149599998
ACH-000323,-0.283817293252
ACH-000324,0.00576300007038
ACH-000329,-0.223465269864
ACH-000330,-0.202765694305
ACH-000331,-0.234198670318
ACH-000332,-0.175458187744
ACH-000334,0.105950764213
ACH-000335,0.056681621561000005
ACH-000336,-0.356221027959
ACH-000337,-0.23274072748100003
ACH-000339,-0.0700102771668
ACH-000341,-0.5800535392230001
ACH-000348,-0.180060822832
ACH-000350,-0.156654973167
ACH-000352,-0.310311336025
ACH-000356,0.188917278882
ACH-000361,-0.185665528358
ACH-000362,-0.08873684434739999
ACH-000363,-0.185470273422
ACH-000364,0.117557665802
ACH-000365,-0.09393153288830002
ACH-000366,-0.188930268741
ACH-000368,-0.389863302787
ACH-000374,-0.145163914527
ACH-000375,-0.172237023686
ACH-000376,-0.280744146634
ACH-000381,-0.248240893094
ACH-000383,-0.09232971336760001
ACH-000387,0.0158319696449
ACH-000389,-0.00108177162896
ACH-000390,0.014453385854899999
ACH-000393,-0.107945507653
ACH-000395,0.0110584059181
ACH-000397,-0.20812249304699998
ACH-000401,-0.198407380858
ACH-000402,-0.0163610779575
ACH-000403,-0.156247681275
ACH-000404,0.181317701198
ACH-000406,-0.144187769282
ACH-000407,-0.23517268227899998
ACH-000408,0.125169219895
ACH-000410,-0.0677108103819
ACH-000411,-0.158527035239
ACH-000414,-0.204288956644
ACH-000415,-0.284850799467
ACH-000416,-0.0499025199708
ACH-000420,-0.137616415233
ACH-000421,-0.166721581751
ACH-000424,-0.043963639258900004
ACH-000425,-0.19960733221500002
ACH-000426,-0.07786585114849999
ACH-000427,-0.203796247925
ACH-000433,-0.41829369427199997
ACH-000436,-0.412237709319
ACH-000444,-0.11707824355900001
ACH-000445,-0.16310830778
ACH-000448,-0.285490759621
ACH-000450,-0.376471927908
ACH-000452,-0.179928937717
ACH-000454,-0.195732355962
ACH-000458,-0.137291150853
ACH-000459,0.284391713706
ACH-000460,0.0507052267255
ACH-000461,-0.52262455402
ACH-000463,-0.0948331253505
ACH-000464,-0.333186422179
ACH-000466,0.10744873505699999
ACH-000467,-0.126919958716
ACH-000468,-0.19713262116500002
ACH-000469,0.141410627357
ACH-000470,-0.034198303224800004
ACH-000471,-0.148932372334
ACH-000472,-0.0181361190182
ACH-000473,-0.0771758915192
ACH-000475,-0.0857896982911
ACH-000476,-0.42027200729
ACH-000477,-0.0927279580087
ACH-000480,-0.21502944289
ACH-000481,-0.118723486438
ACH-000483,0.12554782462300001
ACH-000484,0.060149184488900005
ACH-000485,-0.0787107378469
ACH-000486,0.0332713723209
ACH-000487,-0.08154063385360001
ACH-000488,-0.259571987828
ACH-000490,-0.153814645126
ACH-000491,-0.0684767041265
ACH-000495,-0.165550849188
ACH-000496,-0.106255078564
ACH-000499,-0.22633870178000004
ACH-000500,-0.706408721799
ACH-000502,-0.016663315433000002
ACH-000503,-0.28367628828200003
ACH-000505,-0.348329105306
ACH-000507,-0.0824876616971
ACH-000510,-0.0844432974803
ACH-000511,0.15204111292199998
ACH-000512,-0.507531133837
ACH-000516,-0.07257104688410002
ACH-000517,-0.145837179136
ACH-000518,-0.12436903614299999
ACH-000520,-0.138084517396
ACH-000521,-0.43997459587399995
ACH-000522,-0.155332090793
ACH-000524,-0.0429952271949
ACH-000527,-0.05996609521580001
ACH-000528,-0.16144154268
ACH-000537,-0.0909235482319
ACH-000541,-0.112375580229
ACH-000542,-0.068369549381
ACH-000544,-0.13659326125
ACH-000545,-0.187972433921
ACH-000547,-0.252052114619
ACH-000548,-0.16217038661
ACH-000549,-0.12552305552
ACH-000550,-0.503999811567
ACH-000552,0.043606364116
ACH-000556,-0.17227771486
ACH-000557,0.07168656288889999
ACH-000570,-0.21356673618500002
ACH-000571,-0.130840484373
ACH-000573,0.0173715769121
ACH-000576,-0.322087412337
ACH-000580,-0.24458418416400002
ACH-000584,-0.120116990799
ACH-000585,-0.197703631562
ACH-000588,-0.211987441727
ACH-000589,-0.181118616715
ACH-000591,-0.08122311095769999
ACH-000593,-0.317876597619
ACH-000600,-0.0893822463824
ACH-000601,-0.14156319898800002
ACH-000604,-0.0765829138035
ACH-000605,0.067621669437
ACH-000606,-0.10054718292000002
ACH-000608,-0.15878843770099998
ACH-000614,-0.123060211853
ACH-000616,-0.37861164999799996
ACH-000618,-0.12218757444499999
ACH-000619,-0.253549246349
ACH-000620,-0.130320321206
