,SKAP1 (8631)
ACH-000004,-0.46222435178099996
ACH-000007,-0.594646751871
ACH-000009,-0.597528178483
ACH-000011,-0.228988995425
ACH-000012,-0.401065715719
ACH-000013,-0.171792910339
ACH-000014,-0.367663935991
ACH-000015,-0.321233184743
ACH-000017,-0.4210382924
ACH-000018,-0.361300802358
ACH-000019,-0.5615433723
ACH-000021,-0.430978345645
ACH-000022,-0.49855596412000003
ACH-000025,-0.342707134127
ACH-000028,-0.505080644516
ACH-000030,-0.375486902212
ACH-000035,-0.34762751904600003
ACH-000036,-0.303190320983
ACH-000037,-0.11322809514
ACH-000039,-0.6927521403910001
ACH-000040,-0.526263236145
ACH-000041,-0.42373962543000004
ACH-000042,-0.466251475223
ACH-000045,-0.381791716399
ACH-000047,-0.144435455145
ACH-000052,-0.761550969285
ACH-000053,-0.19190657605300002
ACH-000054,-0.458407928771
ACH-000055,-0.521513965139
ACH-000060,-0.37190902548199994
ACH-000067,-0.45261865856899997
ACH-000070,-0.329863173139
ACH-000075,-0.06345077474859999
ACH-000078,-0.36688118763800004
ACH-000082,-0.338642851254
ACH-000085,-0.492088799943
ACH-000086,-0.268408206633
ACH-000087,-0.438783409015
ACH-000092,-0.521166080077
ACH-000095,-0.20396112439800002
ACH-000097,-0.223930908207
ACH-000098,-0.340754062253
ACH-000099,-0.21950400550500002
ACH-000108,-0.274286443358
ACH-000113,-0.27712264228
ACH-000115,-0.40563331531499996
ACH-000116,-0.443199288438
ACH-000118,-0.229720724034
ACH-000120,-0.41837365778
ACH-000123,-0.31846465496599996
ACH-000127,-0.40215558783699995
ACH-000128,-0.311468786608
ACH-000132,-0.22158258121
ACH-000133,-0.20330059744399998
ACH-000137,-0.255924708651
ACH-000138,-0.427977245899
ACH-000142,-0.200365867247
ACH-000143,-0.414486890277
ACH-000146,-0.20549901672200002
ACH-000148,-0.429165900624
ACH-000150,-0.5798612574750001
ACH-000152,-0.49684665874399997
ACH-000153,-0.163250869692
ACH-000159,-0.45246466757
ACH-000160,-0.241503228499
ACH-000163,-0.39272113619800003
ACH-000167,-0.309542529889
ACH-000168,-0.225388760786
ACH-000169,-0.24090902468800002
ACH-000178,-0.218168017242
ACH-000182,-0.17436271571400003
ACH-000183,-0.3451850773
ACH-000188,-0.42907638070299997
ACH-000189,-0.458290251294
ACH-000190,-0.316953814341
ACH-000198,-0.38432495645900006
ACH-000204,-0.22637111391999998
ACH-000206,-0.287685085023
ACH-000207,-0.466776575533
ACH-000211,-0.434823803864
ACH-000215,-0.46986595078500004
ACH-000221,-0.415697001721
ACH-000222,-0.302944836558
ACH-000223,-0.256995814921
ACH-000226,-0.346689721
ACH-000227,-0.473651890963
ACH-000228,-0.462051927555
ACH-000231,-0.419259175603
ACH-000232,-0.29741991887499997
ACH-000233,-0.185296830624
ACH-000234,-0.48208389934600004
ACH-000235,-0.38890975918700005
ACH-000237,-0.35918999493500003
ACH-000238,-0.267393417825
ACH-000243,-0.37251767191699997
ACH-000244,-0.16866691915600002
ACH-000246,-0.41351220932099997
ACH-000248,-0.448130184825
ACH-000250,-0.490564489736
ACH-000251,-0.0890249480455
ACH-000253,-0.348523022486
ACH-000255,-0.28580390371
ACH-000256,-0.372187183
ACH-000257,-0.21708474266199998
ACH-000258,-0.265931048468
ACH-000259,-0.33669298922700003
ACH-000260,-0.3364215024
ACH-000261,-0.400571055238
ACH-000262,-0.231298116415
ACH-000263,-0.121286753134
ACH-000264,-0.315271889538
ACH-000265,-0.48808646544600004
ACH-000266,-0.236936668277
ACH-000272,-0.46981542679
ACH-000273,-0.414274163364
ACH-000274,-0.33764832475
ACH-000277,-0.307826720959
ACH-000278,-0.361903119101
ACH-000279,-0.310916030961
ACH-000280,-0.288577350376
ACH-000281,-0.38889192991899996
ACH-000288,-0.35968767714
ACH-000291,-0.404644640663
ACH-000293,-0.36650798149400005
ACH-000294,-0.316446753872
ACH-000295,-0.305296519558
ACH-000296,-0.46856374517300003
ACH-000302,-0.323680014179
ACH-000304,-0.15083373654999999
ACH-000307,-0.34595453720200003
ACH-000308,-0.30792197976999997
ACH-000310,-0.314165859529
ACH-000311,-0.207028640674
ACH-000312,-0.587382740954
ACH-000315,-0.27072463319
ACH-000316,-0.41503859369900004
ACH-000317,-0.379105325018
ACH-000318,-0.3107762977
ACH-000319,-0.363446945231
ACH-000320,-0.154262641283
ACH-000322,-0.707041752941
ACH-000323,-0.563433604033
ACH-000324,-0.447783276639
ACH-000329,-0.533406789806
ACH-000330,-0.18687977839899997
ACH-000331,-0.318317520716
ACH-000332,-0.40457710569899996
ACH-000334,-0.17470484720899998
ACH-000335,-0.544475249001
ACH-000336,-0.16943989329700002
ACH-000337,-0.37625047367200004
ACH-000339,-0.291605654165
ACH-000341,-0.48606086653499997
ACH-000348,-0.413416129749
ACH-000350,-0.223675537177
ACH-000352,-0.467677978354
ACH-000356,-0.356421128946
ACH-000361,-0.124780382108
ACH-000362,-0.196716621386
ACH-000363,-0.35647059035800005
ACH-000364,-0.351367295316
ACH-000365,-0.438973206735
ACH-000366,-0.272291528221
ACH-000368,-0.317506078728
ACH-000374,-0.130602682311
ACH-000375,-0.430961298688
ACH-000376,-0.266137551475
ACH-000381,-0.37481975798
ACH-000383,-0.37569135375699997
ACH-000387,-0.191605042271
ACH-000389,-0.653555785833
ACH-000390,-0.440772890511
ACH-000393,-0.350147043972
ACH-000395,-0.216762897519
ACH-000397,-0.35794701549099994
ACH-000401,-0.483683751081
ACH-000402,-0.114216196483
ACH-000403,-0.544368503038
ACH-000404,-0.5258401962100001
ACH-000406,-0.19961727620900002
ACH-000407,-0.195488643589
ACH-000408,-0.0389051968626
ACH-000410,-0.15963405215
ACH-000411,-0.251439574494
ACH-000414,-0.312124505308
ACH-000415,-0.256417629506
ACH-000416,-0.36706311979999995
ACH-000420,-0.441490618477
ACH-000421,-0.330168697635
ACH-000424,-0.290176121533
ACH-000425,-0.386441340705
ACH-000426,-0.653966946245
ACH-000427,-0.826888782246
ACH-000433,-0.581922262627
ACH-000436,-0.11995223934499999
ACH-000444,-0.239358844007
ACH-000445,-0.47900060342100004
ACH-000448,-0.29244703366999997
ACH-000450,-0.454770010997
ACH-000452,-0.305205200075
ACH-000454,-0.34914707097900005
ACH-000458,-0.340392371509
ACH-000459,-0.21487538399999997
ACH-000460,-0.21742057245000002
ACH-000461,-0.41553500071000005
ACH-000463,-0.339336619675
