,TRNP1 (388610)
ACH-000004,-0.308254944327
ACH-000007,-0.506399926183
ACH-000009,-0.405667257461
ACH-000011,-0.75974691627
ACH-000012,-0.286910901935
ACH-000013,-0.5391679429339999
ACH-000014,-0.511869244177
ACH-000015,-0.384245702972
ACH-000017,-0.36573682894599996
ACH-000018,-0.139858629899
ACH-000019,-0.250296920366
ACH-000021,-0.256190108408
ACH-000022,-0.33993754369
ACH-000025,-0.464599713658
ACH-000028,-0.535950623449
ACH-000030,-0.39131781187700004
ACH-000035,-0.43808592211099995
ACH-000036,-0.327896289017
ACH-000037,-0.7102221885660001
ACH-000039,-0.41078266488399995
ACH-000040,-0.734135894764
ACH-000041,-0.20745954170800002
ACH-000042,-0.451157325133
ACH-000045,-0.44849994236699997
ACH-000047,-0.463265366761
ACH-000052,-0.273997904123
ACH-000053,-0.221477323703
ACH-000054,-0.351755195595
ACH-000055,-0.250120177755
ACH-000060,-0.5573283701199999
ACH-000067,-0.515260194601
ACH-000070,-0.48531450434900003
ACH-000075,-0.36253781881999997
ACH-000078,-0.26477944559300004
ACH-000082,-0.5385840671850001
ACH-000085,-0.468922200625
ACH-000086,-0.497006844806
ACH-000087,-0.252856568512
ACH-000092,-0.881961927386
ACH-000095,-0.436854258957
ACH-000097,-0.396963035578
ACH-000098,-0.42526023119199996
ACH-000099,-0.455585514313
ACH-000108,-0.272630657452
ACH-000113,-0.386417289031
ACH-000115,-0.452734566232
ACH-000116,-0.537646051488
ACH-000118,-0.340243272653
ACH-000120,-0.146276119661
ACH-000123,-0.289173793824
ACH-000127,-0.20560214164
ACH-000128,-0.570937655629
ACH-000132,-0.519396501544
ACH-000133,-0.558521037573
ACH-000137,-0.8088698344480001
ACH-000138,-0.18895648567
ACH-000142,-0.6534074666130001
ACH-000143,-0.30820760821800003
ACH-000146,-0.228520599568
ACH-000148,-0.582828292653
ACH-000150,-0.848026083127
ACH-000152,-0.5934434582460001
ACH-000153,-0.263200836677
ACH-000159,-0.599900534274
ACH-000160,-0.35331239010300003
ACH-000163,-0.33321685391399997
ACH-000167,-0.634964016249
ACH-000168,-0.568976177357
ACH-000169,-0.554938186726
ACH-000178,-0.479809404464
ACH-000182,-0.3399904716800001
ACH-000183,-0.39399810458499995
ACH-000188,-0.7035232458540001
ACH-000189,-0.6019343444080001
ACH-000190,-0.637780276019
ACH-000198,-0.38050458525200004
ACH-000204,-0.611124303098
ACH-000206,-0.54653295732
ACH-000207,-0.828065947585
ACH-000211,-0.31153884753
ACH-000215,-0.473425427188
ACH-000221,-0.36133355532
ACH-000222,-0.5182913645589999
ACH-000223,-0.256889106574
ACH-000226,-0.332569343257
ACH-000227,-0.453480791786
ACH-000228,-0.42106248646
ACH-000231,-0.47353044710600006
ACH-000232,-0.383549152615
ACH-000233,-0.198428339253
ACH-000234,-0.7245387889239999
ACH-000235,-0.3497300923800001
ACH-000237,-0.7289227871420001
ACH-000238,-0.874213298715
ACH-000243,-0.287788909428
ACH-000244,-0.654143192535
ACH-000246,-0.485841596287
ACH-000248,-0.35395515418000006
ACH-000250,-0.524342626219
ACH-000251,-0.514323819299
ACH-000253,-0.61727399005
ACH-000255,-0.457933567232
ACH-000256,-0.48025192264
ACH-000257,-0.47282020917499995
ACH-000258,-0.46364702692500004
ACH-000259,-0.523350569554
ACH-000260,-0.297721387254
ACH-000261,-0.543183192771
ACH-000262,-0.342663571704
ACH-000263,-0.44336932732900003
ACH-000264,-0.292871766597
ACH-000265,-0.251824031675
ACH-000266,-0.340608180894
ACH-000272,-0.236243221715
ACH-000273,-0.35061058614600005
ACH-000274,-0.700666321919
ACH-000277,-0.7748290986949999
ACH-000278,-0.453487889273
ACH-000279,-0.320424868357
ACH-000280,-0.307141104931
ACH-000281,-0.172708078001
ACH-000288,-0.692258452837
ACH-000291,-0.38474636325499995
ACH-000293,-0.746802146955
ACH-000294,-0.20537381809900002
ACH-000295,-0.559333995442
ACH-000296,-0.445729628637
ACH-000302,-0.500435234712
ACH-000304,-0.71273464939
ACH-000307,-0.5154799176479999
ACH-000308,-0.372524653694
ACH-000310,-0.431180347183
ACH-000311,-0.602545840634
ACH-000312,-0.518187660108
ACH-000315,-0.448727688079
ACH-000316,-0.348467004517
ACH-000317,-0.280267095455
ACH-000318,-0.31204966051399996
ACH-000319,-0.624964854431
ACH-000320,-0.49306198928499995
ACH-000322,-0.339801994925
ACH-000323,-0.641064199241
ACH-000324,-0.5845309099399999
ACH-000329,-0.5590820632519999
ACH-000330,-0.27080606973
ACH-000331,-0.524833608562
ACH-000332,-0.42669645052199995
ACH-000334,-0.40819331544
ACH-000335,-0.261052606649
ACH-000336,-0.18244335929299998
ACH-000337,-0.7289459470640001
ACH-000339,-0.26365169209899997
ACH-000341,-0.498213908927
ACH-000348,-0.384542564089
ACH-000350,-0.43329519963299995
ACH-000352,-0.461473954412
ACH-000356,-0.469651382038
ACH-000361,-0.461367145761
ACH-000362,-0.10140965827
ACH-000363,-0.535691059091
ACH-000364,-0.648390261787
ACH-000365,-0.457787083413
ACH-000366,-0.39197097099100003
ACH-000368,-0.6380832996679999
ACH-000374,-0.468696660691
ACH-000375,-0.47532922102499997
ACH-000376,-0.5474886381580001
ACH-000381,0.0477021434766
ACH-000383,-0.488956498092
ACH-000387,-0.47974048956500004
ACH-000389,-0.5902523796060001
ACH-000390,-0.39023135178499996
ACH-000393,-0.501563679311
ACH-000395,-0.386225834147
ACH-000397,-0.46867064141900006
ACH-000401,-0.247769302435
ACH-000402,-0.955376676209
ACH-000403,-0.55589733008
ACH-000404,-1.03512793577
ACH-000406,-0.257332604672
ACH-000407,-0.649540185841
ACH-000408,-0.582821418805
ACH-000410,-0.37310450181500004
ACH-000411,-0.608337439809
ACH-000414,-0.493460320022
ACH-000415,-0.5392593982680001
ACH-000416,-0.42547226263599996
ACH-000420,-0.50954750495
ACH-000421,-0.465988906731
ACH-000424,-0.8268601713889999
ACH-000425,-0.34524043661799997
ACH-000426,-0.518623113015
ACH-000427,-0.9730421617799999
ACH-000433,-0.07287027554600001
ACH-000436,-0.429746134948
ACH-000444,-0.32948694012699997
ACH-000445,-0.294848867869
ACH-000448,-0.469809072755
ACH-000450,-0.5311130640339999
ACH-000452,-0.354102716301
ACH-000454,-0.407519128305
ACH-000458,-0.8105468166249999
ACH-000459,-0.182051486485
ACH-000460,-0.370891279682
ACH-000461,-0.589361020865
ACH-000463,-0.649584130911
ACH-000464,-0.5224089896940001
ACH-000466,-0.439127383053
ACH-000467,-0.41960674955
ACH-000468,-0.35550313954499996
ACH-000469,-0.484776475449
ACH-000470,-0.42081141424699997
ACH-000471,-0.39863264161399997
ACH-000472,-0.34117857600400003
ACH-000473,-0.318047017645
ACH-000475,-0.452843029186
ACH-000476,-0.5355304364810001
ACH-000477,-0.276199857634
ACH-000480,-0.5407782277750001
ACH-000481,-0.574065306599
ACH-000483,-0.533479985961
ACH-000484,-0.285546236508
ACH-000485,-0.427140407354
ACH-000486,-0.467140020083
ACH-000487,-0.575205611069
ACH-000488,-0.618972165507
ACH-000490,-0.736763648817
ACH-000491,-0.681230295588
ACH-000495,-0.204531334885
ACH-000496,-0.563364709989
ACH-000499,-0.390954234543
ACH-000500,-0.33367125015
ACH-000502,-0.516734058315
ACH-000503,-0.50054624891
ACH-000505,-0.49895411726800004
ACH-000507,-0.47228486812
ACH-000510,-0.36446267067000004
ACH-000511,-0.497272795392
ACH-000512,-0.47062609743600003
ACH-000516,-0.524022393562
ACH-000517,-0.538890120641
ACH-000518,-0.487294010937
ACH-000520,-0.503313973323
ACH-000521,-0.381155063166
ACH-000522,-0.557549885378
ACH-000524,-0.529619224207
ACH-000527,-0.33857298981399997
ACH-000528,-0.412182374296
ACH-000537,-0.23870239401999999
ACH-000541,-0.380730891651
ACH-000542,-0.386105494678
ACH-000544,-0.509500151417
ACH-000545,-0.558332583045
ACH-000547,-0.353149472222
ACH-000548,-0.47352420876400003
ACH-000549,-0.56221576974
ACH-000550,-0.6795810038879999
ACH-000552,-0.503599204665
ACH-000556,-0.5115126247380001
