,GAREML (150946)
ACH-000004,0.045216287138
ACH-000007,0.0407806294729
ACH-000009,-0.116651605891
ACH-000011,-0.201939429488
ACH-000012,-0.032992945791400004
ACH-000013,-0.240666743769
ACH-000014,-0.14855135934699998
ACH-000015,0.0681473481125
ACH-000017,-0.184991972973
ACH-000018,-0.115269511491
ACH-000019,-0.151805056814
ACH-000021,0.020126965073599998
ACH-000022,-0.17180806457400002
ACH-000025,-0.173076251604
ACH-000028,-0.0526578544668
ACH-000030,-0.0872047753225
ACH-000035,-0.106511118129
ACH-000036,-0.121575952826
ACH-000037,-0.312970852896
ACH-000039,-0.061157371447300005
ACH-000040,-0.19489643293699999
ACH-000041,-0.109404847321
ACH-000042,-0.030067327066799997
ACH-000045,-0.0747332649015
ACH-000047,-0.15069492365599998
ACH-000052,-0.316630779298
ACH-000053,-0.143347754238
ACH-000054,-0.242017135678
ACH-000055,-0.262128049349
ACH-000060,-0.034205946617
ACH-000067,-0.05023680193419999
ACH-000070,-0.434051258975
ACH-000075,-0.22751141029
ACH-000078,-0.20318612908599998
ACH-000082,0.062117726789999994
ACH-000085,-0.0727317117844
ACH-000086,-0.10323782391400001
ACH-000087,-0.10323117859200001
ACH-000092,-0.339856577453
ACH-000095,-0.130214242964
ACH-000097,-0.12386636324999999
ACH-000098,0.0417863348826
ACH-000099,-0.158179731377
ACH-000108,-0.0520244801656
ACH-000113,-0.19014274234099998
ACH-000115,-0.169408989135
ACH-000116,-0.102794122492
ACH-000118,-0.045457983833999994
ACH-000120,0.06498573093690001
ACH-000123,-0.18146245191799998
ACH-000127,-0.242226151501
ACH-000128,-0.156169825303
ACH-000132,-0.08644656216339999
ACH-000133,-0.246431769753
ACH-000137,-0.06957255508560001
ACH-000138,-0.0634064502233
ACH-000142,-0.00690218657915
ACH-000143,-0.30667179583799997
ACH-000146,-0.10448633838
ACH-000148,-0.0613902887988
ACH-000150,-0.011339246374700003
ACH-000152,-0.39612179689599997
ACH-000153,0.256623859272
ACH-000159,-0.0814627160887
ACH-000160,-0.12269511373500001
ACH-000163,0.0054575256006199994
ACH-000167,-0.49116023147699994
ACH-000168,-0.285729841838
ACH-000169,0.027210086633799997
ACH-000178,-0.0929056680878
ACH-000182,-0.0659171591903
ACH-000183,-0.0711212954918
ACH-000188,-0.14325692947899998
ACH-000189,-0.43681025458899997
ACH-000190,-0.072800297176
ACH-000198,0.0486969669269
ACH-000204,-0.364275215005
ACH-000206,-0.0913371777898
ACH-000207,0.0337924079362
