,RRM1 (6240)
ACH-000004,-2.02430137377
ACH-000007,-1.92385289693
ACH-000009,-1.7421043962599998
ACH-000011,-1.5168060160699999
ACH-000012,-1.8495450597799998
ACH-000013,-1.64587952519
ACH-000014,-1.89419790771
ACH-000015,-1.5502883409200001
ACH-000017,-1.6504897293799998
ACH-000018,-1.6788621821
ACH-000019,-1.9554914569400002
ACH-000021,-1.7002573188299999
ACH-000022,-1.9214568351299999
ACH-000025,-1.63436767938
ACH-000028,-1.6569154442899998
ACH-000030,-1.8287274389500001
ACH-000035,-1.50369525684
ACH-000036,-1.4867765412
ACH-000037,-1.86523495103
ACH-000039,-1.9804278529
ACH-000040,-1.60143816896
ACH-000041,-1.7115543233700001
ACH-000042,-1.39164371083
ACH-000045,-1.82022394553
ACH-000047,-1.7811042445900003
ACH-000052,-1.58351327079
ACH-000053,-1.6382134397900001
ACH-000054,-1.78054937286
ACH-000055,-1.7785201420299999
ACH-000060,-1.5622907833700002
ACH-000067,-1.43684286824
ACH-000070,-1.7682218868900001
ACH-000075,-1.3026602784399999
ACH-000078,-2.11032817654
ACH-000082,-1.5879107556299998
ACH-000085,-1.5852374452000002
ACH-000086,-1.31568512866
ACH-000087,-1.6303577020700002
ACH-000092,-1.6785415288299999
ACH-000095,-1.91318822757
ACH-000097,-1.76491574301
ACH-000098,-1.42727799268
ACH-000099,-1.8554805979099998
ACH-000108,-1.64348694212
ACH-000113,-1.7840477988799999
ACH-000115,-2.22082684418
ACH-000116,-1.87126679806
ACH-000118,-1.61205260266
ACH-000120,-1.8812512590400001
ACH-000123,-1.72612332425
ACH-000127,-1.8072347782799998
ACH-000128,-1.61601630826
ACH-000132,-1.60565728666
ACH-000133,-1.8023709174200002
ACH-000137,-1.8457291675799998
ACH-000138,-1.7236503547400002
ACH-000142,-1.6348771209
ACH-000143,-1.8287375320700001
ACH-000146,-2.24035972933
ACH-000148,-1.3138396600700002
ACH-000150,-1.6826427628
ACH-000152,-1.6167793848199998
ACH-000153,-1.35147811218
ACH-000159,-1.7926170391099998
ACH-000160,-1.96906060848
ACH-000163,-1.75226284688
ACH-000167,-2.0815703977
ACH-000168,-1.67233735331
ACH-000169,-1.67917666143
ACH-000178,-1.6299140296
ACH-000182,-1.6545078572299998
ACH-000183,-1.77417052227
ACH-000188,-1.4968798082299999
ACH-000189,-1.7326473479400002
ACH-000190,-1.2247775060600001
ACH-000198,-1.8305483013900004
ACH-000204,-1.69322644808
ACH-000206,-1.7832111382299998
ACH-000207,-2.08156523772
ACH-000211,-1.7656506071
ACH-000215,-1.8145002587799999
ACH-000221,-1.6887374658
ACH-000222,-1.71921536969
ACH-000223,-1.72002642912
ACH-000226,-1.4519132462
ACH-000227,-1.85122541047
ACH-000228,-1.57972875689
ACH-000231,-1.5419360261500001
ACH-000232,-1.74947211806
ACH-000233,-1.8293453811000002
ACH-000234,-1.79462774255
ACH-000235,-1.71907185444
ACH-000237,-1.61435749318
ACH-000238,-1.72132790154
ACH-000243,-1.69801570463
ACH-000244,-1.70414566911
ACH-000246,-1.73449530407
ACH-000248,-1.5246890342100001
ACH-000250,-1.72260924148
ACH-000251,-1.6329974856
ACH-000253,-1.67077829465
ACH-000255,-1.4762253487900001
ACH-000256,-1.95468616435
ACH-000257,-1.73391873936
ACH-000258,-1.10839135121
ACH-000259,-1.8974806903299999
ACH-000260,-1.61348710379
ACH-000261,-1.7845407140599998
ACH-000262,-1.39706620389
ACH-000263,-2.02150326893
ACH-000264,-1.7788571606799999
ACH-000265,-1.52414101595
ACH-000266,-1.5685226806600001
ACH-000272,-1.7252785242
ACH-000273,-1.6354815706499999
ACH-000274,-1.91397896023
ACH-000277,-1.3992110143799998
ACH-000278,-1.86785553537
ACH-000279,-1.8806172500799998
