,EEFSEC (60678)
ACH-000004,-0.32333316281
ACH-000007,-0.10971964224099999
ACH-000009,-0.156231258855
ACH-000011,-0.631967534757
ACH-000012,-0.7525485853659999
ACH-000013,-0.454102953358
ACH-000014,-0.5381701830560001
ACH-000015,-0.507929872169
ACH-000017,-0.284155102165
ACH-000018,-0.797142157244
ACH-000019,-0.744588074694
ACH-000021,-1.32653808071
ACH-000022,-0.144912405386
ACH-000025,-0.7874004364499999
ACH-000028,-0.648214130409
ACH-000030,-0.388926650441
ACH-000035,-0.9016136887909999
ACH-000036,-0.770622674822
ACH-000037,-0.657421122009
ACH-000039,-0.7061384463600001
ACH-000040,-0.47527418735699994
ACH-000041,-1.34532023333
ACH-000042,-0.229802423367
ACH-000045,-0.932908215307
ACH-000047,-0.665466750395
ACH-000052,-0.8014790927500001
ACH-000053,-1.04431646175
ACH-000054,-0.461402055619
ACH-000055,-0.7152316781129999
ACH-000060,-0.21283938702799998
ACH-000067,-0.732796053986
ACH-000070,-0.809328124373
ACH-000075,-0.39145469605899996
ACH-000078,-0.307890581574
ACH-000082,-0.860105230455
ACH-000085,-0.809761878701
ACH-000086,-0.837634604913
ACH-000087,-0.818223165509
ACH-000092,-0.11499346978399999
ACH-000095,-0.717239720512
ACH-000097,-0.17566168150699998
ACH-000098,-0.220568078971
ACH-000099,-0.720067964575
ACH-000108,-0.389682230523
ACH-000113,-0.966561999915
ACH-000115,-0.542630331821
ACH-000116,-0.6630314007779999
ACH-000118,-0.169567569152
ACH-000120,-0.792414825532
ACH-000123,-0.757630231074
ACH-000127,-0.830503130477
ACH-000128,-0.945476018608
ACH-000132,-1.1347976207200001
ACH-000133,-0.657478541576
ACH-000137,-1.01230310179
ACH-000138,-0.321212944642
ACH-000142,-0.525042076334
ACH-000143,-0.905404766023
ACH-000146,-0.364614494915
ACH-000148,-0.661759821035
ACH-000150,-1.13308587653
ACH-000152,-1.15934647232
ACH-000153,-0.443110080426
ACH-000159,-1.16078086486
ACH-000160,-0.35153414941399996
ACH-000163,-0.7981421344990001
ACH-000167,-0.7207147286319999
ACH-000168,-0.73741536949
ACH-000169,-0.409868002883
ACH-000178,-0.5976271732549999
ACH-000182,-0.019469845177
ACH-000183,-0.784560406241
ACH-000188,-0.643010507832
ACH-000189,-1.0039338257100001
ACH-000190,-0.651627138415
ACH-000198,-0.720443882244
ACH-000204,-0.898120299115
ACH-000206,-0.56264951245
ACH-000207,-0.994984189199
ACH-000211,-1.02435767532
ACH-000215,-0.9807303267380001
ACH-000221,-1.1158828837700001
ACH-000222,-0.279646897307
ACH-000223,-0.771192054447
ACH-000226,-0.819990245261
ACH-000227,-0.471838665636
ACH-000228,-0.446482354685
ACH-000231,-0.808241929131
ACH-000232,-0.036799074943400005
ACH-000233,-0.707738098975
ACH-000234,-0.860729022953
ACH-000235,-0.528417162809
ACH-000237,-0.38489960122100003
ACH-000238,-0.689316941743
ACH-000243,-0.5948793168959999
ACH-000244,-0.911863385901
ACH-000246,-0.775851233328
ACH-000248,-0.29140587763500003
ACH-000250,-0.795743318552
ACH-000251,-0.7973994037450001
ACH-000253,-0.239580934662
ACH-000255,-0.904687696419
ACH-000256,-0.908577485634
ACH-000257,-0.39453079598000007
ACH-000258,0.041210354131699996
ACH-000259,-0.47246470241599997
ACH-000260,-0.8263247609890001
ACH-000261,-1.18417494232
ACH-000262,-0.701673295571
ACH-000263,-0.700020541416
ACH-000264,-0.353153419835
ACH-000265,-0.85060414535
ACH-000266,-0.568130206629
ACH-000272,-0.839079227457
ACH-000273,-0.6251831103719999
ACH-000274,-0.344173722653
ACH-000277,-0.08325843421839998
ACH-000278,-0.324771494685
ACH-000279,-0.9982522180589999
ACH-000280,-0.639412115475
ACH-000281,-0.937075758266
ACH-000288,-0.907333570406
ACH-000291,-0.394972972883
ACH-000293,-0.258462951185
ACH-000294,-0.9576164657089999
ACH-000295,-0.757477422262
ACH-000296,-0.169768166439
ACH-000302,-0.979294605634
ACH-000304,-0.516269928835
ACH-000307,-0.29246371460000004
ACH-000308,-0.7831038442530001
ACH-000310,-0.368287280304
ACH-000311,0.0474457802375
ACH-000312,-0.219057568966
ACH-000315,-0.864407056632
ACH-000316,-0.8118122173639999
ACH-000317,-1.06806001059
ACH-000318,-0.324181923565
ACH-000319,-1.0269870731
ACH-000320,-0.516948665809
ACH-000322,-0.255679806961
ACH-000323,-1.09103031831
ACH-000324,-0.241148055005
ACH-000329,-0.656302380888
ACH-000330,-0.496493039903
ACH-000331,-0.619410801793
ACH-000332,-0.058396610418
ACH-000334,-0.342765057195
ACH-000335,-0.614646675682
ACH-000336,-0.7932776386049999
ACH-000337,-0.554652408112
ACH-000339,-1.00421451528
ACH-000341,-0.298232803446
ACH-000348,-1.08780823722
ACH-000350,-0.212148214666
ACH-000352,-0.45083353067599996
ACH-000356,-0.397271706346
ACH-000361,-0.5207602470380001
ACH-000362,-0.8133509052169999
ACH-000363,-0.9504034498270001
ACH-000364,-0.82703244504
ACH-000365,-0.5603294137979999
ACH-000366,-1.29953969901
ACH-000368,-1.08583126896
ACH-000374,-0.568322709079
ACH-000375,-1.03166151318
ACH-000376,-0.7940642748710001
ACH-000381,-0.12038820683599999
ACH-000383,-0.26159448359799997
ACH-000387,-0.18128170176199998
ACH-000389,-0.5233043570570001
ACH-000390,-0.31191088633
ACH-000393,-1.4082077364200003
ACH-000395,-0.390640724938
ACH-000397,-0.807328580204
ACH-000401,-0.47539605273100005
ACH-000402,-1.13314103729
ACH-000403,-0.254367938099
ACH-000404,-0.47940215847499995
ACH-000406,-1.00120480066
ACH-000407,-0.913243428863
ACH-000408,-0.696318903391
ACH-000410,-1.0776333861799998
ACH-000411,-0.419998970811
ACH-000414,-0.488914779808
ACH-000415,-0.5433174115199999
ACH-000416,-0.8246467111310001
ACH-000420,-0.815448956291
ACH-000421,-0.16574590483100002
ACH-000424,-0.7872702795800001
ACH-000425,-0.43804298279700005
ACH-000426,-0.461853073758
ACH-000427,-0.33914491416299997
ACH-000433,-0.7062985880179999
ACH-000436,-1.1979413069299998
ACH-000444,-0.26782817925
ACH-000445,-0.277905446494
ACH-000448,-0.296922530227
ACH-000450,-0.579165803445
ACH-000452,-0.662885098465
ACH-000454,-0.654509953095
ACH-000458,-0.878178089783
ACH-000459,-0.729896261438
ACH-000460,-0.9312839806190001
ACH-000461,-0.24713797729400003
ACH-000463,-0.143627079993
ACH-000464,-0.9381716281229999
ACH-000466,-0.576481362574
ACH-000467,-0.18482542157
ACH-000468,-0.5484942128410001
ACH-000469,-1.0753812335700002
ACH-000470,-0.654604403213
ACH-000471,-0.07289982457449999
ACH-000472,-0.732806277811
ACH-000473,-0.306470397584
ACH-000475,-0.219438730816
ACH-000476,-0.661470111196
ACH-000477,-0.39935157964699997
ACH-000480,-0.9045801126399999
ACH-000481,-0.522247902207
ACH-000483,-0.8956124494519999
ACH-000484,-0.94181271566
ACH-000485,-0.18513826689399998
ACH-000486,-0.711275544566
ACH-000487,-0.98228894266
ACH-000488,-0.318212553555
ACH-000490,-0.33557739096
ACH-000491,-0.557821889073
ACH-000495,-0.961179023357
ACH-000496,-0.695245091876
ACH-000499,-0.728057933116
ACH-000500,-0.604673017852
ACH-000502,-0.249248271796
ACH-000503,-0.20330798605
ACH-000505,-1.1378113564499999
ACH-000507,-0.47450278402900004
