,GALK1 (2584)
ACH-000004,-0.258283619442
ACH-000007,0.0866721558952
ACH-000009,-0.39924909869
ACH-000011,-0.0969822912647
ACH-000012,-0.396579587081
ACH-000013,-0.329202116596
ACH-000014,-0.24718437743500002
ACH-000015,-0.245574356858
ACH-000017,-0.535465322907
ACH-000018,-0.19007706896899998
ACH-000019,-0.6892997726890001
ACH-000021,-0.244100025279
ACH-000022,-0.376688592055
ACH-000025,-0.228213299617
ACH-000028,-0.495723408724
ACH-000030,-0.226453280977
ACH-000035,-0.19998283825899998
ACH-000036,-0.157948390586
ACH-000037,-0.304033499647
ACH-000039,-0.320675332591
ACH-000040,-0.19307140432999997
ACH-000041,-0.38820745257399997
ACH-000042,-0.395744897627
ACH-000045,-0.123580951216
ACH-000047,-0.300576072759
ACH-000052,-0.21508928396
ACH-000053,-0.391600507266
ACH-000054,-0.338373358023
ACH-000055,-0.261688518431
ACH-000060,-0.445467118748
ACH-000067,-0.40512885732500004
ACH-000070,-0.0922801859777
ACH-000075,-0.292249079373
ACH-000078,-0.7020518090800001
ACH-000082,-0.315894655871
ACH-000085,-0.0809288506553
ACH-000086,-0.379792820939
ACH-000087,-0.269138233575
ACH-000092,-0.128420811812
ACH-000095,-0.36273467965899997
ACH-000097,-0.0678416282719
ACH-000098,-0.280407102623
ACH-000099,-0.504849047658
ACH-000108,-0.340045418332
ACH-000113,-0.11307121005899999
ACH-000115,-0.399134331139
ACH-000116,-0.24452041009599998
ACH-000118,-0.34485066020800004
ACH-000120,-0.3715801667
ACH-000123,-0.35193092664000003
ACH-000127,-0.36319884040100003
ACH-000128,-0.178619422157
ACH-000132,-0.191073949709
ACH-000133,-0.2901089026
ACH-000137,-0.274291695973
ACH-000138,-0.26963102369
ACH-000142,-0.418268654177
ACH-000143,-0.19780838462900002
ACH-000146,-0.198548612423
ACH-000148,-0.200385822715
ACH-000150,-0.630556369641
ACH-000152,-0.17953166085900002
ACH-000153,-0.303879264791
ACH-000159,-0.254152691752
ACH-000160,-0.17916092747200002
ACH-000163,-0.367606025324
ACH-000167,-0.09966526802819999
ACH-000168,-0.331071357449
ACH-000169,-0.167064031964
ACH-000178,-0.12879706449699999
ACH-000182,-0.146729274865
ACH-000183,-0.07522810655210001
ACH-000188,-0.254350965174
ACH-000189,-0.280625779101
ACH-000190,-0.166756933511
ACH-000198,-0.151275893728
ACH-000204,-0.211562359292
ACH-000206,-0.12407236720999999
ACH-000207,-0.447526078415
ACH-000211,-0.342096206061
ACH-000215,-0.35957871712899997
ACH-000221,-0.303225093255
ACH-000222,-0.301165517699
ACH-000223,-0.270469102049
ACH-000226,-0.17757987341499998
ACH-000227,-0.273052071595
ACH-000228,-0.343369115513
ACH-000231,-0.216096634238
ACH-000232,-0.14008974098500002
ACH-000233,-0.329639028593
ACH-000234,-0.3311645096
ACH-000235,-0.309308714101
ACH-000237,-0.25348971077300003
ACH-000238,-0.34325926195
ACH-000243,-0.305991837775
ACH-000244,-0.525125484152
ACH-000246,-0.236795318055
ACH-000248,-0.25962406923500003
ACH-000250,-0.331870149735
ACH-000251,-0.59301729595
ACH-000253,-0.25941921241599997
ACH-000255,-0.36837148126900005
ACH-000256,-0.22956779796100002
ACH-000257,-0.149812306633
ACH-000258,-0.0683389677744
ACH-000259,-0.307721722235
ACH-000260,-0.315745936463
ACH-000261,-0.347553386487
ACH-000262,-0.17559031249600002
ACH-000263,-0.472701691484
ACH-000264,-0.439281937033
ACH-000265,-0.312430793993
ACH-000266,-0.354522756333
ACH-000272,-0.28547710025600004
ACH-000273,-0.206821062506
ACH-000274,-0.32359972407800003
ACH-000277,-0.31018788019
ACH-000278,-0.26268992818799997
ACH-000279,-0.308157831895
ACH-000280,-0.668663598019
ACH-000281,-0.373261920776
ACH-000288,-0.354371549715
ACH-000291,-0.232849475911
ACH-000293,-0.206993138985
ACH-000294,-0.45715064719
ACH-000295,-0.7722858067380001
ACH-000296,-0.246118818456
ACH-000302,-0.105630539422
ACH-000304,-0.216450707096
ACH-000307,-0.222400561971
ACH-000308,-0.219092895458
ACH-000310,-0.50652457402
ACH-000311,-0.34828567981799996
ACH-000312,-0.334532843278
ACH-000315,-0.0313835513952
ACH-000316,-0.40205179329400004
ACH-000317,-0.122647883932
ACH-000318,-0.18406214636100002
ACH-000319,-0.273913691173
ACH-000320,-0.28686310675
ACH-000322,-0.418508178322
ACH-000323,-0.309754604668
ACH-000324,-0.322448877744
ACH-000329,-0.40487235392899995
ACH-000330,-0.144896375625
ACH-000331,-0.221997271129
ACH-000332,-0.28381881895100003
ACH-000334,-0.20136604867400001
ACH-000335,-0.33553343393199997
ACH-000336,-0.29647858692400003
ACH-000337,-0.724797764346
ACH-000339,-0.263643382011
ACH-000341,-0.278194550854
ACH-000348,-0.258071436057
ACH-000350,-0.23016662003000002
ACH-000352,-0.282514528707
ACH-000356,-0.33765174322400004
ACH-000361,-0.338177689397
ACH-000362,-0.160099579463
ACH-000363,-0.346079456919
ACH-000364,-0.0737181641369
ACH-000365,-0.31882693736699996
ACH-000366,-0.310834125087
ACH-000368,-0.278979724153
ACH-000374,-0.285463013123
ACH-000375,-0.26485508295000004
ACH-000376,-0.264125170222
ACH-000381,-0.285859296954
ACH-000383,-0.254246395078
ACH-000387,-0.349311078195
ACH-000389,-0.24980325655000002
ACH-000390,-0.217646970227
ACH-000393,-0.119473695448
ACH-000395,-0.34932093896399996
ACH-000397,-0.247383251606
ACH-000401,-0.365404716421
ACH-000402,-0.20366919917800003
ACH-000403,-0.36494572566600003
ACH-000404,-0.0929154629548
ACH-000406,-0.290891624674
ACH-000407,-0.362230205225
ACH-000408,-0.0139080900635
ACH-000410,-0.217129974654
ACH-000411,-0.220313660211
ACH-000414,-0.261849580625
ACH-000415,-0.39650082354599997
ACH-000416,-0.39082517049800003
ACH-000420,-0.578257252111
ACH-000421,-0.229606046824
ACH-000424,-0.0593514715082
ACH-000425,-0.290548263132
ACH-000426,-0.0786121934289
ACH-000427,-0.33180089905099996
ACH-000433,-0.586724021386
ACH-000436,-0.11304296022600001
ACH-000444,-0.04003743985680001
ACH-000445,-0.0518217985124
ACH-000448,-0.29415394665399996
ACH-000450,-0.0640749503943
ACH-000452,-0.253678831806
ACH-000454,0.12503152913899998
ACH-000458,-0.390592616128
ACH-000459,-0.275214648371
ACH-000460,-0.31003623721
ACH-000461,-0.225408264001
ACH-000463,-0.18295829096000002
ACH-000464,-0.0155833299003
ACH-000466,-0.22233262834399997
ACH-000467,-0.357728390946
ACH-000468,-0.37016611485600004
ACH-000469,-0.330065627355
ACH-000470,-0.45026717754199996
ACH-000471,-0.334207785581
ACH-000472,-0.288609265327
ACH-000473,-0.189880848384
ACH-000475,-0.20806713676600003
ACH-000476,-0.169957816598
ACH-000477,-0.00396917056435
ACH-000480,-0.37834919751100005
ACH-000481,-0.311344877819
ACH-000483,-0.025652720701099998
ACH-000484,-0.15591068567500002
ACH-000485,-0.20473419177700003
ACH-000486,-0.198478561735
ACH-000487,-0.234029220042
