,RUNX3 (864)
ACH-000004,-0.139084209123
ACH-000007,-0.106270525242
ACH-000009,-0.150156154881
ACH-000011,-0.381170311042
ACH-000012,-0.011570262915900001
ACH-000013,-0.118050887925
ACH-000014,-0.276382956898
ACH-000015,0.0560352560314
ACH-000017,-0.033007773964900004
ACH-000018,0.0934847931342
ACH-000019,0.342766098834
ACH-000021,-0.07450537006739999
ACH-000022,-0.22209764533799997
ACH-000025,-0.0329697876325
ACH-000028,-0.136635433474
ACH-000030,-0.111796008697
ACH-000035,-0.17438476003199999
ACH-000036,-0.0443731799697
ACH-000037,-0.231691005725
ACH-000039,-0.25474697671999996
ACH-000040,-0.107176734162
ACH-000041,-0.19225195479899998
ACH-000042,0.0641576726234
ACH-000045,-0.135516737661
ACH-000047,-0.0620015364405
ACH-000052,-0.301487309021
ACH-000053,-0.0858756206645
ACH-000054,-0.0905097202169
ACH-000055,-0.15423219767000002
ACH-000060,-0.251055655083
ACH-000067,-0.127552520575
ACH-000070,0.0916205617859
ACH-000075,0.08419533269889999
ACH-000078,-0.102582070055
ACH-000082,-0.012754112316600001
ACH-000085,-0.238837754354
ACH-000086,-0.10065023179600001
ACH-000087,-0.314517695244
ACH-000092,-0.152236700912
ACH-000095,0.0365179606832
ACH-000097,-0.0541498212375
ACH-000098,-0.245578367059
ACH-000099,-0.027537192026200003
ACH-000108,-0.23335711839200002
ACH-000113,-0.333425897779
ACH-000115,-0.048305238269999995
ACH-000116,-0.11399446928899999
ACH-000118,-0.129523984352
ACH-000120,0.111277375207
ACH-000123,-0.011393079265999998
ACH-000127,-0.07517897695310001
ACH-000128,-0.196740466105
ACH-000132,-0.0214530749688
ACH-000133,-0.129412492487
ACH-000137,0.141248582313
ACH-000138,-0.048379388345300006
ACH-000142,-0.17285028236699998
ACH-000143,-0.126137226645
ACH-000146,-0.08230785479160001
ACH-000148,-0.11860941386499999
ACH-000150,-0.159969022234
ACH-000152,-0.153349875643
ACH-000153,-0.638905130026
ACH-000159,0.0211742868413
ACH-000160,-0.201173959516
ACH-000163,0.022418590812900003
ACH-000167,-0.37300162528399994
ACH-000168,-0.208116230508
ACH-000169,-0.0933330558773
ACH-000178,-0.154917295653
ACH-000182,0.04827283306340001
ACH-000183,-0.291319652548
ACH-000188,-0.265567037044
ACH-000189,-0.25003938663499997
ACH-000190,0.0633704123757
ACH-000198,-0.193943626716
ACH-000204,-0.313579085357
ACH-000206,-0.444071219059
ACH-000207,-0.286159167067
ACH-000211,-0.0371500662253
ACH-000215,-0.174668473404
ACH-000221,-0.071260778723
ACH-000222,-0.0343533232659
ACH-000223,-0.112106996838
ACH-000226,-0.141583844802
ACH-000227,-0.0501878130962
ACH-000228,-0.00311789281167
ACH-000231,-0.18110083994600001
ACH-000232,-0.158736484596
ACH-000233,-0.269342433365
ACH-000234,-0.124310825789
ACH-000235,-0.140494052935
ACH-000237,0.060516710228
ACH-000238,-0.21349902652
ACH-000243,-0.06362826401459999
ACH-000244,-0.0968667087844
ACH-000246,-0.087573170799
ACH-000248,-0.35055009933799997
ACH-000250,-0.13862020726500002
ACH-000251,-0.36655983173
ACH-000253,-0.07976669611250001
ACH-000255,0.0016363979282100001
ACH-000256,-0.0696621449238
ACH-000257,-0.0621195544711
ACH-000258,0.0922235647726
ACH-000259,-0.07209515220269999
ACH-000260,-0.230254321767
ACH-000261,-0.12322785797800001
ACH-000262,-0.0937094860888
ACH-000263,-0.41515532210999995
ACH-000264,-0.0471863911907
ACH-000265,-0.007666537512470001
ACH-000266,-0.18042511175
ACH-000272,-0.133820809839
ACH-000273,-0.09018631152889998
ACH-000274,-0.0117648902703
ACH-000277,0.0024119053716100004
ACH-000278,-0.0787095634578
ACH-000279,-0.202716969306
ACH-000280,-0.07551476653530001
ACH-000281,-0.08468396515689999
ACH-000288,-0.17373742972
ACH-000291,-0.038821371575800005
ACH-000293,-0.48553794964900004
ACH-000294,-0.06446568384990001
ACH-000295,0.0764666728437
ACH-000296,-0.21790641146499998
ACH-000302,0.0262901668547
ACH-000304,-0.0518808678545
ACH-000307,-0.026613222185800003
ACH-000308,-0.013826890879600002
ACH-000310,-0.263641368517
ACH-000311,0.236648827913
ACH-000312,-0.152283570805
ACH-000315,-0.27402744958
ACH-000316,0.0506848539004
ACH-000317,-0.200123386442
ACH-000318,-0.0562282658296
ACH-000319,-0.35967540310699997
ACH-000320,0.0149652166315
ACH-000322,0.00755704236122
ACH-000323,-0.219365802887
ACH-000324,-0.229630937268
ACH-000329,-0.13596625891300002
ACH-000330,-0.0343501519123
ACH-000331,-0.159638654714
ACH-000332,-0.0066312319516100005
ACH-000334,-0.158586585743
ACH-000335,-0.143375327413
ACH-000336,-0.397263180585
ACH-000337,0.00430122408707
ACH-000339,-0.0214665784109
ACH-000341,-0.20127129849
ACH-000348,-0.108239688483
ACH-000350,0.064276840736
ACH-000352,-0.10571233520199999
ACH-000356,0.123337894535
ACH-000361,-0.0295913376909
ACH-000362,-0.163605252687
ACH-000363,-0.231243444463
ACH-000364,-0.271447559359
ACH-000365,0.056709754818199995
ACH-000366,-0.17351913877
ACH-000368,-0.236235628632
