,HMBS (3145)
ACH-000004,-0.27906090102
ACH-000007,-0.0782144842459
ACH-000009,-0.167480582846
ACH-000011,0.050475560526199996
ACH-000012,-0.36642455009900005
ACH-000013,-0.14941637091600002
ACH-000014,-0.195269865364
ACH-000015,-0.16429369387599999
ACH-000017,-0.376667903708
ACH-000018,-0.481580812821
ACH-000019,-0.487150382928
ACH-000021,-0.228590991252
ACH-000022,-0.31956034803399996
ACH-000025,-0.40942030085500003
ACH-000028,-0.540596930698
ACH-000030,-0.8057325447660001
ACH-000035,-0.244195189366
ACH-000036,-0.118839084551
ACH-000037,-0.447678932734
ACH-000039,-0.047232869001199995
ACH-000040,-0.42388807385
ACH-000041,-0.43703327351800003
ACH-000042,-0.237164205966
ACH-000045,-0.512071752442
ACH-000047,-0.7157592164509999
ACH-000052,-0.373422410885
ACH-000053,-0.254473480894
ACH-000054,-0.141892259753
ACH-000055,0.0662680626231
ACH-000060,-0.148046296558
ACH-000067,0.0398486008627
ACH-000070,-0.210143390799
ACH-000075,-0.048057122148
ACH-000078,-0.05078740697240001
ACH-000082,-0.150141831175
ACH-000085,-0.37324862261999997
ACH-000086,-0.331504525952
ACH-000087,-0.315876543512
ACH-000092,-0.451871987263
ACH-000095,-0.13449927999199998
ACH-000097,-0.349037335377
ACH-000098,-0.248640773957
ACH-000099,-0.31035194345
ACH-000108,-0.25546110484900003
ACH-000113,-0.867371353462
ACH-000115,-0.304449214369
ACH-000116,-0.321841809581
ACH-000118,-0.5772917065209999
ACH-000120,-0.175242476246
ACH-000123,0.09776591309289999
ACH-000127,-0.25222217154300003
ACH-000128,0.00922419390051
ACH-000132,-0.23313817002599999
ACH-000133,-0.0694746652928
ACH-000137,-0.41087638227
ACH-000138,-0.515320711481
ACH-000142,-0.300816421288
ACH-000143,-0.493550906034
ACH-000146,-0.43517846664099996
ACH-000148,-0.118194523806
ACH-000150,-1.04392921466
ACH-000152,-0.37885640860200004
ACH-000153,-0.330069255143
ACH-000159,-0.33366530948
ACH-000160,-0.504849696145
ACH-000163,-0.21972875625799998
ACH-000167,-0.5573777844919999
ACH-000168,-0.30415512208
ACH-000169,-0.375482498034
ACH-000178,-0.19268030709399997
ACH-000182,-0.20792293971099998
ACH-000183,-0.60582558202
ACH-000188,-0.11424344344699999
ACH-000189,-0.319195351139
ACH-000190,-0.725821652365
ACH-000198,-0.7446972398549999
ACH-000204,-0.08947866166889999
ACH-000206,-0.307928140545
ACH-000207,-0.493308871172
ACH-000211,-0.211905450656
ACH-000215,-0.260076659884
ACH-000221,-0.9961245785519999
ACH-000222,-0.12324818919500001
ACH-000223,-0.26172716150499997
