,SOD1 (6647)
ACH-000004,-1.08850797596
ACH-000007,-1.84429106836
ACH-000009,-1.5692943712399998
ACH-000011,-1.61267200095
ACH-000012,-1.39809868104
ACH-000013,-1.7232610673599997
ACH-000014,-1.38286741349
ACH-000015,-1.5051662707299998
ACH-000017,-1.5825340195
ACH-000018,-1.9874587895900002
ACH-000019,-1.28231581426
ACH-000021,-1.24450955415
ACH-000022,-1.72336623854
ACH-000025,-1.3859373743099999
ACH-000028,-1.7294435695200001
ACH-000030,-1.53833890658
ACH-000035,-1.5842717032700002
ACH-000036,-1.6720444906099998
ACH-000037,-1.23702780831
ACH-000039,-1.6540207396200002
ACH-000040,-1.4947334545200002
ACH-000041,-1.81439288817
ACH-000042,-1.80905149692
ACH-000045,-1.7265918219299998
ACH-000047,-1.57101723805
ACH-000052,-1.59825548008
ACH-000053,-1.26107826019
ACH-000054,-1.19046906412
ACH-000055,-1.5852402458500001
ACH-000060,-1.7040318790600002
ACH-000067,-1.36548453808
ACH-000070,-1.7526879586099997
ACH-000075,-1.42774351541
ACH-000078,-1.9687539908400002
ACH-000082,-1.69810562907
ACH-000085,-1.5810595818200002
ACH-000086,-1.38994567074
ACH-000087,-1.55948935363
ACH-000092,-1.5333985625400002
ACH-000095,-1.04334886912
ACH-000097,-1.77215409977
ACH-000098,-1.68108792539
ACH-000099,-1.69393354705
ACH-000108,-1.4202438302200002
ACH-000113,-1.06984746292
ACH-000115,-0.629174076876
ACH-000116,-1.61784322401
ACH-000118,-0.8075019517990001
ACH-000120,-1.56517300421
ACH-000123,-1.54941232641
ACH-000127,-1.60682680633
ACH-000128,-1.3699122817899998
ACH-000132,-1.60818953937
ACH-000133,-1.4786268915799998
ACH-000137,-1.5884881816
ACH-000138,-1.7073012883
ACH-000142,-1.7681388118999999
ACH-000143,-1.43094277916
ACH-000146,-1.10973704434
ACH-000148,-1.9339465147
ACH-000150,-1.7311567299700001
ACH-000152,-2.07218852826
ACH-000153,-1.59219531153
ACH-000159,-1.9621287434299999
ACH-000160,-1.73008249208
ACH-000163,-1.5257063327399998
ACH-000167,-1.89108029462
ACH-000168,-1.6803471025499999
ACH-000169,-1.70505515477
ACH-000178,-1.5727164428
ACH-000182,-1.41962341748
ACH-000183,-1.64188402954
ACH-000188,-1.70110806111
ACH-000189,-1.2011915876100001
ACH-000190,-1.9022666679900002
ACH-000198,-1.43289233103
ACH-000204,-1.64757129747
ACH-000206,-1.47377513574
ACH-000207,-0.8266256059729999
ACH-000211,-1.7938149531999998
ACH-000215,-1.7327127208200002
ACH-000221,-1.9085375789400003
ACH-000222,-1.58214731243
ACH-000223,-1.6444832129700002
ACH-000226,-1.4022323882499999
ACH-000227,-1.4700953021399998
ACH-000228,-1.62627627716
ACH-000231,-1.52301682192
ACH-000232,-1.5688333191
ACH-000233,-1.59673564931
ACH-000234,-1.8262329348700002
ACH-000235,-1.65040532572
ACH-000237,-1.83326016315
ACH-000238,-1.73443979301
ACH-000243,-1.5714918281499999
ACH-000244,-1.59297942537
ACH-000246,-1.66721755682
ACH-000248,-1.42381948871
ACH-000250,-1.7457804408000002
ACH-000251,-1.4282493209
ACH-000253,-1.7688631962599999
ACH-000255,-1.4901263478100002
ACH-000256,-1.71459230632
