,PIP5KL1 (138429)
ACH-000004,-0.253227721335
ACH-000007,-0.18228821281500002
ACH-000009,-0.153440807766
ACH-000011,-0.149335244671
ACH-000012,-0.238234458577
ACH-000013,-0.22879996924
ACH-000014,0.0245566149137
ACH-000015,-0.215844327323
ACH-000017,-0.0290444574652
ACH-000018,-0.024797677815099995
ACH-000019,-0.0706466400307
ACH-000021,-0.18527129706599998
ACH-000022,-0.25164009436
ACH-000025,-0.08439579624320001
ACH-000028,0.17008323423799998
ACH-000030,-0.0895427635059
ACH-000035,0.00928020313289
ACH-000036,0.105821347652
ACH-000037,-0.261806788656
ACH-000039,-0.242177395929
ACH-000040,-0.38285933659599997
ACH-000041,-0.0806302163627
ACH-000042,-0.18499781197700002
ACH-000045,-0.0906969084335
ACH-000047,-0.18907774788400003
ACH-000052,-0.21988108507399998
ACH-000053,0.047114757177400005
ACH-000054,0.0786411220509
ACH-000055,-0.12868967106899998
ACH-000060,-0.128963032506
ACH-000067,0.0500869980724
ACH-000070,0.0746710508068
ACH-000075,-0.144022431174
ACH-000078,-0.0958490196536
ACH-000082,0.0534656591748
ACH-000085,-0.11879027536499999
ACH-000086,-0.123810860625
ACH-000087,-0.352309838436
ACH-000092,-0.05698450934169999
ACH-000095,-0.0342954754785
ACH-000097,0.0118714881021
ACH-000098,-0.00325651411523
ACH-000099,-0.0565709011845
ACH-000108,-0.07021669319460001
ACH-000113,-0.059663704780099996
ACH-000115,-0.257323022512
ACH-000116,-0.135917175022
ACH-000118,-0.199818516925
ACH-000120,0.0330902086876
ACH-000123,-0.0763181703377
ACH-000127,0.041019914642099996
ACH-000128,0.110029067291
ACH-000132,-0.0419276688516
ACH-000133,-0.14734699732599998
ACH-000137,0.161648239385
ACH-000138,-0.22962909576499999
ACH-000142,-0.253920735815
ACH-000143,-0.0680591306648
ACH-000146,0.027419471931500003
ACH-000148,-0.17113629519499998
ACH-000150,-0.0287740414089
ACH-000152,-0.0419160371169
ACH-000153,-0.197573988075
ACH-000159,-0.0385507987241
ACH-000160,-0.0856633935087
ACH-000163,-0.310507151008
ACH-000167,-0.11038140045700001
ACH-000168,-0.119074757435
ACH-000169,-0.147854609776
ACH-000178,-0.07624747969449999
ACH-000182,-0.055656146355
ACH-000183,-0.00522193550474
ACH-000188,-0.226033535872
ACH-000189,-0.380517844569
ACH-000190,-0.255552429367
ACH-000198,0.0132909514689
ACH-000204,-0.012805016597200002
ACH-000206,0.054230750768400005
ACH-000207,-0.0321521617925
ACH-000211,0.0098156785303
ACH-000215,-0.0655182523436
ACH-000221,0.07798392381210001
ACH-000222,-0.00692351133817
ACH-000223,-0.137577681422
ACH-000226,-0.00459188553669
ACH-000227,0.040776081470199996
