,EFR3A (23167)
ACH-000004,-0.902297568194
ACH-000007,-1.0746963491700001
ACH-000009,-0.07058690668619999
ACH-000011,-0.900634766981
ACH-000012,-0.607849027302
ACH-000013,-0.0300793204256
ACH-000014,-0.09570945963230001
ACH-000015,-0.014089812246799999
ACH-000017,-0.11945026038699999
ACH-000018,-0.845786381903
ACH-000019,0.136797814665
ACH-000021,-0.7378084803180001
ACH-000022,-0.594967250458
ACH-000025,-0.8085829723219999
ACH-000028,0.10011050398600001
ACH-000030,-0.875501621244
ACH-000035,-0.823214094593
ACH-000036,-0.227730719542
ACH-000037,-0.28277082338599996
ACH-000039,-0.415926188626
ACH-000040,-0.600924758387
ACH-000041,-0.395782092756
ACH-000042,-0.7139690697669999
ACH-000045,-0.223148075259
ACH-000047,-0.467624099134
ACH-000052,-0.89233539956
ACH-000053,0.08012806817939999
ACH-000054,-0.927069852044
ACH-000055,-0.228326993525
ACH-000060,-0.71472652491
ACH-000067,-0.7000909032529999
ACH-000070,-0.572568146545
ACH-000075,-0.0613820545481
ACH-000078,0.22848810852899998
ACH-000082,-0.27400311355
ACH-000085,-0.752183570558
ACH-000086,-0.313538507921
ACH-000087,-0.18184210385299998
ACH-000092,-0.239711558538
ACH-000095,-0.161098823647
ACH-000097,0.17350768037
ACH-000098,0.069058013847
ACH-000099,0.0699048482275
ACH-000108,-1.05346791548
ACH-000113,-0.6659488741290001
ACH-000115,-0.00681857849439
ACH-000116,-0.130785034267
ACH-000118,-0.8234194860840001
ACH-000120,0.0351991718018
ACH-000123,-0.0868904967736
ACH-000127,-0.353870242171
ACH-000128,-0.11272017320000001
ACH-000132,-0.903651630116
ACH-000133,-0.497371205128
ACH-000137,-0.706390710193
ACH-000138,-0.979258025208
ACH-000142,-0.60734536282
ACH-000143,-0.18262096564599997
ACH-000146,0.041117240419
ACH-000148,-0.252183271221
ACH-000150,-0.09814111269310001
ACH-000152,-0.982291613235
ACH-000153,-0.204050569302
ACH-000159,-0.145086319566
ACH-000160,-0.37505672141699997
ACH-000163,-0.08166932812660001
ACH-000167,-0.601802618315
ACH-000168,-0.495416276443
ACH-000169,-0.0104763494562
ACH-000178,-0.035841211083699996
ACH-000182,-0.755032071049
ACH-000183,-0.0625987875646
ACH-000188,-0.6657018826609999
ACH-000189,-0.457048699592
ACH-000190,-0.101211059868
ACH-000198,-0.767250228738
ACH-000204,-0.8953485730060001
ACH-000206,-0.464103292226
ACH-000207,-0.535598875198
ACH-000211,-0.0031800573634699998
ACH-000215,-0.744692508865
ACH-000221,0.118631298323
ACH-000222,-0.638592964692
ACH-000223,-0.598713550189
ACH-000226,-0.031078242199400002
ACH-000227,-0.136970925306
ACH-000228,-1.06563919683
ACH-000231,0.083416951987
ACH-000232,-0.183017782356
ACH-000233,0.00855759971111
ACH-000234,-0.281144003664
ACH-000235,-0.9450086122700001
ACH-000237,-0.987698747375
ACH-000238,-0.924042413047
ACH-000243,-0.0929998566189
ACH-000244,-0.139586706993
ACH-000246,-0.322524555375
