,SERBP1 (26135)
ACH-000004,-0.414702369658
ACH-000007,-0.832550656519
ACH-000009,-0.65329919777
ACH-000011,-0.8866085099969999
ACH-000012,-0.646107525916
ACH-000013,-0.775283198486
ACH-000014,-0.7885078427619999
ACH-000015,-0.71968590807
ACH-000017,-0.456286712122
ACH-000018,-0.48950896373499997
ACH-000019,-0.76003467454
ACH-000021,-0.952384645591
ACH-000022,-0.7167002193179999
ACH-000025,-0.782362364656
ACH-000028,-0.8456939839380001
ACH-000030,-0.540530725264
ACH-000035,-0.385773797099
ACH-000036,-0.736808280805
ACH-000037,-0.527416749259
ACH-000039,-0.689797767577
ACH-000040,-0.488444075483
ACH-000041,-0.702413855889
ACH-000042,-0.36007674240599996
ACH-000045,-0.537216495819
ACH-000047,-0.522669260523
ACH-000052,-0.7404710859289999
ACH-000053,-0.471995735731
ACH-000054,-0.5661300966430001
ACH-000055,-0.79081484655
ACH-000060,-0.284083827528
ACH-000067,-0.478996207047
ACH-000070,-1.00561672108
ACH-000075,-0.613467543494
ACH-000078,-0.917925509326
ACH-000082,-0.244310036902
ACH-000085,-0.7386933791850001
ACH-000086,-0.9150069060670001
ACH-000087,-0.881757063286
ACH-000092,-0.8322650466629999
ACH-000095,-0.46087136750299995
ACH-000097,-0.9041928986799999
ACH-000098,-0.740608326384
ACH-000099,-0.771916301354
ACH-000108,-0.437107178659
ACH-000113,-0.508575954664
ACH-000115,-0.45465247592
ACH-000116,-0.25071669009799996
ACH-000118,-0.47128797242700005
ACH-000120,-0.7669003354620001
ACH-000123,-0.901513098389
ACH-000127,-0.590429554735
ACH-000128,-0.7473690574330001
ACH-000132,-0.594098390098
ACH-000133,-0.46545883917900005
ACH-000137,-0.516249696207
ACH-000138,-0.82707358091
ACH-000142,-0.620539698228
ACH-000143,-0.661182724227
ACH-000146,-0.147656198533
ACH-000148,-0.7074606783570001
ACH-000150,-0.531259024321
ACH-000152,-0.741018342116
ACH-000153,-0.6840307144750001
ACH-000159,-0.794494671066
ACH-000160,-0.515065123229
ACH-000163,-1.19271887589
ACH-000167,-0.432708727123
ACH-000168,-0.465048787368
ACH-000169,-0.54821050585
ACH-000178,-0.614041715186
ACH-000182,-0.574349589582
ACH-000183,-0.7308899385850001
ACH-000188,-0.79363059312
ACH-000189,-0.0606703025384
ACH-000190,-0.658800851302
ACH-000198,-0.786073748238
ACH-000204,-0.220541749845
ACH-000206,-1.3114006680799999
ACH-000207,-1.06306747458
ACH-000211,-0.661952494167
ACH-000215,-0.6937464971889999
ACH-000221,-0.9554012364910001
ACH-000222,-0.749943956665
ACH-000223,-0.721600140202
ACH-000226,-0.676935952019
ACH-000227,-0.875065621853
ACH-000228,-0.400323386444
ACH-000231,-0.777758690802
ACH-000232,-0.681608684691
ACH-000233,-0.355817367722
ACH-000234,-0.744378880641
ACH-000235,-0.412891661777
ACH-000237,-1.02724794316
ACH-000238,-0.9728421880500001
ACH-000243,-0.45017788645900003
ACH-000244,-0.5933986645489999
ACH-000246,-0.7113248160690001
ACH-000248,-0.8321993182709999
ACH-000250,-0.648427518266
ACH-000251,-0.8280935966680001
ACH-000253,-0.375114677851
ACH-000255,-0.54520093026
ACH-000256,-0.763134487951
ACH-000257,-0.7061640524160001
ACH-000258,-0.764491607565
ACH-000259,-0.39061695098300003
ACH-000260,-0.566510176813
ACH-000261,-0.7419022004870001
ACH-000262,-0.6675808467350001
ACH-000263,-0.668751320484
ACH-000264,-0.681854855076
ACH-000265,-0.8290819446340001
ACH-000266,-0.258961063779
ACH-000272,-0.727952704683
ACH-000273,-0.23154355394200002
ACH-000274,-0.57677798411
ACH-000277,-0.418904438271
ACH-000278,-0.427955050545
ACH-000279,-0.592260032603
ACH-000280,-0.445671708698
ACH-000281,-0.776108790653
ACH-000288,-0.46311531876900003
ACH-000291,-1.0729965757200002
ACH-000293,-0.443604266162
ACH-000294,-0.678015854206
ACH-000295,-0.356031729814
ACH-000296,-0.7466751767350001
ACH-000302,-0.543917129131
