,NANP (140838)
ACH-000004,-0.14548915398700002
ACH-000007,-0.303551963215
ACH-000009,0.192734701187
ACH-000011,-0.289421244654
ACH-000012,-0.0875947951877
ACH-000013,0.07711764405
ACH-000014,-0.0680624743
ACH-000015,0.161624671465
ACH-000017,-0.0977035595223
ACH-000018,0.038132143476
ACH-000019,-0.0543286645629
ACH-000021,0.010775128455000001
ACH-000022,0.156945816063
ACH-000025,0.152397512907
ACH-000028,0.031531346296799996
ACH-000030,0.0183810607292
ACH-000035,-0.208728559409
ACH-000036,0.0397472330762
ACH-000037,0.10643861755
ACH-000039,-0.0293653708315
ACH-000040,-0.113335784727
ACH-000041,0.37769129785899996
ACH-000042,0.022601500990599998
ACH-000045,0.21332730354200002
ACH-000047,-0.06387909072890001
ACH-000052,-0.211745253209
ACH-000053,0.107909131316
ACH-000054,-0.05892565909
ACH-000055,-0.151223550166
ACH-000060,-0.189364486941
ACH-000067,-0.297356103218
ACH-000070,0.0216680650591
ACH-000075,-0.0635123690209
ACH-000078,0.0470273997372
ACH-000082,-0.056305960998
ACH-000085,0.12283763785
ACH-000086,0.18673425000500002
ACH-000087,-0.297218525942
ACH-000092,0.061710229351699994
ACH-000095,-0.13926919522700001
ACH-000097,0.00164492557703
ACH-000098,-0.005249633170159999
ACH-000099,0.0398050249373
ACH-000108,0.0770148386866
ACH-000113,0.0010061879546000001
ACH-000115,0.0980265693825
ACH-000116,-0.015204053344
ACH-000118,0.0019131657324200002
ACH-000120,-0.035136702779300005
ACH-000123,-0.0597230601253
ACH-000127,0.0547780658533
ACH-000128,-0.106774260011
ACH-000132,0.0821037160597
ACH-000133,-0.150533382117
ACH-000137,-0.359539426246
ACH-000138,-0.0102483720358
ACH-000142,0.205754915209
ACH-000143,-0.176305878779
ACH-000146,-0.00100530699798
ACH-000148,-0.121408368298
ACH-000150,-0.010212286630100001
ACH-000152,-0.0229459254841
ACH-000153,0.278766117346
ACH-000159,-0.07097668266089999
ACH-000160,-0.0706084650531
ACH-000163,0.09028542364730001
ACH-000167,-0.246744845497
ACH-000168,0.10206514967000001
ACH-000169,0.0263274636088
ACH-000178,-0.0850069088632
ACH-000182,-0.041037137942
ACH-000183,0.0851993121637
ACH-000188,0.021354209058900002
ACH-000189,-0.044010968035699996
ACH-000190,-0.15428106531400002
ACH-000198,-0.0228314206732
ACH-000204,-0.0853302002916
ACH-000206,0.11578680779200001
ACH-000207,-0.0316869853205
ACH-000211,-0.07090959250869999
ACH-000215,0.0137633124162
ACH-000221,-0.0179722086063
ACH-000222,-0.19695535636199998
ACH-000223,-0.005294449031729999
ACH-000226,-0.108131406473
ACH-000227,-0.19614625917800002
ACH-000228,-0.0110212405646
ACH-000231,-0.0358294520634
ACH-000232,-0.141877486217
ACH-000233,0.0690248935873
ACH-000234,-0.09106725854699999
