,SLC25A22 (79751)
ACH-000461,-0.145195505393
ACH-000463,-0.306171265361
ACH-000464,-0.35553559422200004
ACH-000466,-0.323973513709
ACH-000467,-0.5185771840910001
ACH-000468,-0.20741623949299998
ACH-000469,-0.518346665819
ACH-000470,-0.288574656423
ACH-000471,-0.232716091477
ACH-000472,-0.413923153279
ACH-000473,-0.361085865074
ACH-000475,-0.241419458799
ACH-000476,-0.366040422583
ACH-000477,-0.37289435755999994
ACH-000480,-0.46385799820900003
ACH-000481,-0.50959739915
ACH-000483,-0.409625848441
ACH-000484,-0.06741258644340001
ACH-000485,-0.210610108352
ACH-000486,-0.241459127625
ACH-000487,-0.444017593374
ACH-000488,-0.476537025
ACH-000490,-0.328596340182
ACH-000491,-0.34791730634400003
ACH-000495,-0.594560816759
ACH-000496,-0.349403151213
ACH-000499,-0.45499345444
ACH-000500,-0.546078427871
ACH-000502,-0.671639807305
ACH-000503,-0.431519886985
ACH-000505,-0.33804210551799996
ACH-000507,-0.32902883091999996
ACH-000510,-0.397347574049
ACH-000511,-0.301229383108
ACH-000512,-0.329436075209
ACH-000516,-0.345253460689
ACH-000517,-0.24860975626200002
ACH-000518,-0.30910701736699997
ACH-000520,-0.396083775528
ACH-000521,-0.358241766842
ACH-000522,-0.25874210721
ACH-000524,-0.186268997577
ACH-000527,-0.293000150351
ACH-000528,-0.244090060723
ACH-000537,-0.436901623762
ACH-000541,-0.322127245774
ACH-000542,-0.29453122987
ACH-000544,-0.486901084792
ACH-000545,-0.26341503830400004
ACH-000547,0.0235551239783
ACH-000548,-0.278246665122
ACH-000549,-0.33013601825399996
ACH-000550,-0.361438888506
ACH-000552,-0.399018957749
ACH-000556,-0.441944864718
ACH-000557,-0.396574923244
ACH-000570,-0.30592131293
ACH-000571,-0.560717818155
ACH-000573,-0.27825917713799997
ACH-000576,-0.399368235208
ACH-000580,-0.13440125377999998
ACH-000584,-0.459899127428
ACH-000585,-0.23062198035999998
ACH-000588,-0.655095157025
ACH-000589,-0.164949621268
ACH-000591,-0.34360286952299995
ACH-000593,-0.393136746034
ACH-000600,-0.166752773767
ACH-000601,-0.6140437130049999
ACH-000604,-0.10995545523900001
ACH-000605,-0.10144536080800001
ACH-000606,-0.11958891919299999
ACH-000608,-0.43876282676600004
ACH-000614,-0.498785035608
ACH-000616,-0.28971910321899996
ACH-000618,-0.368982547632
ACH-000619,-0.637838402704
ACH-000620,-0.299182922778
ACH-000621,-0.340848565593
ACH-000622,-0.33824391785499996
ACH-000623,-0.454357771023
ACH-000624,-0.184660189395
ACH-000627,-0.245729967258
ACH-000630,-0.16931474027399998
ACH-000632,-0.551287500133
ACH-000633,-0.30909409163199997
ACH-000637,-0.356784655247
ACH-000638,-0.543352657923
ACH-000646,-0.492728746441
ACH-000647,-0.440503157704
ACH-000648,-0.6609724373929999
ACH-000649,-0.183460356814
ACH-000651,-0.269871393134
ACH-000652,-0.13021174859999998
ACH-000653,-0.294301992113
ACH-000657,-0.210900419147
ACH-000658,-0.725441175438
ACH-000661,-0.358523326199
ACH-000662,-0.619572043564
ACH-000663,-0.23206242850000003
ACH-000665,-0.361985853166
ACH-000671,-0.327391355138
ACH-000673,-0.370205090991
ACH-000676,-0.5224483605870001
ACH-000677,-0.415446147342
ACH-000681,-0.41091469845600004
ACH-000682,-0.319680147981
ACH-000683,-0.25980107289
ACH-000684,-0.380290602302
ACH-000688,-0.36757408827
ACH-000693,-0.261443979697
ACH-000694,-0.225147360917
ACH-000695,-0.18342901327199998
ACH-000696,-0.298737779338
ACH-000697,-0.562627418174
ACH-000699,-0.477155909147
ACH-000701,-0.384664287846
ACH-000706,-0.24725544418900003
ACH-000711,-0.26226923463
ACH-000713,-0.215911858824
ACH-000714,-0.486021018002
ACH-000718,-0.300906506633
ACH-000720,-0.28237274591600003
ACH-000721,-0.252666062404
ACH-000724,-0.330851142462
ACH-000725,-0.24555342238800001
ACH-000732,-0.218923716457
ACH-000734,-0.46511368024899996
ACH-000735,-0.26717157477200004
ACH-000736,-0.397678623837
ACH-000738,-0.20356181123199998
ACH-000746,-0.24306676543000003
ACH-000747,-0.7618725215180001
ACH-000748,-0.2095938675
ACH-000753,-0.40727127344400005
ACH-000756,-0.307598374979
ACH-000757,-0.366411636639
ACH-000758,-0.24873173053000003
ACH-000760,-0.334876254936
ACH-000763,-0.303774086689
ACH-000764,0.0134711746823
ACH-000765,-0.477154797237
ACH-000766,-0.226886996612
ACH-000767,-0.399417638997
ACH-000768,-0.23619201992199998
ACH-000769,-0.287682468437
ACH-000770,-0.263104120941
ACH-000771,-0.246954303964
ACH-000773,-0.438814516668
ACH-000776,-0.18690604985599998
ACH-000777,-0.175780866197
ACH-000778,-0.20214303956000002
ACH-000781,-0.28946241090999997
ACH-000782,-0.219043652478
ACH-000783,-0.267956988787
ACH-000784,-0.211763418858
ACH-000785,-0.24505196386599998
ACH-000787,-0.45228315427199994
ACH-000788,-0.453231121901
ACH-000791,-0.362067235473
ACH-000792,-0.494355020475
ACH-000794,-0.216027741184
ACH-000796,-0.343413358141
ACH-000799,-0.31015197345
ACH-000800,-0.404922498072
ACH-000802,-0.132399631795
ACH-000804,-0.700964057792
ACH-000805,-0.695854169529
ACH-000809,-0.33863346061300004
ACH-000810,-0.303962446522
ACH-000811,-0.400316723706
ACH-000817,-0.893077034515
ACH-000819,-0.437809040915
ACH-000820,-0.5324734929899999
ACH-000821,-0.536006300951
ACH-000822,-0.663779919736
ACH-000823,-0.16010631550100002
ACH-000824,-0.369880563772
ACH-000827,-0.5106767098080001
ACH-000829,-0.41311232953599997
ACH-000831,-0.31375768128000003
ACH-000832,-0.10080227183599999
ACH-000833,-0.416106024204
ACH-000834,-0.520207563086
ACH-000835,-0.292714983334
ACH-000836,-0.196931368803
ACH-000837,-0.351164742008
ACH-000838,-0.529326549451
ACH-000839,-0.39307540759099996
ACH-000840,-0.298249385556
ACH-000841,-0.417867788255
ACH-000843,-0.47898839720299996
ACH-000846,-0.0923863525463
ACH-000847,-0.248926737256
ACH-000848,-0.23211987800099998
ACH-000849,-0.343720335652
ACH-000851,-0.11412033051899999
ACH-000855,-0.223242888782
ACH-000856,-0.563440325409
ACH-000858,-0.33707072879
ACH-000859,-0.38844223159900004
ACH-000861,-0.144667836268
ACH-000862,-0.191965141836
ACH-000865,-0.26687601618
ACH-000866,-0.408481298817
ACH-000867,-0.374776618228
ACH-000869,-0.3261858097
ACH-000872,-0.398282012888
ACH-000873,-0.0409425903253
ACH-000876,-0.252832640439
ACH-000878,-0.344615977094
ACH-000880,-0.588642146197
ACH-000881,-0.439671380524
ACH-000882,-0.7637529556110001
ACH-000884,-0.233602442394
ACH-000885,-0.226217489494
ACH-000887,-0.389833145562
