,CDC7 (8317)
ACH-000459,-1.3952378527899998
ACH-000460,-1.57476695169
ACH-000461,-1.72249230905
ACH-000463,-1.3671269058700002
ACH-000464,-1.4786958884099999
ACH-000466,-1.4684843331200002
ACH-000467,-1.45923877171
ACH-000468,-1.10536095669
ACH-000469,-1.79702003949
ACH-000470,-2.10752360307
ACH-000471,-1.25904244013
ACH-000472,-1.18091050055
ACH-000473,-1.33149499079
ACH-000475,-1.37141576764
ACH-000476,-1.56331355666
ACH-000477,-2.02935481509
ACH-000480,-1.31076116795
ACH-000481,-1.9528619924400001
ACH-000483,-1.5981597351499999
ACH-000484,-1.6104621832
ACH-000485,-1.6168942779799997
ACH-000486,-1.4992870405399998
ACH-000487,-1.42984346651
ACH-000488,-1.29074524355
ACH-000490,-1.2067222621
ACH-000491,-1.73070685651
ACH-000495,-0.8867414449709999
ACH-000496,-1.39677432389
ACH-000499,-1.4857732099
ACH-000500,-1.5539356693000002
ACH-000502,-1.62800955943
ACH-000503,-1.67600598688
ACH-000505,-1.3489139136000001
ACH-000507,-1.4002245816699999
ACH-000510,-1.4697769997299999
ACH-000511,-1.69026319558
ACH-000512,-1.68530087158
ACH-000516,-1.38764037389
ACH-000517,-1.71421737745
ACH-000518,-1.39646999657
ACH-000520,-1.40644033623
ACH-000521,-1.47444922375
ACH-000522,-1.48095764086
ACH-000524,-1.4892042266999999
ACH-000527,-1.58589699579
ACH-000528,-1.32926616055
ACH-000537,-1.5661888479600001
ACH-000541,-1.5676373971000002
ACH-000542,-1.56343527243
ACH-000544,-1.06556661552
ACH-000545,-1.38874561712
ACH-000547,-1.1700581775399999
ACH-000548,-0.9888596003710001
ACH-000549,-1.12935537235
ACH-000550,-1.4407890183
ACH-000552,-1.3769584417899998
ACH-000556,-1.2509773734
ACH-000557,-1.5122598954799997
ACH-000570,-1.4444193120299997
ACH-000571,-1.5329354407799998
ACH-000573,-1.68749809357
ACH-000576,-1.4528475799899998
ACH-000580,-1.6049791483700002
ACH-000584,-1.42401038145
ACH-000585,-1.8258444729299999
ACH-000588,-1.4472732231
ACH-000589,-1.3603288510499998
ACH-000591,-1.46896250414
ACH-000593,-1.30882155429
ACH-000600,-1.4853900938799998
ACH-000601,-1.3499193583000002
ACH-000604,-1.63761646532
ACH-000605,-1.46596101095
ACH-000606,-1.32994143439
ACH-000608,-1.56894346368
ACH-000614,-1.35465379195
ACH-000616,-1.43025363329
ACH-000618,-1.5357245780700002
ACH-000619,-1.33192683382
ACH-000620,-1.73861838409
ACH-000621,-1.81236251542
ACH-000622,-1.64705105496
ACH-000623,-1.7365523189200003
ACH-000624,-1.4664931548
ACH-000627,-1.38392694399
ACH-000630,-1.3497319981
ACH-000632,-1.2468123801100002
ACH-000633,-1.4108280866299998
ACH-000637,-1.43583290771
ACH-000638,-1.47827942124
ACH-000646,-1.54133916729
ACH-000647,-1.23997325438
ACH-000648,-1.66358299709
ACH-000649,-1.46565589089
ACH-000651,-1.5577951106799999
ACH-000652,-1.54204387004
ACH-000653,-1.71781459613
ACH-000657,-1.55871335391
ACH-000658,-1.4162374136899998
ACH-000661,-1.68026214508
ACH-000662,-1.4791332193399997
ACH-000663,-1.3999962504899999
ACH-000665,-1.37931613114
ACH-000671,-1.39363810872
ACH-000673,-1.4485890781
ACH-000676,-1.1310873308
ACH-000677,-1.47428823081
ACH-000681,-1.54530522625
ACH-000682,-1.42589261448
ACH-000683,-1.53625781441
ACH-000684,-1.1578002205
ACH-000688,-1.8076210218000002
ACH-000693,-1.4867976829799998
ACH-000694,-1.33281322463
ACH-000695,-1.03984604114
ACH-000696,-1.2915243913299999
ACH-000697,-1.3454959542700002
ACH-000699,-1.3496693915
ACH-000701,-1.5418002699700002
ACH-000706,-1.4160790327700001
ACH-000711,-1.480222828
ACH-000713,-1.2681867653
ACH-000714,-1.7302618276800001
ACH-000718,-1.6449692033599999
ACH-000720,-1.62706112913
ACH-000721,-1.38981031371
ACH-000724,-1.38202765694
ACH-000725,-1.6759758096200001
ACH-000732,-1.4280333471899997
ACH-000734,-1.64079540232
ACH-000735,-1.4019911706700001
ACH-000736,-1.6109929678400001
ACH-000738,-1.20095106015
ACH-000746,-1.8086503989400002
ACH-000747,-1.4831677940399999
ACH-000748,-1.4842212857400001
ACH-000753,-1.7067078798100002
ACH-000756,-1.2594036232999999
ACH-000757,-1.61694635348
ACH-000758,-1.33006362423
ACH-000760,-1.42879175254
ACH-000763,-1.6761490201299998
ACH-000764,-1.5638002371899997
ACH-000765,-1.31779885565
ACH-000766,-1.62126544944
ACH-000767,-1.72298605338
ACH-000768,-1.1751619062
ACH-000769,-1.68216409543
ACH-000770,-1.59902476238
ACH-000771,-1.38746252902
ACH-000773,-1.3371867034799998
ACH-000776,-1.40066658479
ACH-000777,-1.55056540155
ACH-000778,-1.59252639478
ACH-000781,-1.48629082968
ACH-000782,-1.52884088914
ACH-000783,-1.80592522868
ACH-000784,-1.36119514289
ACH-000785,-2.25267118385
ACH-000787,-1.5349038077200001
ACH-000788,-1.46080914632
ACH-000791,-1.53281154232
ACH-000792,-1.27748678256
ACH-000794,-1.5690548982199999
ACH-000796,-1.4662867723299997
ACH-000799,-1.23836292696
ACH-000800,-1.38748866655
ACH-000802,-1.4594835049500001
ACH-000804,-1.4526485238
ACH-000805,-1.54355043826
ACH-000809,-1.4479111765700001
ACH-000810,-1.52956244433
ACH-000811,-1.87214156698
ACH-000817,-1.64410270177
ACH-000819,-1.51080843925
ACH-000820,-1.4292894260799998
ACH-000821,-1.92292934507
ACH-000822,-1.43089056012
ACH-000823,-1.26199827234
ACH-000824,-1.2866168676899998
ACH-000827,-1.39320292375
ACH-000829,-1.3554606340600002
ACH-000831,-1.5101473114200001
ACH-000832,-1.31579499204
ACH-000833,-1.60529262639
ACH-000834,-1.68557195712
ACH-000835,-1.41051598579
ACH-000836,-1.82156953472
ACH-000837,-1.6718363723700003
ACH-000838,-1.3556038887200001
ACH-000839,-1.19441392569
ACH-000840,-1.27433636939
ACH-000841,-1.38216567805
ACH-000843,-1.53299148166
ACH-000846,-1.47809877848
ACH-000847,-1.21861165067
ACH-000848,-1.46663117913
ACH-000849,-1.32145717668
ACH-000851,-1.60354808871
ACH-000855,-1.31915782251
ACH-000856,-1.50244319809
ACH-000858,-1.5400137285799997
ACH-000859,-1.14733178941
ACH-000861,-1.8453457925099999
ACH-000862,-1.8087678437999999
ACH-000865,-1.5624358355
ACH-000866,-1.57891017532
ACH-000867,-1.69164740194
ACH-000869,-1.33223293089
ACH-000872,-1.4835627522
ACH-000873,-1.39585933629
ACH-000876,-1.40016888973
ACH-000878,-1.3212724326799998
ACH-000880,-1.47402896536
ACH-000881,-1.46067894246
ACH-000882,-1.50413870304
ACH-000884,-1.5005671509399998
ACH-000885,-1.52946080753
ACH-000887,-1.39894257508
ACH-000888,-1.43228358881
ACH-000889,-1.38323117574
ACH-000890,-1.61112583028
ACH-000896,-1.3996859258899998
ACH-000898,-1.62987135549
ACH-000900,-1.5079447908399999
ACH-000901,-1.61262906884
ACH-000905,-1.51870780137
ACH-000906,-1.63056947847
ACH-000907,-1.46900419651
ACH-000910,-1.24902523627
ACH-000911,-1.36844123765
ACH-000912,-1.39868784179
ACH-000913,-1.7278873982099998
ACH-000915,-1.46318077734
ACH-000916,-1.27792640332
ACH-000917,-1.7618958619599998
ACH-000921,-1.09088449447
ACH-000924,-1.7069669591299999
ACH-000926,-1.77000868747
ACH-000928,-1.34429794215
ACH-000929,-1.2805332466500001
ACH-000932,-1.4042656361899999
ACH-000935,-1.6064948076199999
ACH-000936,-1.55001095997
ACH-000937,-1.3734535995100001
ACH-000938,-1.50058623065
ACH-000939,-1.43989219373
ACH-000941,-1.5342683330700002
ACH-000943,-1.3183931872799999
ACH-000946,-1.4606408027000002
ACH-000947,-1.5215105563
ACH-000948,-1.5903524919799998
ACH-000950,-1.115214164
ACH-000953,-1.07262402289
ACH-000957,-1.58575422437
ACH-000958,-1.51220868187
ACH-000960,-1.62694883109
ACH-000963,-1.21624231433
ACH-000968,-1.5891114878600001
ACH-000969,-1.61373740824
ACH-000973,-1.50564758012
ACH-000974,-1.6213730691400001
ACH-000975,-1.5513776082600002
ACH-000976,-1.28083566461
ACH-000978,-1.37209642651
ACH-000980,-1.63521750433
ACH-000984,-1.50577914167
ACH-000986,-1.4878318724000001
ACH-000988,-1.94092889355
ACH-000993,-1.67896102708
ACH-000994,-1.59977771823
ACH-000996,-1.5822635126
ACH-001001,-1.6622225624200002
ACH-001020,-1.50507390857
ACH-001028,-1.37728147778
ACH-001031,-1.63343515311
ACH-001038,-1.43110613109
ACH-001048,-1.48701740901
ACH-001050,-1.6429821116
ACH-001053,-1.43214885598
ACH-001054,-1.72376326811
ACH-001061,-1.4407658559799998
ACH-001067,-1.4691654142700001
ACH-001075,-1.85198738143
