,LOXL4 (84171)
ACH-000004,0.184906799674
ACH-000007,0.104528111118
ACH-000009,-0.155788071361
ACH-000011,-0.363852974027
ACH-000012,-0.18656300497499997
ACH-000013,-0.198502522166
ACH-000014,-0.275000469367
ACH-000015,-0.283502153871
ACH-000017,-0.36581257350999996
ACH-000018,-0.279110550142
ACH-000019,-0.06996131554030001
ACH-000021,-0.014667482138399999
ACH-000022,-0.156047982967
ACH-000025,-0.321591942985
ACH-000028,-0.149100199935
ACH-000030,-0.237683574059
ACH-000035,-0.17078240835499997
ACH-000036,-0.211284610462
ACH-000037,-0.323612397459
ACH-000039,-0.0233236277302
ACH-000040,-0.245231159496
ACH-000041,-0.400304040653
ACH-000042,-0.145626865612
ACH-000045,-0.0407379126356
ACH-000047,-0.168005209949
ACH-000052,-0.23584617785999998
ACH-000053,-0.08139100343280001
ACH-000054,-0.179068235485
ACH-000055,-0.18513086303800003
ACH-000060,-0.274712758011
ACH-000067,-0.12450373425799999
ACH-000070,0.116633676775
ACH-000075,-0.485444023801
ACH-000078,-0.116882152856
ACH-000082,-0.0418052214345
ACH-000085,-0.571929479566
ACH-000086,-0.10147791437100001
ACH-000087,-0.37515822793799997
ACH-000092,-0.164833535721
ACH-000095,-0.148427307685
ACH-000097,-0.00270691762719
ACH-000098,-0.0992005721085
ACH-000099,-0.178824130478
ACH-000108,-0.19247136249299998
ACH-000113,-0.247455343257
ACH-000115,-0.4205207815
ACH-000116,-0.00441829075716
ACH-000118,-0.179540733668
ACH-000120,-0.107975313498
ACH-000123,-0.0492332576353
ACH-000127,-0.160719511327
ACH-000128,-0.022851297957599995
ACH-000132,-0.190384765157
ACH-000133,-0.232907850322
ACH-000137,-0.265951691942
ACH-000138,-0.201423143625
ACH-000142,-0.28399946422600003
ACH-000143,-0.10294605077999999
ACH-000146,-0.205228341895
ACH-000148,-0.25101419157
ACH-000150,-0.191224155855
ACH-000152,-0.223520352279
ACH-000153,-0.290304901602
ACH-000159,-0.11658844722000002
ACH-000160,-0.0927945224249
ACH-000163,-0.300946610503
ACH-000167,-0.239698411245
ACH-000168,-0.229873912784
ACH-000169,-0.272052905421
ACH-000178,-0.0683767987493
ACH-000182,-0.388463625413
ACH-000183,-0.407942521215
ACH-000188,-0.10433183690600001
ACH-000189,-0.34285350096999995
ACH-000190,-0.289234301884
ACH-000198,-0.1094928409
ACH-000204,-0.285138063752
ACH-000206,-0.275863198815
ACH-000207,0.0284566300734
ACH-000211,-0.208690829645
ACH-000215,-0.00913010711559
ACH-000221,-0.0352354750864
ACH-000222,-0.059799875730699996
ACH-000223,-0.272511927078
ACH-000226,-0.246939650649
ACH-000227,-0.23000764107500002
ACH-000228,-0.0666927727945
ACH-000231,-0.18019625749600002
ACH-000232,-0.224698513431
ACH-000233,-0.108804439718
ACH-000234,-0.0661512163881
ACH-000235,-0.251607542473
ACH-000237,-0.197640145948
