,CHAF1B (8208)
ACH-000004,-2.07134180143
ACH-000007,-1.8022165564500001
ACH-000009,-1.66758300289
ACH-000011,-1.9893764928
ACH-000012,-1.8700086472400002
ACH-000013,-2.11367786465
ACH-000014,-1.84781512697
ACH-000015,-2.0283022004199998
ACH-000017,-2.09361080558
ACH-000018,-1.72625419178
ACH-000019,-1.8338071423700002
ACH-000021,-1.54995349747
ACH-000022,-2.27481538961
ACH-000025,-1.8959832758500001
ACH-000028,-2.01088729693
ACH-000030,-1.78232178568
ACH-000035,-1.8860091314400003
ACH-000036,-1.60905932247
ACH-000037,-0.876686994371
ACH-000039,-2.24821623872
ACH-000040,-1.59506781117
ACH-000041,-1.91819671118
ACH-000042,-1.7753419868400002
ACH-000045,-2.1014575842400003
ACH-000047,-1.9667664132599998
ACH-000052,-2.00179295622
ACH-000053,-1.7136595316
ACH-000054,-1.96923000027
ACH-000055,-1.8800200071400002
ACH-000060,-2.03509740589
ACH-000067,-1.5846897299399998
ACH-000070,-1.61747684304
ACH-000075,-1.51356336014
ACH-000078,-1.8824792087200002
ACH-000082,-2.2332773275099997
ACH-000085,-2.22456739668
ACH-000086,-1.8029161707599997
ACH-000087,-1.83817955879
ACH-000092,-1.71731718835
ACH-000095,-1.99326912403
ACH-000097,-2.0393347450099997
ACH-000098,-1.80463866683
ACH-000099,-2.07383980393
ACH-000108,-1.7273001638499998
ACH-000113,-2.07609099687
ACH-000115,-2.57309975688
ACH-000116,-1.80706711402
ACH-000118,-1.64645912856
ACH-000120,-1.9493407229400004
ACH-000123,-1.98424581768
ACH-000127,-2.0405977097799997
ACH-000128,-1.8645960142200002
ACH-000132,-1.9942229732700003
ACH-000133,-1.7170730782299999
ACH-000137,-1.6369440640200001
ACH-000138,-1.7829263285499999
ACH-000142,-1.69182478501
ACH-000143,-1.78269411012
ACH-000146,-2.19435334922
ACH-000148,-2.0130944042400003
ACH-000150,-1.99614378086
ACH-000152,-1.99952103884
ACH-000153,-1.7760684552700001
ACH-000159,-1.97666104729
ACH-000160,-1.52005223317
ACH-000163,-1.74458483586
ACH-000167,-1.75351088507
ACH-000168,-2.06767823592
ACH-000169,-1.9037705312900002
ACH-000178,-1.82599623593
ACH-000182,-1.9329335596500001
ACH-000183,-2.01727298125
ACH-000188,-1.9747014036300001
ACH-000189,-1.62300197936
ACH-000190,-1.3873396015900001
