,HMCES (56941)
ACH-000004,-0.19456245347399997
ACH-000007,-0.162160721425
ACH-000009,-0.34992918219
ACH-000011,-0.455104378381
ACH-000012,-0.16362247879699998
ACH-000013,-0.360654424064
ACH-000014,-0.406374574935
ACH-000015,-0.179665330166
ACH-000017,-0.201490020917
ACH-000018,-0.229928332577
ACH-000019,-0.51926287363
ACH-000021,-0.298688477676
ACH-000022,-0.294081181421
ACH-000025,-0.327573850151
ACH-000028,-0.22151702061099998
ACH-000030,-0.357079570881
ACH-000035,-0.540230816865
ACH-000036,-0.139425623364
ACH-000037,-0.148711129567
ACH-000039,-0.650589656567
ACH-000040,-0.287594840426
ACH-000041,-0.34328718787199997
ACH-000042,-0.286461682178
ACH-000045,-0.24195185713700001
ACH-000047,-0.389836028314
ACH-000052,-0.31076874107200003
ACH-000053,-0.43509465361599997
ACH-000054,-0.302410210002
ACH-000055,-0.29967290945
ACH-000060,-0.497736145009
ACH-000067,-0.37134246820100003
ACH-000070,-0.23944648010400002
ACH-000075,-0.31183148005899997
ACH-000078,-0.239708998015
ACH-000082,-0.23499342162700002
ACH-000085,-0.14983923379699998
ACH-000086,-0.409406105651
ACH-000087,-0.236817600469
ACH-000092,-0.394321748757
ACH-000095,-0.214430263508
ACH-000097,-0.45273049953199995
ACH-000098,-0.281668195461
ACH-000099,-0.112503887656
ACH-000108,-0.299160188088
ACH-000113,-0.22053051965599998
ACH-000115,-0.273835471237
ACH-000116,-0.301870598662
ACH-000118,-0.347630026626
ACH-000120,-0.43746203987599996
ACH-000123,-0.299505871222
ACH-000127,-0.194782132824
ACH-000128,-0.5165913847079999
ACH-000132,-0.277929865497
ACH-000133,-0.174620483249
ACH-000137,-0.364754276143
ACH-000138,-0.34997161514499997
ACH-000142,-0.357475352082
ACH-000143,-0.350507235427
ACH-000146,-0.294716702765
ACH-000148,-0.23170127495499998
ACH-000150,-0.19811883251899998
ACH-000152,-0.357564064943
ACH-000153,-0.306990731398
ACH-000159,-0.419019232096
ACH-000160,-0.106579923073
ACH-000163,-0.203062897969
ACH-000167,0.192215203711
ACH-000168,-0.37979036086900003
ACH-000169,-0.284729845931
ACH-000178,-0.161365995468
ACH-000182,-0.21483618272
ACH-000183,-0.467993539691
ACH-000188,-0.27666115255999996
ACH-000189,-0.57164271759
ACH-000190,-0.0640606148139
ACH-000198,-0.30255755459399997
ACH-000204,-0.16965937619600002
ACH-000206,-0.437284066825
ACH-000207,-0.474690345139
ACH-000211,-0.25472359723
ACH-000215,-0.245566336793
ACH-000221,-0.37579271733900005
ACH-000222,-0.450289804591
ACH-000223,-0.385986137504
ACH-000226,-0.429429120356
ACH-000227,-0.358076354382
ACH-000228,-0.321034963191
ACH-000231,-0.20025567918900003
ACH-000232,-0.30928142632100003
ACH-000233,-0.30756034555
ACH-000234,-0.241435707931
ACH-000235,-0.287694277055
ACH-000237,-0.2202941048
ACH-000238,-0.148340410418
ACH-000243,-0.373284275738
ACH-000244,-0.250975751294
ACH-000246,-0.27352988951699997
ACH-000248,-0.288787445944
ACH-000250,-0.34382784047
ACH-000251,-0.355977144305
ACH-000253,-0.265070921541
ACH-000255,-0.34887709922700005
ACH-000256,-0.207764215926
ACH-000257,-0.328326063251
ACH-000258,-0.472896193158
ACH-000259,-0.24505812279300002
ACH-000260,-0.378548370146
ACH-000261,-0.245932949799
ACH-000262,-0.330002598328
ACH-000263,-0.67439427722
ACH-000264,-0.230818160724
ACH-000265,-0.380617846315
ACH-000266,-0.141976761146
ACH-000272,-0.53758085128
ACH-000273,-0.254210103355
ACH-000274,-0.343713669842
ACH-000277,-0.248025286279
ACH-000278,-0.47575976098300005
ACH-000279,-0.300611420277
ACH-000280,-0.43510726173000003
ACH-000281,-0.17203901367
ACH-000288,-0.220669182257
ACH-000291,-0.331778656696
ACH-000293,-0.306384526972
ACH-000294,-0.332285570837
ACH-000295,-0.43970300104800003
ACH-000296,-0.243621863946
ACH-000302,-0.262629500003
ACH-000304,-0.20906448756700002
ACH-000307,-0.11361096999600001
ACH-000308,-0.221598615055
ACH-000310,-0.417573605686
ACH-000311,-0.237401250893
ACH-000312,-0.240488809346
ACH-000315,-0.132506343993
ACH-000316,-0.198894345124
ACH-000317,-0.42137426727300004
ACH-000318,-0.293099911754
ACH-000319,-0.141490829771
ACH-000320,-0.486513358509
ACH-000322,-0.591953764156
ACH-000323,-0.290376073428
ACH-000324,-0.24331057194400002
ACH-000329,-0.25214807183000004
ACH-000330,-0.400932415047
ACH-000331,-0.507606060535
ACH-000332,-0.34078753089
ACH-000334,0.0411066156251
ACH-000335,-0.36444190908
ACH-000336,-0.417828098388
ACH-000337,-0.490642774886
ACH-000339,-0.275335773678
ACH-000341,-0.310504670571
ACH-000348,-0.14142461330800002
ACH-000350,-0.22979036338599998
