,LIPT1 (51601)
ACH-000004,-0.38747327503
ACH-000007,-0.28098898064800004
ACH-000009,-0.155472542746
ACH-000011,-0.5149131801079999
ACH-000012,-0.12139110420999998
ACH-000013,-0.0649308226959
ACH-000014,-0.04562896998819999
ACH-000015,-0.0457859184389
ACH-000017,-0.38594937461499995
ACH-000018,-0.234304170475
ACH-000019,-0.5446105870019999
ACH-000021,-0.048108584138199996
ACH-000022,0.0803119571672
ACH-000025,-0.35332943999899996
ACH-000028,-0.5003921108039999
ACH-000030,-0.421995916533
ACH-000035,-0.240682781132
ACH-000036,-0.106027112719
ACH-000037,-0.345096076475
ACH-000039,-0.445716054764
ACH-000040,-0.26489018718400004
ACH-000041,-0.244067804901
ACH-000042,-0.152008426733
ACH-000045,-0.5840089025949999
ACH-000047,-0.310964083149
ACH-000052,-0.00268623368656
ACH-000053,-0.6262284166309999
ACH-000054,-0.55948705383
ACH-000055,-0.35667714270000006
ACH-000060,-0.051716895980000004
ACH-000067,-0.257461951521
ACH-000070,-0.807355078484
ACH-000075,-0.297559334286
ACH-000078,-0.119004942361
ACH-000082,-0.203788762805
ACH-000085,-0.21034067065099998
ACH-000086,-0.0668648844989
ACH-000087,-0.367344159457
ACH-000092,-0.453037483851
ACH-000095,-0.22152773427900002
ACH-000097,-0.16270747266
ACH-000098,-0.18896815060699998
ACH-000099,-0.08902353719480001
ACH-000108,-0.117829287284
ACH-000113,-0.642810228517
ACH-000115,-0.41538714597599996
ACH-000116,-0.0597248212538
ACH-000118,-0.571670886325
ACH-000120,-0.49336811496399996
ACH-000123,-0.327811767497
ACH-000127,-0.616193434306
ACH-000128,-0.152366721957
ACH-000132,0.0433255117732
ACH-000133,-0.192327098389
ACH-000137,-0.282733250612
ACH-000138,-0.473385941281
ACH-000142,-0.151297221862
ACH-000143,-0.09109064325850001
ACH-000146,-0.524350498346
ACH-000148,-0.5431347205479999
ACH-000150,0.259996979762
ACH-000152,-0.085955922073
ACH-000153,-0.48745822378799997
ACH-000159,-0.137029719468
ACH-000160,-0.507435442293
ACH-000163,-0.189361244344
ACH-000167,-0.272309883473
ACH-000168,-0.05723146133780001
ACH-000169,-0.0503235615359
ACH-000178,-0.209114329326
ACH-000182,-0.383010760745
ACH-000183,-0.346479645964
ACH-000188,-0.172431490418
ACH-000189,-0.42991605991899995
ACH-000190,-0.572002441143
ACH-000198,-0.655421425215
ACH-000204,-0.891625888766
ACH-000206,-0.48009155067000003
ACH-000207,-0.568424212972
ACH-000211,-0.125613089893
ACH-000215,-0.381592701036
ACH-000221,-0.06952479707539999
ACH-000222,-0.35825539765000003
ACH-000223,-0.329970109829
ACH-000226,-0.509940798753
ACH-000227,-0.0782813871778
ACH-000228,-0.43261306467200006
ACH-000231,-0.20454450551800002
ACH-000232,0.162052860257
ACH-000233,-0.318674804051
ACH-000234,-0.313032065
ACH-000235,-0.526953423166
ACH-000237,-0.41610671649000003
ACH-000238,-0.199992296454
ACH-000243,-0.32727595233
ACH-000244,-0.252631388974
ACH-000246,-0.195912301334
ACH-000248,-0.208648061086
ACH-000250,-0.314206180726
ACH-000251,-0.08701803683560001
ACH-000253,-0.309336701057
ACH-000255,-0.0788815873408
ACH-000256,-0.0734775882952
ACH-000257,-0.147599925041
ACH-000258,-0.09848306471149999
ACH-000259,-0.034335047371900004
ACH-000260,-0.0713209407703
ACH-000261,-0.590309494907
