,EEF1B2 (1933)
ACH-000004,-0.609481785552
ACH-000007,-0.964823743064
ACH-000009,-1.06123511145
ACH-000011,-0.746693627539
ACH-000012,-0.835231047085
ACH-000013,-0.8325948447339999
ACH-000014,-0.8910167080239999
ACH-000015,-0.821341425968
ACH-000017,-0.7036999348880001
ACH-000018,-1.0707024475700002
ACH-000019,-0.6488976404410001
ACH-000021,-0.9214034081520001
ACH-000022,-0.721743104747
ACH-000025,-0.628555654889
ACH-000028,-0.767560969454
ACH-000030,-0.820415273142
ACH-000035,-0.7098580497050001
ACH-000036,-0.96183084983
ACH-000037,-1.09292672425
ACH-000039,-1.22765611934
ACH-000040,-0.732072866717
ACH-000041,-0.956687293397
ACH-000042,-0.941261142584
ACH-000045,-0.731055667843
ACH-000047,-0.908648858417
ACH-000052,-0.886157884973
ACH-000053,-0.7944570050040001
ACH-000054,-0.924600795537
ACH-000055,-0.9659650450689999
ACH-000060,-0.8599305836159999
ACH-000067,-0.907673513524
ACH-000070,-0.920281953252
ACH-000075,-0.774029636602
ACH-000078,-1.03409882068
ACH-000082,-0.923140911135
ACH-000085,-0.9044872151629999
ACH-000086,-0.927075785809
ACH-000087,-0.982497702529
ACH-000092,-0.663479313875
ACH-000095,-0.897325804685
ACH-000097,-0.721405408147
ACH-000098,-0.941076479536
ACH-000099,-0.881669317144
ACH-000108,-1.11018041063
ACH-000113,-0.7782160908560001
ACH-000115,-0.994528457586
ACH-000116,-0.898047813865
ACH-000118,-0.745325204507
ACH-000120,-0.8863349439
ACH-000123,-0.7698141914550001
ACH-000127,-0.746422567312
ACH-000128,-1.0592270155399999
ACH-000132,-0.8918817473559999
ACH-000133,-0.7181184307340001
ACH-000137,-0.842925591013
ACH-000138,-0.8947560798649999
ACH-000142,-0.828600697992
ACH-000143,-1.15686430224
ACH-000146,-0.639936318002
ACH-000148,-0.8164504940739999
ACH-000150,-1.09016156232
ACH-000152,-0.9621382981859999
ACH-000153,-1.04363064531
ACH-000159,-1.02727075478
ACH-000160,-0.7890560185340001
ACH-000163,-0.8564475842270001
ACH-000167,-0.904275129528
ACH-000168,-0.67271430645
ACH-000169,-0.7141040006270001
ACH-000178,-0.776626139606
ACH-000182,-1.03363929434
ACH-000183,-0.9536373873139999
ACH-000188,-0.666814825632
ACH-000189,-0.9522725740719999
ACH-000190,-0.985856024883
ACH-000198,-0.9201587294370001
ACH-000204,-1.0776908766700002
ACH-000206,-0.894494779253
ACH-000207,-0.7455168978290001
ACH-000211,-1.1462407620000001
ACH-000215,-0.749835778407
ACH-000221,-0.846920358717
ACH-000222,-1.1227009774799999
ACH-000223,-0.9914099944320001
ACH-000226,-0.904731623514
ACH-000227,-1.32710194834
ACH-000228,-0.8969719518449999
ACH-000231,-0.725275016749
ACH-000232,-1.0987736525
ACH-000233,-0.9348991455069999
ACH-000234,-1.1627191411700002
ACH-000235,-0.9068074872290001
ACH-000237,-0.720585080739
ACH-000238,-1.10123050552
ACH-000243,-0.7466437468000001
ACH-000244,-1.1099125078799998
ACH-000246,-0.986077618524
ACH-000248,-0.9622229292460001
ACH-000250,-0.93358754737
ACH-000251,-0.355511068721
ACH-000253,-0.800614514122
ACH-000255,-0.828171905062
ACH-000256,-0.927344167624
ACH-000257,-1.0810764268700002
ACH-000258,-1.4694953839700002
ACH-000259,-0.7853456230329999
ACH-000260,-0.892620134975
ACH-000261,-0.895447186992
ACH-000262,-0.735147697349
ACH-000263,-0.728335192089
ACH-000264,-0.704712403054
ACH-000265,-0.850117229686
ACH-000266,-0.985866427675
ACH-000272,-0.976141186292
ACH-000273,-0.9005554588660001
ACH-000274,-0.922675192629
ACH-000277,-0.7754296436570001
ACH-000278,-0.814357323937
ACH-000279,-0.948279193195
ACH-000280,-0.954011721339
ACH-000281,-0.9196221877700002
ACH-000288,-0.921446694131
ACH-000291,-0.944121758991
ACH-000293,-0.845554133415
ACH-000294,-0.903628331345
ACH-000295,-0.680477982412
ACH-000296,-1.0506905074600001
ACH-000302,-0.875249438602
ACH-000304,-0.9896938527169999
ACH-000307,-0.874838418292
ACH-000308,-0.8404505822849999
ACH-000310,-0.8624179353839999
ACH-000311,-0.8863339806730001
ACH-000312,-0.985957231944
ACH-000315,-0.723777479044
ACH-000316,-0.882219373656
ACH-000317,-0.812086398346
ACH-000318,-1.1315928313099999
ACH-000319,-0.907501441336
ACH-000320,-1.0944855065299999
ACH-000322,-0.712185158037
ACH-000323,-1.02923656662
ACH-000324,-0.906582180135
ACH-000329,-0.825038887587
ACH-000330,-1.05703849424
ACH-000331,-0.9906361711120001
ACH-000332,-0.803392122367
ACH-000334,-0.9366231919779999
ACH-000335,-0.7688900210780001
ACH-000336,-0.642355087978
ACH-000337,-1.01698636859
ACH-000339,-0.8261250198510001
ACH-000341,-0.804566484113
ACH-000348,-0.891994406188
ACH-000350,-0.743357146657
ACH-000352,-0.802522814587
ACH-000356,-0.6971139761759999
ACH-000361,-1.2698081563799999
ACH-000362,-0.6332207196140001
ACH-000363,-0.776380622393
ACH-000364,-0.995019518215
ACH-000365,-1.01122408157
ACH-000366,-1.08310966216
ACH-000368,-0.8646059359039999
ACH-000374,-0.977472966024
ACH-000375,-0.761287900892
ACH-000376,-0.730687639395
ACH-000381,-1.02024483508
ACH-000383,-0.7087518755429999
ACH-000387,-0.760755482182
ACH-000389,-0.616437381312
ACH-000390,-0.7734406688519999
ACH-000393,-1.06620797787
ACH-000395,-1.4303186909799999
ACH-000397,-0.756907022781
ACH-000401,-0.581333264852
ACH-000402,-1.01138023353
ACH-000403,-1.09088927772
ACH-000404,-0.5885921361600001
ACH-000406,-0.640098030691
ACH-000407,-0.73475337288
ACH-000408,-0.905744553502
ACH-000410,-1.05240157734
ACH-000411,-1.0826750347299998
ACH-000414,-1.01272626263
ACH-000415,-0.9113010416840001
ACH-000416,-0.722286048073
ACH-000420,-1.05123080777
ACH-000421,-0.8771075707539999
ACH-000424,-0.9676736670730001
ACH-000425,-0.926302090706
ACH-000426,-0.896429019236
ACH-000427,-0.860926376075
ACH-000433,-0.76539717676
ACH-000436,-0.852642108703
ACH-000444,-0.9507106933239999
ACH-000445,-0.915246374746
ACH-000448,-1.18817517719
ACH-000450,-1.05492888944
ACH-000452,-0.827845662456
ACH-000454,-0.691453418441
ACH-000458,-0.729822917543
ACH-000459,-0.463490002166
ACH-000460,-0.7274884336480001
ACH-000461,-0.781215457675
ACH-000463,-0.7212966108709999
ACH-000464,-1.22079299009
ACH-000466,-0.951962805872
ACH-000467,-1.1116652496100001
ACH-000468,-1.14474924839
ACH-000469,-0.780374930476
ACH-000470,-1.03302645884
ACH-000471,-0.8175611506460001
ACH-000472,-0.878941217421
ACH-000473,-0.5659452559520001
ACH-000475,-0.976512301987
ACH-000476,-1.0950440332
ACH-000477,-0.8268494315610001
ACH-000480,-0.952648196689
ACH-000481,-0.9367558796950001
ACH-000483,-0.8354367880060001
ACH-000484,-1.0987283481
ACH-000485,-1.0399463850700001
ACH-000486,-0.8046325133419999
ACH-000487,-0.9956136136779999
ACH-000488,-0.973154923792
ACH-000490,-0.636451437033
ACH-000491,-1.1424032823799999
ACH-000495,-0.6716898804260001
ACH-000496,-0.953982757485
ACH-000499,-0.845578130954
ACH-000500,-0.934329002768
ACH-000502,-0.604934181378
ACH-000503,-1.11756182589
ACH-000505,-0.99663288611
ACH-000507,-1.07665683963
ACH-000510,-0.938219426115
ACH-000511,-0.760924390115
ACH-000512,-1.0035241565700002
ACH-000516,-0.9843216698080001
ACH-000517,-0.82090607035
ACH-000518,-0.816706670651
ACH-000520,-1.15745713688
ACH-000521,-1.0380802947299999
ACH-000522,-0.792955196745
ACH-000524,-0.89930554426
ACH-000527,-0.732377811509
ACH-000528,-0.918421564667
ACH-000537,-1.05181622567
ACH-000541,-0.424082247645
