,MTSS1 (9788)
ACH-000004,-0.484238384623
ACH-000007,-0.12332882457800001
ACH-000009,-0.16415659625999998
ACH-000011,-0.0403944051955
ACH-000012,-0.176881601006
ACH-000013,-0.13134605766
ACH-000014,-0.129314802673
ACH-000015,-0.12218046799900001
ACH-000017,-0.7448597986750001
ACH-000018,-0.315553773706
ACH-000019,-0.108733254727
ACH-000021,-0.31808450489100004
ACH-000022,-0.098172189766
ACH-000025,-0.208554293682
ACH-000028,-0.27396700001200003
ACH-000030,-0.112690249769
ACH-000035,-0.197313905623
ACH-000036,-0.24230495007599998
ACH-000037,-0.104726722617
ACH-000039,-0.35596689781400004
ACH-000040,-0.037637312212400006
ACH-000041,-0.219914872153
ACH-000042,-0.42701455970299995
ACH-000045,-0.292144947786
ACH-000047,-0.140199242033
ACH-000052,-0.317640178453
ACH-000053,-0.168901265906
ACH-000054,-0.20617552979000003
ACH-000055,-0.133634785025
ACH-000060,-0.294384716887
ACH-000067,-0.159095258472
ACH-000070,-0.0125659789331
ACH-000075,-0.0825373062265
ACH-000078,-0.299119748841
ACH-000082,-0.251934202579
ACH-000085,-0.162863023655
ACH-000086,-0.14523446555
ACH-000087,0.11967812255799999
ACH-000092,-0.275116476101
ACH-000095,-0.04596845154780001
ACH-000097,-0.22393687965300002
ACH-000098,-0.190499531099
ACH-000099,-0.278075724871
ACH-000108,-0.354270138928
ACH-000113,0.044157034435800005
ACH-000115,-0.35493365431199997
ACH-000116,-0.0586791010376
ACH-000118,-0.508419588606
ACH-000120,-0.285892895027
ACH-000123,-0.137104902055
ACH-000127,-0.222048307476
ACH-000128,-0.155762776014
ACH-000132,-0.142429466861
ACH-000133,-0.204471619526
ACH-000137,0.0321632408183
ACH-000138,-0.238404581408
ACH-000142,-0.24649261178000004
ACH-000143,-0.006776282272009999
ACH-000146,-0.09516148188160001
ACH-000148,-0.194703535891
ACH-000150,-0.619674530378
ACH-000152,-0.333966787014
ACH-000153,-0.636500425789
ACH-000159,-0.184008643527
ACH-000160,-0.152535050471
ACH-000163,-0.15015789209799998
ACH-000167,-0.374946974485
ACH-000168,-0.31300164448600004
ACH-000169,-0.0455120970438
ACH-000178,-0.176747776014
ACH-000182,-0.14938740851600002
ACH-000183,-0.347837034507
ACH-000188,-0.08198842831269999
ACH-000189,-0.446955426123
ACH-000190,-0.479039336363
ACH-000198,-0.20249457182100003
ACH-000204,-0.324436812079
ACH-000206,-0.026160078831599997
ACH-000207,-0.528762591468
ACH-000211,-0.107432706277
ACH-000215,-0.219302253605
ACH-000221,-0.0028765201992
ACH-000222,-0.364180329461
ACH-000223,-0.281720728368
ACH-000226,-0.0847709355236
ACH-000227,-0.286659179256
ACH-000228,-0.0656908484631
ACH-000231,-0.23339857650899998
ACH-000232,-0.174401339283
ACH-000233,-0.22372024153099998
ACH-000234,-0.28119286745
ACH-000235,-0.194237282511
ACH-000237,-0.152249363156
ACH-000238,-0.18117038917599998
ACH-000243,-0.34490235395999996
ACH-000244,0.0420990230353
ACH-000246,-0.25391993191999995
ACH-000248,-0.560708056495
ACH-000250,-0.16991391945999998
ACH-000251,-0.158874541062
ACH-000253,-0.255139578807
ACH-000255,-0.163325145494
ACH-000256,-0.263168360963
ACH-000257,-0.154534136187
ACH-000258,-0.26630686924400004
ACH-000259,-0.146323833277
ACH-000260,-0.169777419322
ACH-000261,-0.169415890599
ACH-000262,0.013683374543700002
ACH-000263,-0.0799793400039
ACH-000264,-0.170585790816
ACH-000265,-0.551619231595
ACH-000266,-0.243363155929
ACH-000272,-0.202557835409
ACH-000273,-0.164185904591
ACH-000274,-0.181075479201
ACH-000277,-0.702484762088
ACH-000278,-0.291237873372
