,TMCO5A (145942)
ACH-000004,-0.20603075441
ACH-000007,-0.504107521487
ACH-000009,-0.4624917169899999
ACH-000011,-0.23659076959199998
ACH-000012,-0.23575684560600002
ACH-000013,-0.10509528503599999
ACH-000014,-0.34476790027800003
ACH-000015,-0.29813143140799997
ACH-000017,-0.105914706887
ACH-000018,-0.189326055924
ACH-000019,-0.22633344647
ACH-000021,-0.275258556606
ACH-000022,-0.20422112322099997
ACH-000025,-0.44925542802100005
ACH-000028,-0.047309226371400004
ACH-000030,-0.26647751131999997
ACH-000035,-0.234903767157
ACH-000036,-0.377662057092
ACH-000037,-0.22140095140500002
ACH-000039,-0.44962438845200003
ACH-000040,0.0068236750835
ACH-000041,-0.242578984335
ACH-000042,-0.21641877821400002
ACH-000045,-0.20624873089200002
ACH-000047,-0.0642719811415
ACH-000052,-0.31071874225400004
ACH-000053,-0.31478225883600003
ACH-000054,-0.287052539054
ACH-000055,-0.261033176825
ACH-000060,-0.085352320053
ACH-000067,-0.029108988230499996
ACH-000070,-0.04245756656690001
ACH-000075,-0.113387151642
ACH-000078,-0.64360973325
ACH-000082,-0.0535924642898
ACH-000085,-0.170172712714
ACH-000086,-0.18928572539500002
ACH-000087,-0.302156911247
ACH-000092,-0.234851614382
ACH-000095,-0.11779462600299999
ACH-000097,-0.137356298909
ACH-000098,-0.0260923405015
ACH-000099,-0.482687476399
ACH-000108,-0.28712397672699996
ACH-000113,-0.181616865208
ACH-000115,-0.21957155605
ACH-000116,-0.24337910848900002
ACH-000118,-0.299463780262
ACH-000120,-0.390284424437
ACH-000123,-0.28375187251
ACH-000127,-0.125291136184
ACH-000128,-0.36103249015699995
ACH-000132,-0.415059653686
ACH-000133,-0.0927556020887
ACH-000137,-0.0971391548695
ACH-000138,-0.19448829922699998
ACH-000142,-0.283554086586
ACH-000143,-0.108603256019
ACH-000146,-0.300082920945
ACH-000148,-0.18662048917500001
ACH-000150,-0.139599270843
ACH-000152,-0.16519031660999997
ACH-000153,-0.327730369117
ACH-000159,-0.20765247031700002
ACH-000160,-0.48856862986199995
ACH-000163,-0.186342573143
ACH-000167,0.133981458748
ACH-000168,-0.22114780263
ACH-000169,-0.118974175603
ACH-000178,-0.304557030873
ACH-000182,-0.262808533796
ACH-000183,-0.333906946478
ACH-000188,-0.283704063304
ACH-000189,0.191608421408
ACH-000190,-0.194199021969
ACH-000198,-0.164309919011
ACH-000204,-0.583303031678
ACH-000206,-0.23043017292100001
ACH-000207,-0.246252750944
ACH-000211,-0.060500650745599995
ACH-000215,-0.208681559143
ACH-000221,-0.333678779288
ACH-000222,-0.0778503855738
ACH-000223,-0.419712014401
ACH-000226,-0.306530832613
ACH-000227,-0.310254053692
ACH-000228,-0.228960616528
ACH-000231,-0.320920479365
ACH-000232,0.00313268902771
ACH-000233,-0.298474821088
ACH-000234,-0.18053701668299998
ACH-000235,-0.350125098829
ACH-000237,-0.12218685615599999
ACH-000238,-0.0832246033077
ACH-000243,-0.320390983406
ACH-000244,-0.406150487608
ACH-000246,-0.252219781777
ACH-000248,-0.134478784159
ACH-000250,-0.15318558763499998
ACH-000251,-0.124903126586
ACH-000253,-0.355326453265
ACH-000255,-0.35232601851400003
ACH-000256,-0.249059197312
ACH-000257,-0.418557897562
ACH-000258,-0.109131751823
ACH-000259,-0.248411231435
ACH-000260,-0.415015438269
ACH-000261,-0.21050444778900002
ACH-000262,-0.11336056232000001
ACH-000263,-0.201091475642
ACH-000264,-0.115754922872
ACH-000265,-0.314381081457
ACH-000266,-0.339515938369
ACH-000272,-0.342247600135
ACH-000273,-0.11462578519000001
ACH-000274,-0.287160148359
ACH-000277,-0.0269773986791
ACH-000278,-0.181842464439
ACH-000279,-0.274976943018
ACH-000280,-0.20148314034499998
ACH-000281,0.0291072319331
ACH-000288,-0.20531317103
ACH-000291,-0.053496903863599995
ACH-000293,-0.03568583662119999
ACH-000294,-0.648463761618
ACH-000295,-0.1349915411
ACH-000296,-0.524679880419
ACH-000302,-0.191498223316
ACH-000304,-0.027506210081599997
ACH-000307,-0.298977250099
ACH-000308,-0.19333791505999998
ACH-000310,-0.5651680957490001
ACH-000311,-0.44370660308
ACH-000312,-0.266637648447
ACH-000315,-0.20255795409299998
ACH-000316,-0.17811436980599998
ACH-000317,-0.027406061285900004
ACH-000318,-0.267527675883
ACH-000319,-0.408140564283
ACH-000320,-0.38305420332900003
ACH-000322,-0.187405175433
ACH-000323,-0.261167565555
ACH-000324,-0.287892157445
ACH-000329,-0.054275659863599994
ACH-000330,-0.205903979175
ACH-000331,-0.331077419498
ACH-000332,-0.271703482302
ACH-000334,-0.136843495099
ACH-000335,-0.22004609131900002
ACH-000336,0.058337819379799996
ACH-000337,-0.0304534690784
ACH-000339,-0.313083197875
ACH-000341,0.103346250493
ACH-000348,-0.14581953593699998
ACH-000350,-0.5096972215259999
ACH-000352,-0.152906807382
ACH-000356,0.0200553333213
ACH-000361,-0.127349735756
ACH-000362,-0.12878311101700002
ACH-000363,-0.20220761464499998
ACH-000364,-0.250075272566
ACH-000365,-0.408305254522
ACH-000366,-0.0714519771029
ACH-000368,-0.115142877638
ACH-000374,-0.0963493836552
ACH-000375,-0.241424243743
ACH-000376,-0.300935900596
ACH-000381,-0.229953535455
ACH-000383,-0.25505047578
ACH-000387,-0.30172132976
ACH-000389,-0.25542334629700003
ACH-000390,-0.239392718597
ACH-000393,-0.184634296129
ACH-000395,-0.19275077622
ACH-000397,-0.0423901297276
ACH-000401,-0.106818759668
ACH-000402,-0.24626995583500003
ACH-000403,-0.11610095525900001
ACH-000404,-0.150493260823
ACH-000406,-0.248989800579
ACH-000407,-0.33665569181999994
ACH-000408,-0.0921191429968
ACH-000410,-0.435123827011
ACH-000411,-0.201796088537
ACH-000414,-0.203049038085
ACH-000415,-0.204393727469
ACH-000416,-0.17020942346
ACH-000420,-0.19907470860999998
ACH-000421,-0.214392638691
ACH-000424,-0.48161218017800006
ACH-000425,-0.195608521223
ACH-000426,-0.07751628203
ACH-000427,-0.117444192616
ACH-000433,-0.295988226195
ACH-000436,-0.13841376171800002
ACH-000444,-0.25337699319
ACH-000445,-0.40162268398
ACH-000448,-0.193922794106
ACH-000450,0.0850044979387
ACH-000452,-0.253826737469
ACH-000454,-0.0580101865867
ACH-000458,-0.033214575328
ACH-000459,-0.21122828628100002
ACH-000460,-0.292851076296
ACH-000461,-0.126581049428
ACH-000463,-0.33999036090999996
ACH-000464,-0.305612255156
ACH-000466,-0.333430310113
ACH-000467,-0.257882855553
ACH-000468,-0.442440722974
ACH-000469,-0.166173090212
ACH-000470,-0.439980281328
ACH-000471,-0.13194043355
ACH-000472,-0.09903026396950002
ACH-000473,-0.166194263388
ACH-000475,-0.180235448038
ACH-000476,-0.036259557726300004
ACH-000477,-0.40937289282300005
ACH-000480,-0.144057728644
ACH-000481,-0.268422504282
ACH-000483,-0.6616891343110001
ACH-000484,-0.23694758391399998
ACH-000485,-0.256531619288
ACH-000486,-0.42412323514399997
ACH-000487,-0.131686844931
ACH-000488,-0.212558336958
ACH-000490,-0.289114027298
ACH-000491,-0.37391564835100005
ACH-000495,-0.421071880251
ACH-000496,-0.343658150793
ACH-000499,-0.191666942022
ACH-000500,-0.655019127647
ACH-000502,-0.22542731381099998
ACH-000503,-0.487207766821
ACH-000505,-0.243179120777
ACH-000507,-0.0847645710351
ACH-000510,-0.214825003094
ACH-000511,-0.187094888073
ACH-000512,-0.288843623364
ACH-000516,-0.0723462510552
ACH-000517,-0.136497489734
ACH-000518,-0.0769754528507
ACH-000520,-0.343176705455
ACH-000521,-0.0022215408643400003
ACH-000522,-0.15997367386
ACH-000524,-0.195349665946
ACH-000527,-0.273635408616
ACH-000528,-0.35407124013700003
ACH-000537,-0.42879136107500004
ACH-000541,0.039275286943900006
ACH-000542,-0.245717090358
ACH-000544,-0.646580590612
ACH-000545,-0.269887687413
ACH-000547,-0.155627750649
ACH-000548,-0.491711074501
ACH-000549,-0.20516580617
ACH-000550,-0.08675093227669999
ACH-000552,-0.301273633139
ACH-000556,-0.11707206944199999
ACH-000557,0.19029588093400002
ACH-000570,-0.34360389226
ACH-000571,-0.173012070409
ACH-000573,-0.167716083465
ACH-000576,-0.06851412476259999
ACH-000580,-0.35864703674500004
ACH-000584,-0.125582185311
ACH-000585,-0.319656740196
ACH-000588,-0.244656482767
ACH-000589,-0.21376953328499998
ACH-000591,-0.427768885699
ACH-000593,-0.175130591111
ACH-000600,-0.17710653588599998
ACH-000601,-0.247488428574
ACH-000604,0.0856309857064
ACH-000605,-0.0635672286579
ACH-000606,-0.09767803288249999
ACH-000608,-0.0739752154625
ACH-000614,-0.24054230179000002
ACH-000616,0.028060262823799996
ACH-000618,-0.260620949519
ACH-000619,-0.30647915010000004
ACH-000620,-0.380645783762
ACH-000621,-0.0596758764345
ACH-000622,-0.09431121707689999
ACH-000623,-0.271902564204
ACH-000624,-0.23407068511
ACH-000627,-0.137778956717
ACH-000630,-0.184998064963
ACH-000632,-0.289787979408
ACH-000633,-0.12078520413300001
ACH-000637,-0.07702566676030001
ACH-000638,-0.327322076905
ACH-000646,-0.08746081401070001
ACH-000647,-0.286481864244
ACH-000648,-0.23375395536600002
ACH-000649,-0.255580995227
ACH-000651,-0.219741822449
ACH-000652,-0.156656838027
ACH-000653,-0.0180060487738
ACH-000657,-0.312420501516
ACH-000658,-0.153696955484
ACH-000661,-0.277974401452
ACH-000662,-0.35395517922799996
ACH-000663,-0.24908760976999997
ACH-000665,-0.327451622189
ACH-000671,-0.36521463214
ACH-000673,-0.184325985728
ACH-000676,-0.20063321390500002
ACH-000677,-0.327091392539
ACH-000681,-0.09960415281099999
ACH-000682,-0.280245854634
ACH-000683,-0.223238504683
ACH-000684,-0.455451440052
ACH-000688,-0.0636669188561
ACH-000693,-0.400485109027
ACH-000694,-0.36322612890600003
ACH-000695,-0.319689888266
ACH-000696,-0.17238004997099998
ACH-000697,-0.370502863966
ACH-000699,-0.18891928847699999
ACH-000701,-0.0826174617247
ACH-000706,-0.200201388536
ACH-000711,-0.20217083363699997
ACH-000713,-0.5032544938100001
ACH-000714,-0.28428679171300003
ACH-000718,-0.30368205879099996
ACH-000720,-0.242640411797
ACH-000721,-0.238677931727
ACH-000724,-0.325563214466
ACH-000725,-0.285541029892
ACH-000732,-0.0860497899305
ACH-000734,-0.200304700247
ACH-000735,-0.304705354855
ACH-000736,-0.177201593675
ACH-000738,-0.187711089132
ACH-000746,-0.269307121281
ACH-000747,-0.327418801502
ACH-000748,-0.0988559584124
ACH-000753,-0.259344900081
ACH-000756,-0.442086928524
