,PNPO (55163)
ACH-000004,-0.0005585664177860001
ACH-000007,0.0460440986649
ACH-000009,-0.49950583104099994
ACH-000011,-0.030815318131900003
ACH-000012,-0.184089521571
ACH-000013,0.052361228898999995
ACH-000014,-0.150243988818
ACH-000015,-0.119336876712
ACH-000017,-0.0699146524585
ACH-000018,-0.095789832488
ACH-000019,-0.029663179911000002
ACH-000021,-0.164177412114
ACH-000022,-0.226505550179
ACH-000025,-0.12971981227600002
ACH-000028,-0.134454583062
ACH-000030,-0.08941642675349999
ACH-000035,-0.28422285689599996
ACH-000036,-0.32683268179200003
ACH-000037,-0.0639992623953
ACH-000039,-0.101253601128
ACH-000040,0.054047429421800006
ACH-000041,-0.09714349787969999
ACH-000042,-0.151272799713
ACH-000045,-0.249755833645
ACH-000047,-0.0555899987605
ACH-000052,-0.509458489895
ACH-000053,-0.136837946528
ACH-000054,-0.22664700696600001
ACH-000055,-0.00876271737978
ACH-000060,-0.20777693833799998
ACH-000067,-0.20739958231800001
ACH-000070,-0.107773516952
ACH-000075,0.132907407977
ACH-000078,-0.398082324676
ACH-000082,-0.270515294443
ACH-000085,-0.0965950202392
ACH-000086,-0.0280371720651
ACH-000087,-0.0837003069965
ACH-000092,-0.309288633178
ACH-000095,-0.20648368550700003
ACH-000097,-0.152486480394
ACH-000098,-0.145633348368
ACH-000099,-0.102248448634
ACH-000108,-0.144997014092
ACH-000113,0.0006547822192819999
ACH-000115,-0.452212636453
ACH-000116,-0.189197751622
ACH-000118,-0.0343792487015
ACH-000120,-0.384524602464
ACH-000123,-0.220757425939
ACH-000127,-0.037399459847199994
ACH-000128,-0.141145031754
ACH-000132,-0.100622069814
ACH-000133,-0.027023678988099997
ACH-000137,-0.07365641128
ACH-000138,-0.274719583317
ACH-000142,-0.32632445194000004
ACH-000143,0.0675286957158
ACH-000146,-0.0749394473948
ACH-000148,-0.08789214858899999
ACH-000150,-0.234701351249
ACH-000152,-0.0712210462237
ACH-000153,-0.011363095468500001
ACH-000159,-0.22757519211599997
ACH-000160,-0.15250662412799998
ACH-000163,-0.15073005695299999
ACH-000167,-0.161334101904
ACH-000168,-0.144462870193
ACH-000169,-0.0618890275112
ACH-000178,-0.267418465583
ACH-000182,-0.133045666413
ACH-000183,-0.150424554704
ACH-000188,-0.130077655786
ACH-000189,-0.10435654968800001
ACH-000190,-0.365647268647
ACH-000198,-0.0888228130085
ACH-000204,0.0613100426994
ACH-000206,0.00286440690019
ACH-000207,-0.0551958348725
ACH-000211,-0.114221295698
ACH-000215,-0.177743364796
ACH-000221,-0.10329613028899999
ACH-000222,0.0481571642138
ACH-000223,0.0320063690268
ACH-000226,-0.240450270233
ACH-000227,0.136464293357
ACH-000228,-0.00946797493982
ACH-000231,-0.15134919441400002
ACH-000232,0.082944068281
ACH-000233,-0.0694980017599
ACH-000234,-0.08305207256489999
ACH-000235,-0.17223981629500001
ACH-000237,0.0349742457175
ACH-000238,-0.29863008677700004
ACH-000243,-0.31148455453699997
ACH-000244,-0.0310512717418
ACH-000246,-0.135167288188
ACH-000248,-0.322764251562
ACH-000250,-0.121707388981
ACH-000251,-0.136832918493
ACH-000253,-0.08892892256750001
ACH-000255,-0.24253341574499998
ACH-000256,-0.144841858905
ACH-000257,0.143444412101
ACH-000258,0.328497475868
ACH-000259,-0.237820952567
ACH-000260,-0.17706559570900002
ACH-000261,-0.0986929187693
ACH-000262,-0.214542787822
ACH-000263,-0.15595627097
ACH-000264,-0.163576675703
ACH-000265,-0.185582923923
ACH-000266,-0.19982509114
ACH-000272,-0.212314593557
ACH-000273,-0.277283199166
ACH-000274,-0.128839670489
ACH-000277,-0.597983667746
ACH-000278,-0.041140995283699994
ACH-000279,-0.0224427681292
ACH-000280,-0.179960686048
ACH-000281,-0.07306995333619999
ACH-000288,-0.300182987463
ACH-000291,-0.22207470213199998
