,FBP2 (8789)
ACH-000004,-0.123679248531
ACH-000007,0.100928666905
ACH-000009,-0.301016288385
ACH-000011,-0.15916747933800002
ACH-000012,-0.0534673671947
ACH-000013,-0.0777131532197
ACH-000014,0.0912496358924
ACH-000015,-0.135814980315
ACH-000017,0.24686232190699997
ACH-000018,-0.27501293617600003
ACH-000019,0.107284178102
ACH-000021,-0.19906508596099998
ACH-000022,-0.0756411327362
ACH-000025,0.0419843176521
ACH-000028,-0.062076179166800007
ACH-000030,-0.07399789565760001
ACH-000035,-0.144793093174
ACH-000036,-0.0583091007274
ACH-000037,-0.175871050784
ACH-000039,-0.144477552849
ACH-000040,-0.138952241283
ACH-000041,-0.0710024354022
ACH-000042,-0.206563734999
ACH-000045,0.0429115889511
ACH-000047,-0.180302373786
ACH-000052,0.17800729903
ACH-000053,-0.0661084560983
ACH-000054,-0.060864957254
ACH-000055,-0.028666428417199998
ACH-000060,0.0033278021190599996
ACH-000067,-0.008639687167989999
ACH-000070,0.129294226754
ACH-000075,-0.264440362177
ACH-000078,-0.07097101627489999
ACH-000082,-0.0823260898069
ACH-000085,-0.116795521512
ACH-000086,-0.170562732012
ACH-000087,-0.419965308056
ACH-000092,0.047414317772
ACH-000095,0.0291202764012
ACH-000097,0.02493570673
ACH-000098,-0.14690026592
ACH-000099,-0.251754723758
ACH-000108,-0.106143622479
ACH-000113,-0.0601247533037
ACH-000115,-0.0724888411965
ACH-000116,0.0541703667538
ACH-000118,-0.22048589572500002
ACH-000120,0.120096624573
ACH-000123,-0.13756903494
ACH-000127,0.0065902652825099994
ACH-000128,-0.118241742508
ACH-000132,-0.0019283025574799999
ACH-000133,-0.102939924414
ACH-000137,0.15660321590999998
ACH-000138,-0.0933290757332
ACH-000142,0.107078157545
ACH-000143,-0.193601702421
ACH-000146,-0.116029152515
ACH-000148,-0.151760573898
ACH-000150,-0.035186013984900004
ACH-000152,-0.0699326978985
ACH-000153,0.133974408623
ACH-000159,-0.18898533718199997
ACH-000160,-0.0828332616332
ACH-000163,-0.254595840033
ACH-000167,-0.13919489527999998
ACH-000168,-0.19468925113
ACH-000169,-0.186271968909
ACH-000178,-0.0700522442425
ACH-000182,0.028242118763099996
ACH-000183,-0.22786786367400003
ACH-000188,-0.221738562096
ACH-000189,-0.219029191822
ACH-000190,-0.219230671203
ACH-000198,-0.124314550429
ACH-000204,-0.045944262422599996
ACH-000206,-0.018876594656900003
ACH-000207,-0.196830386082
ACH-000211,0.0330289617562
ACH-000215,-0.0690086894245
ACH-000221,-0.228005440403
ACH-000222,-0.026355707828599997
ACH-000223,-0.101929744012
